item,SemDis_glove_c_m
book,1.29123
book,0.7398
book,0.92583
book,0.88969
book,1.05161
book,1.29051
book,1.32392
book,0.6747000000000001
book,0.6070599999999999
book,1.27475
book,1.12662
book,0.78457
book,0.95736
book,0.71768
book,1.22296
book,0.76105
book,1.28154
book,1.23944
book,0.76032
book,0.90859
book,1.25152
book,0.74021
book,1.27838
book,1.26626
book,1.3564
book,0.92583
book,1.27475
book,1.21649
book,0.88106
book,1.0461
book,1.06006
book,1.02079
book,1.36098
book,1.19395
book,0.78457
book,1.27475
book,0.7103200000000001
book,0.88106
book,0.6271
book,0.89272
book,1.19677
book,0.86937
book,1.41263
book,0.6771400000000001
book,0.75242
book,1.23756
book,0.82012
book,1.10495
book,1.00503
book,0.7175400000000001
book,0.90974
book,0.6070599999999999
book,0.92583
book,0.8388
book,1.04465
book,1.27475
book,1.28433
book,0.75705
book,0.78375
book,1.24032
book,1.23538
book,0.75606
book,1.27475
book,0.73448
book,0.87932
book,1.02619
book,0.89605
book,0.7398
book,1.00503
book,1.04465
book,1.06909
book,0.88106
book,0.7398
book,1.36836
book,0.90224
book,1.19444
book,0.9852
book,1.32916
book,0.75457
book,1.2182
book,1.25353
book,1.26427
book,0.7095899999999999
book,0.67335
book,0.7199800000000001
book,0.68613
book,0.8939
book,1.09264
book,0.7442
book,1.22549
book,1.21952
book,0.7477199999999999
book,0.77598
book,1.11973
book,0.70843
book,1.24804
book,0.7175400000000001
book,1.3051
book,1.21404
book,1.28216
book,0.7939700000000001
book,0.75963
book,0.66935
book,1.26901
book,1.22924
book,1.32064
book,0.76278
book,0.99951
book,0.76854
book,0.97406
book,0.70259
book,1.22085
book,1.08721
book,0.88827
book,0.94459
book,0.92583
book,1.29123
book,0.7096
book,0.78457
book,0.90195
book,0.91071
book,0.7280800000000001
book,1.00884
book,0.91619
book,1.31515
book,1.29018
book,1.26975
book,1.00503
book,0.79166
book,0.74648
book,1.08721
book,0.7398
book,0.92583
book,0.7512
book,1.20318
book,0.7198100000000001
book,0.71782
book,0.75252
book,1.26241
book,1.24333
book,0.76689
book,1.22646
book,1.0903
book,1.22956
book,1.04421
book,1.1633
book,1.16714
book,1.10957
book,1.17216
book,1.12662
book,0.7717
book,0.42418
book,0.77906
book,1.24395
book,0.69309
book,0.71112
book,0.7284200000000001
book,0.75877
book,0.69623
book,1.30842
book,0.7794
book,0.77524
book,1.27475
book,
book,1.09603
book,1.08668
book,0.7398
book,1.17616
book,0.82794
book,1.27475
book,0.73369
book,0.6956
book,0.74412
book,1.00503
book,1.31019
book,0.66292
book,0.83794
book,1.25806
book,1.23758
book,0.96127
book,1.27589
book,0.72827
book,0.77076
book,1.21167
book,0.69521
book,1.29123
book,1.21951
book,1.25859
book,0.74685
book,1.00591
book,0.88853
book,1.14507
book,0.94197
book,1.22973
book,0.69318
book,0.76141
book,1.20412
book,1.04465
book,1.05161
book,0.91523
book,0.78457
book,0.94038
book,0.94043
book,1.13607
book,0.82794
book,1.12662
book,1.27475
book,0.94984
book,0.95336
book,1.31743
book,0.7398
book,1.26164
book,1.20095
book,0.7127600000000001
book,1.21861
book,0.88106
book,0.88827
book,0.84083
book,1.20685
book,1.01729
book,1.09264
book,0.70345
book,1.26482
book,1.08721
book,0.7335400000000001
book,0.78277
book,1.22448
book,1.25566
book,1.3227
book,0.8898699999999999
book,0.71357
book,1.28193
book,1.22823
book,0.89303
book,0.70367
book,0.68919
book,0.71794
book,0.81578
book,0.77091
book,0.76872
book,0.68965
book,1.18716
book,0.64028
book,0.7073499999999999
book,1.2771
book,1.30393
book,1.20709
book,0.94459
book,0.71523
book,0.7975099999999999
book,1.08348
book,0.6822900000000001
book,1.27973
book,0.77986
book,0.77932
book,1.27026
book,1.28015
book,1.04465
book,0.75515
book,0.7443500000000001
book,0.66247
book,1.12257
book,1.27475
book,0.78457
book,0.82794
book,0.79158
book,0.90627
book,0.88952
book,0.88936
book,1.17761
book,0.78457
book,1.25841
book,1.32639
book,1.17761
book,0.97121
book,0.7398
book,0.77119
book,0.81213
book,1.23648
book,0.7720400000000001
book,1.2464
book,0.76766
book,1.25488
book,0.76478
book,1.24804
book,1.36309
book,0.6614800000000001
book,1.28024
book,1.31165
book,0.6513599999999999
book,0.7127600000000001
book,1.29807
book,0.7121999999999999
book,0.7669
book,0.7443500000000001
book,0.73748
book,0.42418
book,1.23406
book,1.11718
book,0.89548
book,0.68914
book,1.29268
