id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
2001,creative,hat,hat,box,box,0.7218,0.85716,0.77508,0.89029,0.69479,0.78782,-0.16114
2001,creative,sound amplifier,sound amplifier,box,box,1.08142,1.01812,0.98433,0.96435,0.96125,1.00189,0.13649
2001,creative,flowerbed liner,flowerbed liner,box,box,0.86839,1.04179,0.99408,1.03116,0.99727,0.98654,0.0419
2001,creative,peg board for painting hardware,peg board for painting hardware,box,box,0.93093,1.14435,1.03045,1.12282,1.03708,1.05313,0.10998
2001,creative,pain canvas,pain canvas,box,box,1.0181,0.98626,0.9445,1.03284,1.08646,1.01363,0.10094
2001,creative,cat carrier,cat carrier,box,box,0.84017,1.00079,0.9614,0.96477,1.17509,0.98844,0.02259
2002,creative,gift,gift,box,box,0.66974,0.80648,0.75024,0.9756,0.65056,0.77052,-0.20334
2002,creative,desk,desk,box,box,0.62307,0.71035,0.7488,0.7829200000000001,0.66466,0.70596,-0.25229
2002,creative,mailbox,mailbox,box,box,0.73973,0.6493,0.7435499999999999,0.78776,0.70646,0.72536,-0.20178
2002,creative,cage,cage,box,box,0.68242,0.82504,0.7616,0.79402,0.7152700000000001,0.75567,-0.19355
2002,creative,container,container,box,box,0.6589700000000001,0.7753,0.71334,0.92802,0.72097,0.75932,-0.22145
2002,creative,pet,pet,box,box,0.85733,0.91045,0.97247,0.71131,0.74064,0.83844,-0.02995
2002,creative,house if large enough,house if large enough,box,box,0.95886,1.07647,1.00141,0.93957,1.24235,1.04373,0.11216
2002,creative,tear into strip and intertwine to make,tear into strip and intertwine to make,box,box,0.99695,0.93641,1.04039,0.96945,1.22957,1.03455,0.11859
2002,creative,fill with dirt to make a brick or weigh,fill with dirt to make a brick or weigh,box,box,0.94819,1.03132,1.0483,0.96882,0.7766,0.95465,0.07484
2002,creative,doll,doll,box,box,0.7237899999999999,0.79958,0.83623,0.73489,0.78567,0.77603,-0.1521
2002,creative,sign,sign,box,box,0.82601,0.91715,0.91182,0.86093,0.78702,0.86059,-0.05138
2002,creative,breakdancing platform,breakdancing platform,box,box,1.04774,0.94312,0.90055,0.94925,0.92094,0.95232000000000006,0.07757
2002,creative,plant holder,plant holder,box,box,1.07742,0.99257,1.09065,1.03701,0.97923,1.03538,0.16614
2002,creative,firewood,firewood,box,box,0.8712,0.82138,1.03941,0.94325,0.99768,0.93458,0.01369
2002,creative,puppy holder,puppy holder,box,box,1.01688,1.08972,1.0414,0.97034,1.05275,1.03422,0.14113
2002,creative,soapbox derby car,soapbox derby car,box,box,0.9712,1.07832,0.95001,0.91967,1.06061,0.99596,0.08744
2002,creative,fruit bowl,fruit bowl,box,box,1.07616,0.98459,1.00179,0.98616,1.07308,1.02436,0.14349
2002,creative,props in a play,props in a play,box,box,1.05083,0.93463,1.02481,0.9551,1.21022,1.03512,0.13867
2002,creative,picture frame,picture frame,box,box,1.02114,1.01591,0.9646,0.96763,1.17555,1.02897,0.11796
2003,creative,paper,paper,box,box,0.70502,0.82004,0.85809,0.93317,0.68028,0.79932,-0.15099
2003,creative,Storage,storage,box,box,0.77012,0.73776,0.89035,1.01653,0.71,0.82495,-0.11656999999999999
2003,creative,Fort,fort,box,box,0.91954,0.95528,0.93495,0.995,0.72951,0.90686,0.01101
2003,creative,Trap,trap,box,box,0.77147,0.85527,0.89791,0.83705,0.7491099999999999,0.82216,-0.09828
2003,creative,House,house,box,box,0.67362,0.81725,0.7679,0.98658,0.75598,0.80027,-0.18492
2003,creative,Car,car,box,box,0.76151,0.92254,0.85387,1.01515,0.75955,0.86252,-0.09503
2003,creative,Art,art,box,box,0.87689,0.99145,0.94912,1.06425,0.79626,0.93559,0.00885
2003,creative,Helmet,helmet,box,box,0.84904,0.89168,0.8578399999999999,1.05421,0.8169299999999999,0.89394,-0.04831
2003,creative,Lift,lift,box,box,0.85449,0.98781,0.96812,0.82065,0.8486400000000001,0.89594,-0.00477
2003,creative,Zoo,zoo,box,box,0.80767,0.86698,0.92259,0.95852,0.85755,0.88266,-0.05575
2003,creative,Weapon,weapon,box,box,0.82218,0.8931,0.94577,0.93948,0.85788,0.89168,-0.03789
2003,creative,Aquarium,aquarium,box,box,0.81698,0.86078,0.8975299999999999,0.95954,0.85926,0.87882,-0.05929
2003,creative,Armor,armor,box,box,0.869,0.97938,0.97488,1.03841,0.85928,0.94419,0.01435
2003,creative,Sled,sled,box,box,0.9005,0.87295,0.94127,1.07967,0.86408,0.93169,0.00409
2003,creative,Pail,pail,box,box,0.73973,0.81227,0.80347,0.90515,0.86781,0.82569,-0.13639
