item,SemDis_glove_c_m
box,0.69479
box,0.96125
box,0.99727
box,1.00249
box,1.08646
box,1.17509
box,0.65056
box,0.66466
box,0.70646
box,0.71527
box,0.72097
box,0.74064
box,0.75143
box,0.76657
box,0.77339
box,0.78567
box,0.78702
box,0.92094
box,0.97923
box,0.99768
box,1.05275
box,1.06061
box,1.07308
box,1.10636
box,1.17555
box,0.68028
box,0.71
box,0.72951
box,0.749109999999999
box,0.75598
box,0.75955
box,0.79626
box,0.816929999999999
box,0.84864
box,0.85755
box,0.85788
box,0.85926
box,0.85928
box,0.86408
box,0.86781
box,0.88629
box,0.89859
box,0.91402
box,0.93131
box,0.95872
box,1.14813
box,1.1941
box,0.76245
box,0.76554
box,0.76715
box,1.22471
box,1.23156
box,1.26101
box,0.66541
box,0.69479
box,0.71
box,0.91245
box,0.95703
box,0.95872
box,0.99114
box,0.70747
box,0.7273
box,0.72951
box,0.78666
box,0.82145
box,0.85928
box,0.872109999999999
box,0.93763
box,0.95703
box,1.09936
box,0.69479
box,0.7091
box,0.73649
box,0.74031
box,0.7623
box,0.76415
box,0.8091
box,0.87155
box,1.08075
box,1.11746
box,1.14305
box,1.17269
box,1.18736
box,1.19526
box,1.2194
box,1.22835
box,0.63272
box,0.69479
box,0.73093
box,0.74031
box,0.87815
box,1.02383
box,1.05914
box,1.07505
box,1.15051
box,1.26088
box,0.70747
box,0.75585
box,0.75598
box,0.80819
box,0.81878
box,0.82105
box,0.83365
box,0.8556
box,1.05287
box,0.69479
box,0.82915
box,0.85788
box,1.22569
box,0.80351
box,0.86665
box,0.90166
box,0.99784
box,1.1438
box,1.19284
box,1.20814
box,1.21989
box,1.23762
box,1.25016
box,1.032
box,1.11683
box,1.22262
box,0.70747
box,0.74031
box,0.85802
box,0.87392
box,1.06458
box,1.06759
box,1.08737
box,1.10978
box,1.1258
box,1.18932
box,1.23481
box,0.70747
box,0.75585
box,0.75955
box,0.7882
box,0.8091
box,0.83993
box,0.92347
box,0.94844
box,0.99776
box,1.13638
box,0.69479
box,0.80341
box,0.82214
box,0.72951
box,0.73649
box,0.74912
box,0.75585
box,0.75955
box,0.816929999999999
box,0.82214
box,0.861499999999999
box,0.86665
box,0.86825
box,0.90637
box,0.9605
box,0.75598
box,0.7898
box,0.9224
box,0.9782
box,1.01919
box,1.21987
box,0.69479
box,0.69827
box,0.81878
box,0.82105
box,0.854959999999999
box,0.95703
box,1.22879
box,0.84742
box,0.86985
box,0.8974
box,0.89859
box,0.91882
box,1.06759
box,1.08338
box,0.72184
box,1.06759
box,1.10859
box,1.13163
box,1.14685
box,1.19054
box,0.69479
box,0.74561
box,0.76347
box,0.86741
box,0.69827
box,0.75465
box,0.77187
box,0.79199
box,0.82699
box,0.82915
box,0.86408
box,0.86665
box,0.91228
box,0.9232
box,0.66466
box,0.70747
box,0.72371
box,0.72951
box,0.74119
box,0.75598
box,0.88363
box,0.90637
box,0.95872
box,1.07316
box,0.69479
box,0.70747
box,0.74064
box,0.75598
box,0.75955
box,0.7623
box,0.79081
box,0.79264
box,0.81081
box,0.85727
box,0.86798
box,0.86825
box,0.95703
box,0.97378
box,1.13906
box,0.741989999999999
box,0.74637
box,0.95464
box,1.15919
box,1.17577
box,1.22582
box,1.22914
box,1.23749
box,1.23765
box,1.24116
box,0.75958
box,0.83737
box,1.17746
