item,SemDis_glove_c_m
brick,0.90976
brick,0.82479
brick,0.82105
brick,0.88256
brick,0.83501
brick,0.74574
brick,0.85037
brick,0.74484
brick,0.8786
brick,0.7289
brick,0.82574
brick,0.9188
brick,0.81905
brick,1.11595
brick,1.19273
brick,1.14036999999999
brick,0.90145
brick,1.1537
brick,0.89504
brick,1.16041
brick,0.80689
brick,1.14205
brick,0.8164
brick,0.98471
brick,0.80764
brick,0.817539999999999
brick,0.82338
brick,0.82024
brick,1.1681
brick,1.18415999999999
brick,0.8536
brick,1.19218
brick,0.80812
brick,1.19336
brick,1.16085
brick,1.19257
brick,0.80812
brick,1.137
brick,0.85139
brick,0.80708
brick,0.80878
brick,0.80787
brick,1.19227
brick,0.81298
brick,0.80987
brick,1.18841
brick,1.07283
brick,1.13486
brick,1.18122
brick,1.1654
brick,1.13257
brick,1.11851
brick,1.18914
brick,1.19237
brick,0.80363
brick,1.18651
brick,0.82865
brick,0.797949999999999
brick,0.807879999999999
brick,0.80877
brick,0.91219
brick,0.83156
brick,0.88425
brick,1.02311
brick,1.18928
brick,1.02972
brick,1.11167
brick,0.8757
brick,0.88787
brick,0.808829999999999
brick,0.94807
brick,1.19664
brick,1.19154999999999
brick,0.89504
brick,0.962809999999999
brick,0.96106
brick,1.09492
brick,0.95624
brick,1.10848
brick,1.09767
brick,1.16664
brick,1.19238
brick,0.80813
brick,0.80936
brick,1.17384
brick,0.81214
brick,0.80803
brick,0.79721
brick,0.8831
brick,0.80728
brick,0.80704
brick,0.81136
brick,0.80796
brick,0.63317
brick,0.40225
brick,0.65896
brick,0.82105
brick,0.85037
brick,0.9229
brick,0.94912
brick,0.92378
brick,0.90219
brick,0.84071
brick,0.89471
brick,0.7291
brick,0.61626
brick,0.72926
brick,0.82978
brick,0.8338
brick,0.8731
brick,0.89408
brick,0.962809999999999
brick,1.04118
brick,0.96844
brick,1.03029
brick,0.9963
brick,0.94754
brick,1.00914
brick,1.00134
brick,1.15782
brick,0.89504
brick,1.00134
brick,1.05208
brick,1.11712
brick,1.17538
brick,1.19279
brick,1.16689
brick,0.8168
brick,1.19122
brick,0.97389
brick,0.73374
brick,1.07107
brick,1.02986
brick,1.11712
brick,1.02972
brick,1.10559
brick,1.1084
brick,0.86311
brick,0.91903
brick,0.97598
brick,1.0426
brick,1.05329
brick,0.962809999999999
brick,1.03717
brick,1.12762
brick,1.09443
brick,0.66836
brick,0.99692
brick,1.15907
brick,0.80362
brick,0.8046
brick,1.16228
brick,1.13708
brick,0.88806
brick,1.17858
brick,0.80809
brick,0.80041
brick,1.11712
brick,0.96106
brick,1.14299
brick,0.86311
brick,1.15782
brick,0.907
brick,0.83409
brick,1.1724
brick,1.19158
brick,0.66836
brick,0.92857
brick,1.19166
brick,0.827639999999999
brick,0.827029999999999
brick,1.06794
brick,0.56767
brick,0.87778
brick,0.85281
brick,1.18682
brick,1.14134
brick,0.85331
brick,1.04142
brick,0.882819999999999
brick,0.8326
brick,0.79018
brick,0.854449999999999
brick,0.67628
brick,1.00134
brick,0.75927
brick,0.54184
brick,1.14959
brick,0.93097
brick,0.96339
brick,0.85037
brick,0.72973
brick,0.77156
brick,1.0006
brick,0.86311
brick,1.13338
brick,1.1066
brick,0.9048
brick,0.79859
brick,0.82597
brick,1.18869
brick,1.14205
brick,0.84047
brick,0.8011
brick,1.08938
brick,1.15303
brick,1.13338
brick,1.11241
brick,0.84021
brick,0.85288
brick,1.02761
brick,0.93289
brick,1.09116
brick,1.01497
brick,1.05187
brick,0.80812
brick,0.97876
brick,0.90341
brick,1.19263
brick,0.72671
brick,1.05922
brick,1.12767
brick,1.03128
brick,1.13294
brick,0.92043
brick,1.17536
brick,1.12054
brick,1.19615
brick,1.05187
brick,0.96046
brick,0.80857
brick,0.85136
brick,0.99358
brick,1.12041
brick,1.04597
brick,0.83219
brick,1.19869
brick,1.10519
brick,0.87559
brick,0.78043
brick,0.80842
brick,0.82533
brick,0.83401
brick,1.03333
brick,0.92389
brick,0.82633
brick,0.99323
brick,0.96106
brick,1.15924
brick,1.15782
brick,0.86631
brick,1.17188
brick,1.00987999999999
brick,0.81685
brick,1.11712
brick,1.08786
brick,0.83024
brick,1.19177
brick,0.80773
brick,0.89702
brick,0.9689
brick,1.19303
brick,0.80713
brick,1.13338
brick,0.80412
brick,1.16228
brick,1.14299
brick,1.15227
brick,1.06931
brick,1.17906
brick,0.82147
brick,1.17397
brick,0.80804
brick,0.80694
brick,1.18031
brick,0.80776
brick,1.19052
brick,1.16933
brick,0.8076
brick,0.8287
brick,0.96106
brick,0.631
brick,0.83934
brick,1.06976
brick,1.18939
brick,0.95624
brick,1.10527
brick,0.67628
brick,0.79235
brick,0.854449999999999
brick,0.901969999999999
brick,0.73001
brick,0.72677
brick,0.82479
brick,0.83409
brick,0.69773
brick,0.70791
brick,1.19093
brick,1.18611
brick,0.829199999999999
brick,1.08555
brick,0.83909
brick,0.82572
brick,1.05825
brick,0.95015
brick,0.88425
brick,0.91187
brick,1.17499
brick,0.95866
brick,0.83385
brick,0.8356
brick,1.18327
brick,0.80159
brick,0.852959999999999
brick,1.11335
brick,1.15175
brick,1.19329
brick,0.85324
brick,0.80555
brick,0.793949999999999
brick,1.11014
brick,0.94255
brick,0.82743
brick,0.83897
brick,0.81759
brick,0.80691
brick,1.00139
brick,1.04813
brick,0.81117
brick,0.42432
brick,0.63317
brick,0.64873
brick,0.962809999999999
brick,1.08467
brick,0.89408
brick,0.82479
brick,0.99951
brick,0.94399
brick,0.7181
brick,1.09492
brick,0.65213
brick,0.37241
brick,0.73224
brick,0.4525
brick,1.0147
brick,0.92123
brick,0.70419
brick,0.72973
brick,1.10848
brick,0.92269
brick,0.89504
brick,0.99323
brick,1.15506
brick,1.14057
brick,1.03938
brick,0.52746
brick,1.0738
brick,1.10525
brick,1.18707
brick,1.04067
brick,1.11167
brick,0.79457
brick,0.84195
brick,1.14727
brick,0.88425
brick,1.0832
brick,0.82665
brick,0.83363
brick,1.06623
brick,1.08483
brick,0.83736
brick,0.89408
brick,1.00096
brick,0.95548
brick,0.962809999999999
brick,1.05135
brick,0.94058
brick,0.8748
brick,0.90311
brick,1.0532
brick,0.9632
brick,1.07487
brick,1.00134
brick,1.15857
brick,0.88425
brick,0.9639
brick,1.0129
brick,0.962809999999999
brick,1.09588
brick,1.10561
brick,0.92393
brick,1.13876
brick,0.95068
brick,1.01929
brick,0.89471
brick,0.80923
brick,0.99117
brick,0.98825
brick,0.97057
brick,0.92855
brick,0.8992
brick,0.98978
brick,0.91979
brick,0.86664
brick,0.89504
brick,0.80418
brick,1.06658
brick,1.12478
brick,1.02265
brick,1.13031
brick,0.79971
brick,0.90188
brick,0.80877
brick,1.15621
brick,1.15782
brick,0.94115
brick,1.00231
brick,1.17975
brick,1.17826
brick,0.81686
brick,0.95234
brick,1.16672
brick,1.11712
brick,1.15782
brick,0.80702
brick,1.14414
brick,0.80973
brick,0.821
brick,0.81355
brick,1.191
brick,0.80614
brick,0.83987
brick,1.14445
brick,1.12883
brick,1.19166
brick,0.97216
brick,1.13728
brick,0.80804
brick,1.16627
brick,0.79808
brick,1.13338
brick,0.79749
brick,1.18957
brick,1.1892
brick,1.11089
brick,1.13447
brick,1.19087
brick,1.19169
brick,0.83412
brick,1.11712
brick,1.1652
brick,1.15782
brick,0.80754
brick,1.19292
brick,0.80642
brick,0.85642
