item,SemDis_glove_c_m
fork,0.96962
fork,1.02664
fork,0.93485
fork,1.05705
fork,1.08225
fork,1.00612
fork,1.0691
fork,0.95158
fork,0.9932
fork,0.96215
fork,1.01637
fork,1.02289
fork,0.94363
fork,1.05909
fork,1.05932
fork,1.04394
fork,0.94111
fork,0.93549
fork,1.05405
fork,0.93949
fork,1.05917
fork,0.94054
fork,0.93708
fork,1.05722
fork,1.0848
fork,0.90234
fork,0.99498
fork,1.01076
fork,0.93327
fork,0.97232
fork,1.03013
fork,0.98622
fork,1.02458
fork,1.01765
fork,1.06086
fork,0.96299
fork,1.00751
fork,0.959
fork,0.83424
fork,0.81726
fork,0.94493
fork,0.94391
fork,0.98287
fork,0.972
fork,0.92593
fork,0.93891
fork,1.05433
fork,0.88668
fork,1.00038
fork,0.99766
fork,0.91532
fork,0.99092
fork,0.95158
fork,0.979
fork,0.84369
fork,1.03718
fork,0.97586
fork,1.05347
fork,0.91627
fork,1.06164
fork,1.05915
fork,0.85898
fork,1.03585
fork,
fork,0.76617
fork,0.98517
fork,0.83112
fork,0.94956
fork,1.05926
fork,0.93613
fork,0.90756
fork,1.05848
fork,1.05905
fork,1.06116
fork,0.96192
fork,1.05869
fork,1.02289
fork,1.05876
fork,1.01734
fork,1.07157
fork,1.05709
fork,1.01734
fork,1.0496
fork,0.94556
fork,0.93387
fork,1.00739
fork,0.95471
fork,0.94153
fork,1.05938
fork,0.91262
fork,1.07961
fork,1.04747
fork,0.94706
fork,0.991
fork,1.08319
fork,0.81673
fork,0.97221
fork,1.05658
fork,0.94074
fork,0.91825
fork,1.05822
fork,0.94287
fork,1.03218
fork,1.05735
fork,0.93842
fork,1.05899
fork,0.94105
fork,0.95775
fork,
fork,1.03217
fork,0.94147
fork,1.0593
fork,0.94044
fork,0.80486
fork,0.79466
fork,1.00132
fork,0.8647
fork,1.05228
fork,0.97518
fork,1.01061
fork,0.85534
fork,0.94357
fork,0.90421
fork,0.91769
fork,0.8814
fork,1.02041
fork,0.8579
fork,1.02289
fork,0.84998
