id,condition,response,response_clean,item,item_clean,SemDis_glove_c_m
2001,creative,bracelet,bracelet,rope,rope,0.78295
2001,creative,woven dog bed,woven dog bed,rope,rope,0.90176
2001,creative,keychain,keychain,rope,rope,0.97748
2001,creative,hanging board to clip papers to,hanging board to clip papers to,rope,rope,1.11284
2001,creative,teambuilding toy for a game,teambuilding toy for a game,rope,rope,1.11549
2001,creative,game of telephone,game of telephone,rope,rope,0.89295
2002,creative,ladder,ladder,rope,rope,0.47565999999999997
2002,creative,pulley,pulley,rope,rope,0.5626599999999999
2002,creative,leash,leash,rope,rope,0.6070800000000001
2002,creative,harness,harness,rope,rope,0.6071599999999999
2002,creative,wheel,wheel,rope,rope,0.7083900000000001
2002,creative,shoes,shoes,rope,rope,0.71302
2002,creative,mat,mat,rope,rope,0.71834
2002,creative,necklace,necklace,rope,rope,0.74881
2002,creative,weight,weight,rope,rope,0.75099
2002,creative,clothing,clothing,rope,rope,0.76149
2002,creative,calculator,calculator,rope,rope,0.91772
2002,creative,bulldozer,bulldozer,rope,rope,0.92033
2002,creative,soccer ball,soccer ball,rope,rope,0.94522
2002,creative,cheese cutter,cheese cutter,rope,rope,1.01904
2002,creative,musical instrument,musical instrument,rope,rope,1.01989
2002,creative,capillary tube,capillary tube,rope,rope,1.07134
2002,creative,signaling device,signaling device,rope,rope,1.0972
2003,creative,strap down,strap down,rope,rope,0.9655
2003,creative,wire,wire,rope,rope,0.5656300000000001
2003,creative,hose,hose,rope,rope,0.6251800000000001
2003,creative,jump,jump,rope,rope,0.64956
2003,creative,climb,climb,rope,rope,0.64988
2003,creative,belt,belt,rope,rope,0.68721
2003,creative,fishing,fishing,rope,rope,0.76353
2003,creative,lasso,lasso,rope,rope,0.79369
2003,creative,weapon,weapon,rope,rope,0.8230500000000001
2003,creative,whip,whip,rope,rope,0.8432
2003,creative,dog leash,dog leash,rope,rope,0.93323
2003,creative,pet,pet,rope,rope,0.94613
2003,creative,tie things,tie things,rope,rope,1.01919
2003,creative,helicopter blade,helicopter blade,rope,rope,1.02535
2004,creative,if you have small    make bracelets out of them,if you have small make bracelets out of them,rope,rope,0.88856
2004,creative,tie together a bouquet of flowers,tie together a bouquet of flowers,rope,rope,0.8910899999999999
2004,creative,use it as a belt,use it as a belt,rope,rope,0.8805499999999999
2004,creative,hang lights from the,hang lights from the,rope,rope,1.10218
2004,creative,hang several of them and use it as a curtain,hang several of them and use it as a curtain,rope,rope,1.1078999999999999
2005,creative,lasso,lasso,rope,rope,0.79369
2005,creative,make a ladder,make a ladder,rope,rope,0.81052
2005,creative,play limbo,play limbo,rope,rope,0.97277
2005,creative,play jump,play jump,rope,rope,1.00346
2005,creative,tie things up,tie things up,rope,rope,0.85819
2005,creative,climbing tool,climbing tool,rope,rope,1.04335
2005,creative,pull things,pull things,rope,rope,1.08369
2005,creative,clear oil off top of water,clear oil off top of water,rope,rope,1.11986
2006,creative,belt,belt,rope,rope,0.68721
2006,creative,hair,hair,rope,rope,0.7051700000000001
