item,SemDis_glove_c_m
rope,0.78295
rope,0.90176
rope,0.97748
rope,1.11799
rope,1.13592
rope,1.13862
rope,0.475659999999999
rope,0.562659999999999
rope,0.60708
rope,0.607159999999999
rope,0.70839
rope,0.71302
rope,0.71834
rope,0.74881
rope,0.75099
rope,0.76149
rope,0.91772
rope,0.92033
rope,0.94522
rope,1.01904
rope,1.01989
rope,1.07134
rope,1.0972
rope,0.5117
rope,0.56563
rope,0.62518
rope,0.64956
rope,0.64988
rope,0.68721
rope,0.76353
rope,0.79369
rope,0.82305
rope,0.8432
rope,0.93323
rope,0.94613
rope,1.01919
rope,1.02535
rope,0.88016
rope,0.9756
rope,1.09918
rope,1.10064
rope,1.1153
rope,0.79369
rope,0.953
rope,0.97277
rope,1.00346
rope,1.01919
rope,1.04335
rope,1.08369
rope,1.1143
rope,0.68721
rope,0.70517
rope,0.70806
rope,0.74881
rope,0.98556
rope,1.02759
rope,1.04093
rope,1.0521
rope,1.07034
rope,1.08125
rope,1.14083
rope,0.68955
rope,0.78617
rope,0.86662
rope,0.87155
rope,0.88071
rope,0.99729
rope,1.07765
rope,1.09069
rope,1.10681
rope,1.1236
rope,0.68721
rope,0.93323
rope,0.95882
rope,0.56563
rope,0.70275
rope,0.7192
rope,0.74085
rope,0.74881
rope,0.75239
rope,0.78295
rope,0.8234
rope,0.83443
rope,1.02209
rope,0.562659999999999
rope,0.63822
rope,0.74881
rope,0.8432
rope,0.99611
rope,1.01936999999999
rope,1.09292
rope,0.68721
rope,0.70517
rope,0.71052
rope,0.80184
rope,0.82305
rope,0.88772
rope,0.91763
rope,1.04647
rope,1.07325
rope,1.09018
rope,1.11848
rope,0.68721
rope,0.77082
rope,0.84188
rope,1.01686
rope,1.03979
rope,1.1137
rope,0.68721
rope,0.70905
rope,0.84135
rope,0.95626
rope,1.11283
rope,1.13364
rope,0.68474
rope,0.78131
rope,0.83893
rope,0.85494
rope,0.91926
rope,0.97152
rope,1.07585
rope,1.09879
rope,1.10567
rope,0.718569999999999
rope,1.07754
rope,0.607159999999999
rope,0.68721
rope,0.68838
rope,0.718569999999999
rope,0.74018
rope,0.87166
rope,0.96029
rope,1.01271
rope,1.06547
rope,1.0779
rope,1.08977
rope,0.60708
rope,0.65667
