item,SemDis_glove_c_m
tin can,0.79522
tin can,0.4095
tin can,1.10464
tin can,0.99551
tin can,1.68198
tin can,0.39442
tin can,0.93883
tin can,1.25295
tin can,0.75127
tin can,0.84829
tin can,0.99551
tin can,1.64072
tin can,0.31276
tin can,0.58106
tin can,0.3365
tin can,0.34397
tin can,0.36041
tin can,0.29944
tin can,1.63815
tin can,1.67754
tin can,1.66903
tin can,0.5166999999999999
tin can,0.87125
tin can,0.75127
tin can,0.32314
tin can,0.35028
tin can,0.34921
tin can,0.33559
tin can,1.12265
tin can,1.69569
tin can,0.93883
tin can,0.4869799999999999
tin can,0.91237
tin can,1.31489
tin can,0.99551
tin can,1.25295
tin can,1.67793
tin can,1.64253
tin can,1.54118
tin can,1.42599
tin can,1.01908
tin can,1.68394
tin can,0.31826
tin can,1.62183
tin can,1.69316
tin can,0.7288399999999999
tin can,1.28145
tin can,1.61762
tin can,0.3616
tin can,1.31489
tin can,0.29879
tin can,1.20023
tin can,1.51216
tin can,0.91106
tin can,1.41139
tin can,0.59616
tin can,0.3167299999999999
tin can,1.08015
tin can,1.09408
tin can,0.44515
tin can,1.04182
tin can,1.20049
tin can,1.15855
tin can,1.33852
tin can,0.70495
tin can,1.03604
tin can,0.79522
tin can,1.15855
tin can,0.59616
tin can,0.36919
tin can,0.6491199999999999
tin can,0.46589
tin can,1.10464
tin can,0.58106
tin can,0.59616
tin can,0.57379
tin can,0.87974
tin can,1.5586
tin can,0.48414
tin can,0.63852
tin can,0.92276
tin can,0.3489799999999999
tin can,1.13477
tin can,0.4095
tin can,0.70258
tin can,0.8725499999999999
tin can,0.97913
tin can,0.84829
tin can,0.80832
tin can,0.3467099999999999
tin can,0.3306599999999999
tin can,0.30682
tin can,1.65364
tin can,0.35462
tin can,1.23771
tin can,1.61276
tin can,0.3805699999999999
tin can,1.57979
tin can,1.68651
tin can,1.68006
tin can,0.84829
tin can,0.48109
tin can,0.4246499999999999
tin can,0.3714499999999999
tin can,1.69985
tin can,0.6128100000000001
tin can,1.67739
tin can,0.65152
tin can,1.07917
tin can,0.44774
tin can,0.3929
tin can,0.97229
tin can,1.30109
tin can,0.30317
tin can,0.5455099999999999
tin can,0.84406
tin can,0.6308199999999999
tin can,1.65854
tin can,1.63818
tin can,0.3629099999999999
tin can,1.11971
tin can,1.272
tin can,1.36005
tin can,0.3519799999999999
tin can,0.59616
tin can,0.87125
tin can,0.3823
tin can,1.58769
tin can,0.99206
tin can,1.21709
tin can,0.31162
tin can,1.68311
tin can,0.30295
tin can,0.45462
tin can,1.65942
tin can,1.5840999999999998
tin can,1.66872
tin can,1.62465
tin can,0.30626
tin can,1.69865
tin can,1.39478
tin can,1.6189
tin can,0.3356
tin can,0.35535
tin can,0.59616
tin can,0.92492
tin can,0.92276
tin can,0.97913
tin can,1.04919
tin can,0.92842
tin can,
tin can,0.84599
tin can,1.10464
tin can,1.25295
tin can,1.0942
tin can,1.01675
tin can,1.02799
tin can,1.5529
tin can,1.0145
tin can,0.92276
tin can,0.46589
tin can,0.40746
tin can,1.65448
tin can,0.4095
tin can,1.64379
tin can,1.68347
tin can,0.31704
tin can,0.33582
tin can,1.65257
tin can,0.5874900000000001
tin can,0.88717
tin can,1.32122
tin can,0.4391899999999999
tin can,0.71882
tin can,0.39097
tin can,0.87586
tin can,1.67508
tin can,1.63172
tin can,1.666
tin can,1.29697
tin can,0.39442
tin can,1.05416
tin can,1.6666
tin can,0.53
tin can,0.54225
tin can,0.31825
tin can,1.24784
tin can,0.3489799999999999
tin can,1.66022
tin can,1.37195
tin can,0.4889599999999999
tin can,0.7181500000000001
tin can,0.34939
tin can,1.68537
tin can,1.38147
tin can,0.3546
tin can,1.70007
tin can,0.39442
tin can,
tin can,1.70094
tin can,1.70076
tin can,0.41306
tin can,0.82266
tin can,0.91972
tin can,0.87974
tin can,0.32513
tin can,1.60072
tin can,0.3436
tin can,1.29296
tin can,0.58533
tin can,1.04919
tin can,
tin can,1.2441
tin can,
tin can,0.3531999999999999
tin can,0.65863
tin can,0.92276
tin can,0.87125
tin can,1.13477
tin can,1.24174
tin can,1.13477
tin can,
tin can,1.0306
tin can,1.10464
tin can,0.89731
tin can,0.89036
tin can,0.90488
tin can,0.93352
tin can,1.31489
tin can,0.92842
tin can,0.43174
tin can,1.13477
tin can,0.63454
tin can,0.59616
tin can,0.74665
tin can,0.6537299999999999
tin can,0.83186
tin can,0.90229
tin can,1.61854
tin can,1.68659
tin can,1.07116
tin can,1.67714
tin can,1.6977799999999998
tin can,1.39867
tin can,0.74874
tin can,1.64029
tin can,1.70071
tin can,0.92474
tin can,0.3488099999999999
tin can,0.4000899999999999
tin can,0.99551
tin can,1.6921
tin can,1.68674
tin can,0.3539099999999999
tin can,1.68249
tin can,0.37248
tin can,1.66742
tin can,0.29512
tin can,1.66148
tin can,1.34941
tin can,1.64011
tin can,0.3443699999999999
tin can,0.3314899999999999
tin can,1.6425800000000002
tin can,1.66957
tin can,0.3024099999999999
tin can,0.32477
tin can,0.6637299999999999
tin can,0.80279
tin can,0.65863
tin can,0.59616
tin can,0.59616
tin can,1.01639
tin can,0.32535
tin can,0.9776
tin can,0.86082
tin can,1.28692
tin can,1.17733
tin can,1.65273
tin can,0.63454
tin can,0.5866899999999999
tin can,1.68674
tin can,0.36219
tin can,1.0306
tin can,0.59616
tin can,0.75127
tin can,1.11971
tin can,1.25273
tin can,1.66559
tin can,1.6538
tin can,1.64925
tin can,1.68102
tin can,0.3507
tin can,0.5344599999999999
tin can,1.69176
tin can,0.84829
tin can,0.3277799999999999
tin can,1.04919
tin can,0.3260999999999999
tin can,1.65286
tin can,1.69192
tin can,1.63824
tin can,1.70119
tin can,0.33391
tin can,0.87125
tin can,1.03566
tin can,0.95096
tin can,0.92276
tin can,1.08015
tin can,0.48502
tin can,0.92149
tin can,1.48983
tin can,0.3257799999999999
tin can,1.6557
tin can,0.34812
tin can,1.68964
tin can,0.3116
tin can,0.37697
tin can,1.62778
tin can,0.31383
tin can,0.32098
tin can,1.6125699999999998
tin can,0.98147
tin can,0.50866
tin can,1.65054
tin can,0.3489799999999999
tin can,0.73463
tin can,0.70062
tin can,1.68407
tin can,0.52702
tin can,1.6238
tin can,1.66376
tin can,1.12009
tin can,0.87991
tin can,1.41132
tin can,1.03604
tin can,
tin can,0.34972
tin can,1.69604
tin can,0.59616
tin can,0.877
tin can,0.94846
tin can,0.46516
tin can,0.49266
tin can,1.66179
tin can,1.62968
tin can,1.64208
tin can,0.3338299999999999
tin can,1.04703
tin can,0.32006
tin can,0.83099
tin can,0.69451
tin can,1.64706
tin can,1.64222
tin can,1.6404
tin can,1.10821
tin can,1.5427
tin can,1.6181100000000002
tin can,1.65364
tin can,0.36961
tin can,1.01165
tin can,0.63134
tin can,1.21464
tin can,0.92276
tin can,0.87125
tin can,0.75127
tin can,0.46241
tin can,0.77161
tin can,0.5620499999999999
tin can,0.4790299999999999
tin can,0.59616
tin can,1.13477
tin can,1.16859
tin can,0.46589
tin can,0.60922
tin can,0.8393200000000001
tin can,0.94639
tin can,0.6494599999999999
tin can,1.69487
tin can,1.66342
tin can,0.35836
tin can,1.62703
tin can,0.35429
tin can,0.3121899999999999
tin can,1.64892
tin can,0.84829
tin can,0.46241
tin can,
tin can,1.67091
tin can,0.4975699999999999
tin can,0.65509
tin can,1.24784
tin can,1.65418
tin can,0.85417
tin can,0.62001
tin can,1.69919
tin can,0.36002
tin can,1.1897
tin can,1.09184
tin can,0.87974
tin can,0.9606
tin can,0.9755
tin can,0.87125
tin can,1.65893
tin can,0.99551
tin can,1.24922
tin can,0.57558
tin can,0.4636
tin can,0.34987
tin can,1.63857
tin can,0.32686
tin can,0.84829
tin can,1.64832
tin can,1.6183
tin can,0.29715
tin can,0.59616
tin can,1.62596
tin can,0.3073399999999999
tin can,0.84829
tin can,1.40081
tin can,0.3363199999999999
tin can,0.3489799999999999
tin can,0.35822
tin can,0.35243
tin can,1.6666
tin can,1.5485
tin can,1.6257899999999998
tin can,1.39058
tin can,1.10464
tin can,0.73571
tin can,0.90572
tin can,0.82384
tin can,1.27323
tin can,1.04919
tin can,1.29697
tin can,0.46589
tin can,1.08217
tin can,1.63228
tin can,0.33401
tin can,1.24784
tin can,0.59616
tin can,0.49368
tin can,0.51938
tin can,0.87974
tin can,1.2441
tin can,0.49626
tin can,1.11267
tin can,1.6980499999999998
tin can,1.09114
tin can,0.50511
tin can,0.94827
tin can,0.34916
tin can,1.64155
tin can,1.6718
tin can,1.09114
tin can,0.79522
tin can,0.5346299999999999
tin can,1.10867
tin can,0.96908
tin can,0.59616
tin can,0.49368
tin can,0.34748
tin can,0.37336
tin can,1.48838
tin can,0.30921
tin can,1.32408
tin can,0.3611
tin can,0.29581
tin can,0.36077
tin can,1.6380400000000002
tin can,1.61726
tin can,0.30361
tin can,1.70796
tin can,0.35295
tin can,0.35666
tin can,1.67118
tin can,0.35948
tin can,1.64301
tin can,1.6666
tin can,1.49413
tin can,1.66248
tin can,0.4695399999999999
tin can,1.67321
tin can,1.0299
tin can,0.31284
tin can,0.2982
tin can,0.3516899999999999
tin can,1.50963
tin can,1.63383
tin can,1.44646
tin can,1.63721
tin can,1.66946
tin can,1.69991
tin can,0.31666
tin can,0.33867
tin can,1.69087
tin can,1.69725
tin can,1.18422
tin can,1.65273
tin can,1.43328
tin can,0.36285
tin can,0.3595899999999999
tin can,0.3637599999999999
tin can,1.6369
tin can,0.3
tin can,1.65364
tin can,1.68876
tin can,0.84829
tin can,0.33413
tin can,1.644
tin can,1.68319
tin can,1.6349200000000002
tin can,0.59616
tin can,1.67258
tin can,1.6733
tin can,1.70193
tin can,1.66872
tin can,1.2729
tin can,1.1415
tin can,1.16369
tin can,0.87991
tin can,0.7288399999999999
tin can,0.84829
tin can,0.3662999999999999
tin can,0.82433
tin can,0.58106
tin can,0.4095
tin can,0.46589
tin can,0.75127
tin can,
tin can,1.13477
tin can,0.46589
tin can,0.96817
tin can,1.10464
tin can,0.8739399999999999
tin can,1.14507
tin can,0.6279
tin can,1.07387
tin can,0.3461999999999999
tin can,0.38275
tin can,0.4221899999999999
tin can,1.68824
tin can,1.67529
tin can,0.92276
tin can,1.10867
tin can,0.40456
tin can,0.75127
tin can,1.1044
tin can,0.77098
tin can,0.68127
tin can,1.04182
tin can,0.84926
tin can,1.13848
tin can,0.9123
tin can,1.36154
tin can,1.65934
tin can,1.12879
tin can,0.6973
tin can,0.47936
tin can,1.12009
tin can,1.56074
tin can,0.9786
tin can,1.11971
tin can,0.84829
tin can,0.362
tin can,1.66012
tin can,0.5455099999999999
tin can,0.62395
tin can,1.27162
tin can,0.64594
tin can,0.30782
tin can,0.44515
tin can,0.71698
tin can,1.08015
tin can,0.75127
tin can,1.70277
tin can,1.09118
tin can,0.37041
tin can,0.9606
tin can,0.87974
tin can,0.34658
tin can,1.64128
tin can,0.33147
tin can,1.6226
tin can,0.45657
tin can,1.67194
tin can,0.6990799999999999
tin can,1.46273
tin can,1.7078
tin can,1.68204
tin can,0.34474
tin can,0.94147
tin can,1.42966
tin can,1.03604
tin can,0.46589
tin can,0.5135000000000001
tin can,0.91223
tin can,0.9187
tin can,1.15855
tin can,1.12265
tin can,0.59616
tin can,1.18252
tin can,1.1415
tin can,0.55236
tin can,1.14965
tin can,1.09114
tin can,0.4170199999999999
tin can,0.59616
tin can,1.5765
tin can,1.15855
tin can,1.57076
tin can,1.67247
tin can,1.43848
tin can,0.59616
tin can,1.64116
tin can,0.9755
tin can,0.71698
tin can,0.3254
tin can,0.52631
tin can,1.46543
tin can,0.91237
tin can,0.33867
tin can,1.03358
tin can,1.67002
tin can,0.91223
tin can,0.3701799999999999
tin can,1.69426
tin can,0.4258699999999999
tin can,1.03604
tin can,0.95557
tin can,0.35305
tin can,0.92495
tin can,1.12265
tin can,1.05788
tin can,1.13477
tin can,1.70612
tin can,1.10464
tin can,0.8393200000000001
tin can,0.87974
tin can,0.91339
tin can,0.67211
tin can,0.49854
tin can,0.9606
tin can,1.12009
tin can,1.12498
tin can,1.64401
tin can,1.12511
tin can,1.11971
tin can,0.48502
tin can,1.09142
tin can,1.0145
tin can,0.3242899999999999
tin can,1.66257
tin can,0.29791
tin can,1.65324
tin can,1.68302
tin can,0.3267799999999999
tin can,0.29993
tin can,1.5219399999999998
tin can,0.38275
tin can,0.90793
tin can,1.31489
tin can,0.3595699999999999
tin can,0.4381899999999999
tin can,0.30461
tin can,1.689
tin can,1.6389
tin can,0.33584
tin can,1.14383
tin can,0.84829
tin can,0.59616
tin can,1.02976
tin can,0.58106
tin can,0.63454
tin can,1.18962
tin can,0.99851
tin can,0.48021
tin can,0.95856
tin can,0.59616
tin can,1.09828
tin can,0.3607
tin can,1.58251
tin can,0.92276
tin can,1.65112
tin can,0.34722
tin can,0.75127
tin can,1.68505
tin can,0.4790299999999999
tin can,1.67321
tin can,0.36961
tin can,0.46589
tin can,1.31489
tin can,0.91225
tin can,1.69303
tin can,0.83499
tin can,1.69868
tin can,0.83032
tin can,1.03968
tin can,0.75404
tin can,0.5450900000000001
tin can,1.6922899999999998
tin can,1.31489
tin can,0.37358
tin can,1.03113
tin can,0.3104099999999999
tin can,0.9825
tin can,0.30227
tin can,0.33268
tin can,0.84829
