item_clean,SemDis_glove_c_m,response
book,1.29123,Building block
book,0.7398,Fan
book,0.92583,Decoration
book,0.88969,Fly swatter
book,1.05161,Door wedge
book,1.29051,Raising block
book,1.32392,Money safe
book,0.6747000000000001,Secret hiding place
book,0.6070599999999999,Art
book,1.27475,door stop
book,1.12662,flower press
book,0.78457,step
book,0.95736,raiser
book,0.71768,emergency fire lighter
book,1.22296,Throw it at someone who is being offensive or presenting a threat to you
book,0.76105,Use it on the fire to burn to keep warm in this Tory induced cost of living crisis
book,1.28154,Sell it to raise funds to buy food
book,1.23944,Take photos of it for an art project
book,0.76032,Make stacks and stacks of books against your house wall indoors as insulation to keep warm in wint
book,0.90859,Wet the pages with glue and use use it in collage
book,1.25152,To put under a table leg to even it out
book,0.74021,A step to reach something you cannot reach otherwise
book,1.27838,Although you shouldn't A weapon
book,1.26626,A stand to hold something up
book,1.3564,Book end
book,0.92583,decoration
book,1.27475,door stop
book,1.21649,table leg dewobbler
book,0.88106,weapon
book,1.0461,frisbee
book,1.06006,kindling
book,1.02079,pet bedding
book,1.36098,note paper
book,1.19395,foot rest
book,0.78457,step
book,1.27475,Door stop
book,0.7103200000000001,Leveller  under table or chair legs
book,0.88106,Weapon
book,0.6271,weight something down
book,0.89272,decorations
book,1.19677,press flowers
book,0.86937,Fire / burnable
book,1.41263,writing paper
book,0.6771400000000001,ink souce extract by chromotogarphy
book,0.75242,decoration rip to ribbons
book,1.23756,razor apper cuts
book,0.82012,calender rip a page to makr a day
book,1.10495,sculpting papier mache
book,1.00503,doorstop
book,0.7175400000000001,prop up a table leg
book,0.90974,fort
book,0.6070599999999999,art
book,0.92583,decoration
book,0.8388,fire
book,1.04465,Paperweight
book,1.27475,Door stop
book,1.28433,Paper for the fire
book,0.75705,Making handbags out of the book covers
book,0.78375,add to scare crows to make a noise and deter birds
book,1.24032,use the paper for papier mache or glueing and sticking art
book,1.23538,decorative in the home
book,0.75606,clean finger nails
book,1.27475,door stop
book,0.73448,extra height when standing on
book,0.87932,hammer
book,1.02619,wedge
book,0.89605,put food on as tray
book,0.7398,fan
book,1.00503,doorstop
book,1.04465,paperweight
book,1.06909,ledge
book,0.88106,weapon
book,0.7398,fan
book,1.36836,writing board
book,0.90224,shade
book,1.19444,footrest
book,0.9852,bookmark
book,1.32916,to balance a table
book,0.75457,to take the pages out and make a secret hiding place
book,1.2182,to use to decorate a room
book,1.25353,to make a table out of
book,1.26427,to use for fire
book,0.7095899999999999,to use for decoupage
book,0.67335,to balance on your head
book,0.7199800000000001,a door stop
book,0.68613,hide money in
book,0.8939,shred and recycle
book,1.09264,squash insects
book,0.7442,stack multiple books to stand on to reach something
book,1.22549,commit assault
book,1.21952,hide my face behind
book,0.7477199999999999,Use as a door stop
book,0.77598,Use for heat  eg burn it
book,1.11973,Squash insects with it
book,0.70843,Stand on to increase reach
book,1.24804,Use as a fan
book,0.7175400000000001,prop up a table leg
book,1.3051, create a visual display
book,1.21404, tear up and make into a collage
book,1.28216, burn to keep warm
book,0.7939700000000001,eat
book,0.75963,tear up and put inside your clothes to keep you warm
book,0.66935,make pages into origami
book,1.26901,block the light out by pasting pages to window
book,1.22924,balance on head to improve posture
book,1.32064,secret storage
book,0.76278,pillars for holding something up
book,0.99951,custom wallpaper
book,0.76854,Stick the pages together  cut out a rectangle and use it as a safe
book,0.97406,Use to prop up a table leg that is wonky
book,0.70259,used in sports to balance on head
book,1.22085,Use as a coaster
book,1.08721,Fly swat
book,0.88827,bridge
book,0.94459,ornament
book,0.92583,decoration
book,1.29123,building block
book,0.7096,table
book,0.78457,step
book,0.90195,door stopper
book,0.91071,domino
book,0.7280800000000001,to put under a wonky chair
book,1.00884,to bash something with
book,0.91619,as a prop for paperwork
