item_clean,SemDis_glove_c_m,response
fork,0.96962,As a comb
fork,1.02664,To decorate pottery
fork,0.93485,Body scratcher
fork,1.05705,Shoehorn
fork,1.08225,Sandcastle flag
fork,1.00612,Mini trowel/ garden fork
fork,1.0691,hair comb
fork,0.95158,weapon
fork,0.9932,lawn aerator
fork,0.96215,cat scarer
fork,1.01637,french knitting
fork,1.02289,musical instrument
fork,0.94363,wind chimes
fork,1.05909,Putting strips of tin foil on it and using it to scare the birds
fork,1.05932,Using it as a tool when painting to draw lines in thick paint on a canvas
fork,1.04394,To massage someone's back gently
fork,0.94111,To put cheese on and try to tempt a mouse out of a hole
fork,0.93549,To mash baby food
fork,1.05405,To use to toast food or marshmallows on an open fire
fork,0.93949,To make candyfloss on if you don't have a stick
fork,1.05917,The side of it as a blunt knife
fork,0.94054,Break off the 2 middle bits and use it as a stand
fork,0.93708,To reach something just out of reach
fork,1.05722,although you shouldn't A weapon
fork,1.0848,Dig garden
fork,0.90234,pry something open
fork,0.99498,stab attacker
fork,1.01076,scrape a scratchcard
fork,0.93327,open tin
fork,0.97232,itch back
fork,1.03013,musical instruments
fork,0.98622,dig hole
fork,1.02458,electricute enemy
fork,1.01765,Punch holes into things
fork,1.06086,dig out fine rootd from a plant
fork,0.96299,use the handle to open tins
fork,1.00751,making brail impressions on paper
fork,0.959,counting fold back spokes
fork,0.83424,comb
fork,0.81726,small garden fork
fork,0.94493,toy's accessory eg gardening
fork,0.94391,climbing spike
fork,0.98287,shoe spikes in winter
fork,0.972,melt down and reforge
fork,0.92593,signal
fork,0.93891,game of darts throw it
fork,1.05433,plant support
fork,0.88668,learn to bend like uri geller
fork,1.00038,art
fork,0.99766,decoration
fork,0.91532,ring
fork,0.99092,jewellery
fork,0.95158,weapon
fork,0.979,wind chime
fork,0.84369,plant stakee
fork,1.03718,Bracelet  bangle
fork,0.97586,use as a rake
fork,1.05347,make holes in paper
fork,0.91627,scratch your back
fork,1.06164,plant plants in pot
fork,1.05915,scratch plater to make design on all
fork,0.85898,modern art sculpture
fork,1.03585,peg
fork,,tentpeg
fork,0.76617,spade
fork,0.98517,slice tomato
fork,0.83112,hooks
fork,0.94956,hang together to make a wind chime
fork,1.05926,stick in the soil to mark seed beds
fork,0.93613,to bang a drum with
fork,0.90756,to stir paint
fork,1.05848,to prick clay with to make patterns
fork,1.05905,to use for modling clay
fork,1.06116,for pricking celethane on microwave products
fork,0.96192,practice being uri geller
fork,1.05869,flick small items at people for a prank
fork,1.02289,Musical instrument
fork,1.05876,Use as a weapon
fork,1.01734,Back scratcher
fork,1.07157,Art tool
fork,1.05709,unusual weapon
fork,1.01734,back scratcher
fork,1.0496,eyebrow comb
fork,0.94556,hammering nails
fork,0.93387,a catapult
fork,1.00739,Hair brushing
fork,0.95471,Clothes brush
fork,0.94153,Stand in blue tack and use as a jewellery/necklace holder
fork,1.05938,Look through prongs and imagine what its like living in jail
fork,0.91262,Pet grooming tool
fork,1.07961,throw at dartboard
fork,1.04747,corn on the cob spike
fork,0.94706,stabber to piece items
fork,0.991,play doh equipment
fork,1.08319,paint brush
