item_clean,SemDis_glove_c_m,response
tin can,0.79522,Pen pot
tin can,0.4095,Watering can
tin can,1.10464,Drum
tin can,0.99551,Stilts
tin can,1.68198,Phone with string
tin can,0.39442,Money box
tin can,0.93883,Rainwater collector
tin can,1.25295,telephone
tin can,0.75127,pen holder
tin can,0.84829,candle holder
tin can,0.99551,stilts
tin can,1.64072,making a stove
tin can,0.31276,boil water in it
tin can,0.58106,water holder
tin can,0.3365,store food
tin can,0.34397,Wash and recycle it to save the planet
tin can,0.36041,Paint the outside and use it as a paint roller
tin can,0.29944,Grow plants in it
tin can,1.63815,Use it to collect rain water in the garden
tin can,1.67754,Glue lots of tins together and put some plyboard on top to make a table
tin can,1.66903,Use them to make an art installation
tin can,0.5166999999999999,A cup
tin can,0.87125,pencil holder
tin can,0.75127,pen holder
tin can,0.32314,something to store small items in
tin can,0.35028,A step up if you use a few of them
tin can,0.34921,a stand
tin can,0.33559,a container for work/school lunch
tin can,1.12265,Pot
tin can,1.69569,pan for cooking
tin can,0.93883,rainwater collector
tin can,0.4869799999999999,musical instruments
tin can,0.91237,wind chime
tin can,1.31489,weapon
tin can,0.99551,stilts
tin can,1.25295,telephone
tin can,1.67793,squashing as anger management
tin can,1.64253,Recycle for money
tin can,1.54118,turn into a candle light
tin can,1.42599,make into a billy can
tin can,1.01908,cut pastry
tin can,1.68394,draw around to make circles
tin can,0.31826,use as skittles
tin can,1.62183,weight something down
tin can,1.69316,As a size reference in a picture
tin can,0.7288399999999999,flower pot
tin can,1.28145,sculpture remold
tin can,1.61762,decorations cut into metal ribbons
tin can,0.3616,small garden roller fill with sand
tin can,1.31489,weapon
tin can,0.29879,sell when price of tin gets really high
tin can,1.20023,grenade
tin can,1.51216,temperature trigger metal bends when heated
tin can,0.91106,razor t's sharp
tin can,1.41139,mini water butt
tin can,0.59616,plant pot
tin can,0.3167299999999999,building block
tin can,1.08015,toy
tin can,1.09408,fort
tin can,0.44515,string phone
tin can,1.04182,decoration
tin can,1.20049,art
tin can,1.15855,bird scarer
tin can,1.33852,Target
tin can,0.70495,Rain collector
tin can,1.03604,Bird feeder
tin can,0.79522,Pen pot
tin can,1.15855,Bird scarer
tin can,0.59616,Plant pot
tin can,0.36919,bird feeders  as targets for a throwing game  for art
tin can,0.6491199999999999,savings tin
tin can,0.46589,musical instrument
tin can,1.10464,drum
tin can,0.58106,water holder
tin can,0.59616,plant pot
tin can,0.57379,swear box
tin can,0.87974,rolling pin
tin can,1.5586,cake cut out
tin can,0.48414,paint press
tin can,0.63852,chimes if tied together with string
tin can,0.92276,vase
tin can,0.3489799999999999,target practice
tin can,1.13477,cup
tin can,0.4095,watering can
tin can,0.70258,pen storage
tin can,0.8725499999999999,moneybox
tin can,0.97913,lantern
tin can,0.84829,candle holder
tin can,0.80832,pin holder
tin can,0.3467099999999999,A can for drinking out of
tin can,0.3306599999999999,A can for cooking something in
tin can,0.30682,a storage container for craft items
tin can,1.65364,a plant pot
tin can,0.35462,a decoration for a wedding car
tin can,1.23771,to use as stilts to balance on with strings
tin can,1.61276,to throw coconuts at on a shy
tin can,0.3805699999999999,to decorate with shells
tin can,1.57979,collect multiples and use as storage
tin can,1.68651,sell the metal for money
tin can,1.68006,Make a bell from it
tin can,0.84829,Candle holder
tin can,0.48109,make into a child's telephone
tin can,0.4246499999999999,make into percussion instrument
tin can,0.3714499999999999,stack into a pyramid for amusement
tin can,1.69985,bludgeon a criminal with
tin can,0.6128100000000001,make into the base for stilts
tin can,1.67739,hide drugs in
tin can,0.65152,melt down and recycle
tin can,1.07917,barricade a doorway
tin can,0.44774,hold candles
tin can,0.3929,grow plants
tin can,0.97229,wind chimes
tin can,1.30109,mini drumkit
tin can,0.30317,Telephone on a string
tin can,0.5455099999999999,Paint and use as an ornament
tin can,0.84406,Pincushion
tin can,0.6308199999999999,storage tin
tin can,1.65854,a musical instrument for child
tin can,1.63818,money hiding spot
tin can,0.3629099999999999,throw a ball at the tin  tin can alley game
tin can,1.11971,tealight holder
tin can,1.272,drink mug/cup
tin can,1.36005,water holder/jug
tin can,0.3519799999999999,kick the tin like a football
tin can,0.59616,plant pot
tin can,0.87125,pencil holder
tin can,0.3823,holder for paper clips
tin can,1.58769,toy castle tower
tin can,0.99206,roller
tin can,1.21709,goal
tin can,0.31162,add string on line to make windchime
tin can,1.68311,make shower by putting hole in bottom
tin can,0.30295,use a a chair leg cover
tin can,0.45462,drinking vessel
tin can,1.65942,add paint punch hole in bottom and use over paper to make art
tin can,1.5840999999999998,communication via string
tin can,1.66872,target for shooting
tin can,1.62465,arts and crafts
tin can,0.30626,stack several to use as a bookend
tin can,1.69865,plant up as a container
tin can,1.39478,use as a vase
tin can,1.6189,line them up and use a a coconut shy
tin can,0.3356,use several as a musical instrument
tin can,0.35535,string several together to make a toy snake
tin can,0.59616,plant pot
tin can,0.92492,stationery container
tin can,0.92276,vase
tin can,0.97913,lantern
tin can,1.04919,rattle
tin can,0.92842,sieve
tin can,,ladel
tin can,0.84599,measurer
tin can,1.10464,drum
tin can,1.25295,telephone
tin can,1.0942,stamp
tin can,1.01675,dough roller
tin can,1.02799,patru cutter
tin can,1.5529,Candle holder  plant pot  telephone  foot heighteners  dried flower arrangement holder  wall builder
tin can,1.0145,jewellery
tin can,0.92276,VASE
tin can,0.46589,MUSICAL INSTRUMENT
tin can,0.40746,HIDE CASH
tin can,1.65448,KNOCK THE CAN OVER GAME
tin can,0.4095,WATERING CAN
tin can,1.64379,Can be used with another one to make a toy telephone
tin can,1.68347,A door stop
tin can,0.31704,For breaking a window
tin can,0.33582,A piece of modern art in a display
tin can,1.65257,As a base for a plant pot
tin can,0.5874900000000001,To hold pens and pencils
tin can,0.88717,childrens toy
tin can,1.32122,knife/cutting implement
tin can,0.4391899999999999,building brick
tin can,0.71882,platform shoe
tin can,0.39097,drinking glass
tin can,0.87586,coffee mug
tin can,1.67508,first aid kit
tin can,1.63172,Bits and bobs pot
tin can,1.666,design a face
tin can,1.29697,makeup brush holder
tin can,0.39442,money box
tin can,1.05416,bowling
tin can,1.6666,as a drum
tin can,0.53,holding coins
tin can,0.54225,for nails
tin can,0.31825,to eat food from 1
tin can,1.24784,storage
tin can,0.3489799999999999,target practice
tin can,1.66022,a dish to eat from
tin can,1.37195,a reflective surface
tin can,0.4889599999999999,a container
tin can,0.7181500000000001,an organizer
tin can,0.34939,make a plant pot for the windowsil
tin can,1.68537,tie 2 together and uses as a short range phone
tin can,1.38147,tie together and use as wind chimes
tin can,0.3546,fill with beer and uses as slug traps
tin can,1.70007,stack them into an arty wall
tin can,0.39442,money box
tin can,,dumbell
tin can,1.70094,to make a phone with srting
tin can,1.70076,intruder alarm on door handle
tin can,0.41306,hiding place
tin can,0.82266,rain maker
tin can,0.91972,bowling pin
tin can,0.87974,rolling pin
tin can,0.32513,play catch with it
tin can,1.60072,Use two as stilts to walk on
tin can,0.3436,Put up against a neighbours wall and put ear to can so can hear them easier
tin can,1.29296,missile
tin can,0.58533,temporary container
tin can,1.04919,rattle
tin can,,doorwedge
tin can,1.2441,weight
tin can,,dumbell
tin can,0.3531999999999999,exercise aid
tin can,0.65863,Paint holder
tin can,0.92276,Vase
tin can,0.87125,Pencil holder
tin can,1.13477,Cup
tin can,1.24174,glass
tin can,1.13477,cup
tin can,,plantpot
tin can,1.0306,bracelet
tin can,1.10464,drum
tin can,0.89731,oven dish
tin can,0.89036,mould
tin can,0.90488,dessert dish
tin can,0.93352,xylophone
tin can,1.31489,weapon
tin can,0.92842,sieve
tin can,0.43174,Penny can
tin can,1.13477,cup
tin can,0.63454,cooking pot
tin can,0.59616,plant pot
tin can,0.74665,bread bowl
tin can,0.6537299999999999,marble storage
tin can,0.83186,magnet holder
tin can,0.90229,centrepiece
tin can,1.61854,Thing for bailing out a boat
tin can,1.68659,Target to shoot
tin can,1.07116,stool
tin can,1.67714,use as football
tin can,1.6977799999999998,part of telephone with string
tin can,1.39867,as rolling pin
tin can,0.74874,with string as stilts
tin can,1.64029,as novelty hat
tin can,1.70071,as echo chamber to make funny noise
tin can,0.92474,as pastry cutter
tin can,0.3488099999999999,A game balanced on top of each other
tin can,0.4000899999999999,communication device with string in between
tin can,0.99551,stilts
tin can,1.6921,to keep a door open
tin can,1.68674,store things in
tin can,0.3539099999999999,as a sauce pan on a camp fire
tin can,1.68249,to hold a window open
tin can,0.37248,Flower pot  echo chamber  centrifuge  check if something flat will roll  stilt  hat  watering can
tin can,1.66742,To tap to make music
tin can,0.29512,To cut things on
tin can,1.66148,To practice crushing with your bare hands
tin can,1.34941,To block doorways
tin can,1.64011,To make noise when attached to a bicycle or back of a car
tin can,0.3443699999999999,To heat water in the sun
tin can,0.3314899999999999,As a plant pot
tin can,1.6425800000000002,To roll down the stairs for fun
tin can,1.66957,To throw as a weapon
tin can,0.3024099999999999,To stack things up
tin can,0.32477,To store a liquid and weigh something down
tin can,0.6637299999999999,Drink holder
tin can,0.80279,coin holder
tin can,0.65863,paint holder
tin can,0.59616,plant pot
tin can,0.59616,plant pot
tin can,1.01639,desk tidy
tin can,0.32535,put strings through and walk on
tin can,0.9776,bell chimes
tin can,0.86082,sweet holder
tin can,1.28692,grow veg
tin can,1.17733,grow cress
tin can,1.65273,put flowers in
tin can,0.63454,cooking pot
tin can,0.5866899999999999,candle making
tin can,1.68674,store things in
tin can,0.36219,tunnel for hamster  baking tin for a small cake  mould for a candle  chimney for tiny fire  bracelet
tin can,1.0306,bracelet
tin can,0.59616,plant pot
tin can,0.75127,pen holder
tin can,1.11971,tealight holder
tin can,1.25273,candle mould
tin can,1.66559,use several as building blocks
tin can,1.6538,something for the dog to play with
tin can,1.64925,small cooking pot
tin can,1.68102,use it as a cup
tin can,0.3507,use it as a pot for a plant
tin can,0.5344599999999999,use as a scoop
tin can,1.69176,use as a pen holder
tin can,0.84829,candle holder
tin can,0.3277799999999999,door stop
tin can,1.04919,rattle
tin can,0.3260999999999999,a glass or cup
tin can,1.65286,a pot for a plant
tin can,1.69192,cut it up and use sections as a bracelet
tin can,1.63824,as a water bowl for bugs or birds outside
tin can,1.70119,as a collection tin for charity or busking
tin can,0.33391,as a tip jar
tin can,0.87125,Pencil holder
tin can,1.03566,Mug
tin can,0.95096,Earmuffs
tin can,0.92276,Vase
tin can,1.08015,Toy
tin can,0.48502,Wall art
tin can,0.92149,Doorknob
tin can,1.48983,To put bits of paper and use a raffle
tin can,0.3257799999999999,To drink water from
tin can,1.6557,To catch insects
tin can,0.34812,To kick around like a football
tin can,1.68964,stand on it
tin can,0.3116,use as a phone with rope
