...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use the book as a reference for a class project,use the book as a reference for a class project,book,book,1.13421,0.96745,1.13789,0.96615,1.23865,1.08887,0.03896
1,2,creative,2 Use the book as a guide to help with research for a paper or project,use the book as a guide to help with research for a paper or project,book,book,0.96336,1.01071,1.00541,0.96613,0.77176,0.94347,-0.01377
2,3,creative,3 Use the book as a tool to help you organize your thoughts and ideas,use the book as a tool to help you organize your thoughts and ideas,book,book,0.85136,1.00698,0.88752,0.96665,1.2315800000000001,0.98882,-0.00889
3,4,creative,4 Use the book as a reference for a personal project or,use the book as a reference for a personal project or,book,book,1.0543,1.00821,1.1599599999999999,0.96613,0.76096,0.98991,0.0079
4,5,creative,5 Use the book to inspire you during your journey through life,use the book to inspire you during your journey through life,book,book,0.95593,0.76435,1.1169,0.96655,0.77144,0.91503,0.00687
5,6,creative,6 Use the book as a storage solution for your library of books,use the book as a storage solution for your library of books,book,book,0.82687,1.08605,1.01018,0.96489,1.23978,1.02555,-0.00529
6,7,creative,7 Use the book to create a unique and creative book cover,use the book to create a unique and creative book cover,book,book,1.07032,1.09139,0.93953,0.96625,0.72087,0.95767,-0.017
7,8,creative,8 Use the book as a tool to learn about different cultures and traditions,use the book as a tool to learn about different cultures and traditions,book,book,0.96561,0.91916,0.97708,0.96582,0.76364,0.91826,-0.01366
8,9,creative,9 Use the book to help you learn how to solve problems and make decisions,use the book to help you learn how to solve problems and make decisions,book,book,1.00561,1.00442,0.94238,0.96632,1.26074,1.03589,0.00988
9,10,creative,10 Use the book as a source of entertainment for your friends and family,use the book as a source of entertainment for your friends and family,book,book,0.89075,0.96813,0.90186,0.96615,0.77742,0.90086,-0.02751
10,11,creative,1  As a source of inspiration for a painting or art project,as a source of inspiration for a painting or art project,book,book,0.92103,1.066,1.0745,0.96611,0.77579,0.96069,-0.01265
11,12,creative,2  As a reference for information about a specific subject,as a reference for information about a specific subject,book,book,0.9181900000000001,1.04416,1.13217,0.96752,0.72948,0.9583,-0.00622
12,13,creative,3  As a writing prompt for a story or poem,as a writing prompt for a story or poem,book,book,0.93214,0.99732,0.93635,0.96654,0.7722,0.92091,-0.02154
13,14,creative,4  As a reference for a medical condition or treatment,as a reference for a medical condition or treatment,book,book,1.16458,0.99871,0.96384,0.96579,0.75633,0.96985,-0.00236
14,15,creative,5  As a source of ideas for a book club discussion,as a source of ideas for a book club discussion,book,book,0.96249,0.92858,1.16038,0.96615,1.24616,1.05275,0.02909
15,16,creative,6  As a guide to help with homework or research,as a guide to help with homework or research,book,book,0.94225,1.13398,1.02496,0.96613,0.76469,0.9664,-0.0189
16,17,creative,7  As a novelette or short story idea,as a novelette or short story idea,book,book,0.80203,0.9393,0.94386,0.9633,1.26641,0.98298,-0.00945
17,18,creative,8  As a guide to help with pronunciation or vocabulary,as a guide to help with pronunciation or vocabulary,book,book,0.93912,1.08851,0.99919,0.96612,1.1823,1.03505,0.00205
18,19,creative,9  As a reference for a business or financial topic,as a reference for a business or financial topic,book,book,0.9633,0.90528,1.00577,0.9719,0.68994,0.90724,-0.00271
19,20,creative,10  As a storage unit for books that need to be move or destroyed,as a storage unit for books that need to be move or destroyed,book,book,1.0036,0.92825,1.03771,0.96613,0.74952,0.93704,-0.00529
20,21,creative,1 Use the book as a reference for a project you are working on,use the book as a reference for a project you are working on,book,book,0.9072,1.0589,0.91769,0.96613,0.7732600000000001,0.92464,-0.02854
21,22,creative,2 Give the book to a friend as a gift,give the book to a friend as a gift,book,book,0.76501,0.92897,0.85509,0.96611,0.76715,0.85647,-0.04125
22,23,creative,3 Use the book as a guide for a journey you are planning,use the book as a guide for a journey you are planning,book,book,1.07627,0.96057,0.91764,0.96613,1.22193,1.02851,0.01261
23,24,creative,4 Create a game based on the book's,create a game based on the books,book,book,0.90263,0.93442,1.01808,0.96915,0.75756,0.91637,-0.00939
24,25,creative,5 Use the book as a source of inspiration for your writing,use the book as a source of inspiration for your writing,book,book,0.74203,1.02975,1.07369,0.96599,0.76783,0.91586,-0.02648
25,26,creative,6 Keep the book as a reference for personal growth,keep the book as a reference for personal growth,book,book,0.98986,1.08247,0.9077,0.96615,0.69987,0.92921,-0.02752
26,27,creative,7 Use the book as a platform to promote your brand or product,use the book as a platform to promote your brand or product,book,book,0.9194,1.04167,1.03949,0.96624,1.30276,1.05391,0.01269
27,28,creative,8 Use the book as a reference for a medical condition,use the book as a reference for a medical condition,book,book,0.97711,0.93689,1.0111,0.96611,1.24713,1.02767,0.01569
28,29,creative,9 Use the book as a reference for a course you are taking,use the book as a reference for a course you are taking,book,book,1.05335,1.08843,0.95005,0.96613,1.23116,1.05782,0.00923
29,30,creative,10 Use the book as a source of entertainment for your family and friends,use the book as a source of entertainment for your family and friends,book,book,0.89075,0.96813,0.90186,0.96615,0.77742,0.90086,-0.02751
30,31,creative,1 Use the book as a reference material for a creative writing class,use the book as a reference material for a creative writing class,book,book,1.09642,1.00359,1.05492,0.96617,1.25973,1.07617,0.02768
31,32,creative,2 Use the book as a guide for a selfhelp class,use the book as a guide for a selfhelp class,book,book,0.85864,1.00645,1.06939,0.96614,0.76603,0.93333,-0.01629
32,33,creative,3 Use the book as a resource for literature research,use the book as a resource for literature research,book,book,0.76301,0.86958,0.85833,0.96439,0.7402299999999999,0.83911,-0.04345
33,34,creative,4 Use the book as a background for a movie or TV show,use the book as a background for a movie or tv show,book,book,0.87765,0.98549,0.94676,0.96613,1.22222,0.99965,-0.00174
34,35,creative,5 Use the book as a storage container for personal belongings,use the book as a storage container for personal belongings,book,book,1.03847,1.03067,1.03378,0.96644,1.223,1.05847,0.01847
35,36,creative,6 Use the book as a target for a game or activity,use the book as a target for a game or activity,book,book,0.8094600000000001,1.07223,0.95082,0.96613,0.77338,0.9144,-0.03385
36,37,creative,7 Use the book as a source of inspiration for a creative project,use the book as a source of inspiration for a creative project,book,book,0.93606,0.93565,1.09772,0.96613,1.22825,1.03276,0.01971
37,38,creative,8 Use the book as a board game or game,use the book as a board game or game,book,book,0.8925,1.00438,0.88993,0.96583,0.77693,0.90591,-0.03059
38,39,creative,9 Use the book as a reference for a history class,use the book as a reference for a history class,book,book,1.14076,1.07104,1.05974,0.96626,1.24037,1.09563,0.02822
39,40,creative,10 Use the book as a tool for meditation or mindfulness,use the book as a tool for meditation or mindfulness,book,book,0.84125,1.06471,1.04449,0.96615,0.76932,0.93718,-0.02221
40,41,creative,1  As a portable library Use a book as a portable library to borrow books from around the world,as a portable library use a book as a portable library to borrow books from around the world,book,book,1.04856,0.91884,1.10964,0.96614,1.22056,1.05275,0.03028
41,42,creative,2  As a reference tool Use a book as a reference tool to help with research or learning,as a reference tool use a book as a reference tool to help with research or learning,book,book,0.78152,1.07141,1.07182,0.96614,0.77111,0.9324,-0.02465
