...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use a brick as a building block for a DIY project,use a brick as a building block for a diy project,brick,brick,1.12389,1.05221,1.10394,0.96755,1.19161,1.08784,0.03471
1,2,creative,2 Build a snowman using a brick as the building block,build a snowman using a brick as the building block,brick,brick,1.09394,0.88059,0.9371700000000001,0.96773,0.80824,0.93753,-0.02175
2,3,creative,3 Use a brick as a target for a game of rockpaperscissors,use a brick as a target for a game of rockpaperscissors,brick,brick,0.91076,0.92318,1.00088,0.96752,1.19173,0.99881,-0.00685
3,4,creative,4 Build a small house with a brick wall and a window,build a small house with a brick wall and a window,brick,brick,0.75833,1.01664,1.01339,0.96758,0.80821,0.91283,-5e-4
4,5,creative,5 Use a brick as a platform for a small car or bus,use a brick as a platform for a small car or bus,brick,brick,0.9038,0.9416100000000001,0.92357,0.96753,1.1917200000000001,0.98565,-0.01353
5,6,creative,6 Build a firebreak around a property using a brick wall,build a firebreak around a property using a brick wall,brick,brick,1.11346,1.05472,0.87448,0.9676400000000001,0.80803,0.96367,4.7e-4
6,7,creative,7 Use a brick as a target for a game of target practice,use a brick as a target for a game of target practice,brick,brick,0.84569,0.9334,1.0723799999999999,0.96753,1.1917,1.00214,0.00158
7,8,creative,8 Use a brick as a foundation for a small garden,use a brick as a foundation for a small garden,brick,brick,1.01031,1.06242,0.89147,0.96754,1.1917,1.02469,0.00641
8,9,creative,9 Build a small shí níng tíng using a brick wall as the structure,build a small shí níng tíng using a brick wall as the structure,brick,brick,0.91826,1.0651,0.97149,0.96767,1.19226,1.02296,0.01382
9,10,creative,10 Use a brick as a component in a DIY painting project,use a brick as a component in a diy painting project,brick,brick,1.12224,0.92343,0.98796,0.96758,1.19144,1.03853,-0.00141
10,11,creative,1 Use a brick as a target for a DIY challenge,use a brick as a target for a diy challenge,brick,brick,1.22884,1.03168,0.93372,0.96752,0.80845,0.99404,0.00764
11,12,creative,2 Build a DIY firebrick wall to protect your home from,build a diy firebrick wall to protect your home from,brick,brick,0.80925,1.05293,1.06408,0.963,1.19001,1.01585,0.01663
12,13,creative,3 Use a brick as a building block for a construction project,use a brick as a building block for a construction project,brick,brick,0.86072,1.06183,1.02216,0.9675,0.80821,0.94408,0.01153
13,14,creative,4 Build a small garden path with bricks to make the area around your home more appealing,build a small garden path with bricks to make the area around your home more appealing,brick,brick,1.14828,1.05364,1.05385,0.96754,1.19167,1.083,0.02956
14,15,creative,5 Use a brick as a source of energy for your home,use a brick as a source of energy for your home,brick,brick,0.91168,1.0318,1.07545,0.96772,0.80813,0.95896,0.01487
15,16,creative,6 Freeze your favorite drinks with bricks,freeze your favorite drinks with bricks,brick,brick,1.03146,0.94171,1.09523,0.87509,1.19171,1.02704,-0.04681
16,17,creative,7 Create a DIY hot air with bricks,create a diy hot air with bricks,brick,brick,1.00278,0.93292,0.94259,0.98047,1.19139,1.01003,-0.00117
17,18,creative,8 Use a brick to build a small retaining wall to keep out,use a brick to build a small retaining wall to keep out,brick,brick,1.17422,0.98491,0.95852,0.96756,1.19196,1.05543,0.00703
18,19,creative,9 Build a small storage unit with bricks to make space for your DIY projects,build a small storage unit with bricks to make space for your diy projects,brick,brick,0.99149,0.96602,0.92001,0.96776,0.80837,0.93073,-0.0128
19,20,creative,10 Use a brick to create a DIY painting project,use a brick to create a diy painting project,brick,brick,0.80002,0.90995,1.10608,0.9674,1.19143,0.99498,2e-4
20,21,creative,1 Use a brick as a prop for a painting or artist's representation,use a brick as a prop for a painting or artists representation,brick,brick,1.09429,0.94746,0.98414,0.96754,0.8089500000000001,0.96048,-0.00475
21,22,creative,2 Build a small structure using bricks as the foundation and grass as the roof,build a small structure using bricks as the foundation and grass as the roof,brick,brick,0.9126,0.9765,1.00101,0.96753,1.19176,1.0098800000000001,0.00223
22,23,creative,3 Use a brick as a tool for shaping or shaping other objects such as a tool for building a wall,use a brick as a tool for shaping or shaping other objects such as a tool for building a wall,brick,brick,1.14074,0.98842,1.03874,0.96754,1.19185,1.06546,0.01643
23,24,creative,4 Build a fire escape with bricks making it easy to build and easy to collapse,build a fire escape with bricks making it easy to build and easy to collapse,brick,brick,0.98069,1.05585,0.94046,0.96754,0.8082,0.95055,0.00439
24,25,creative,5 Use a brick as a small building material for a DIY home theater system,use a brick as a small building material for a diy home theater system,brick,brick,0.9192,0.96204,0.91306,0.96753,0.8083400000000001,0.91403,-0.01686
25,26,creative,6 Use a brick to build a path through a forest or park,use a brick to build a path through a forest or park,brick,brick,1.03615,0.94789,1.05747,0.96757,1.19171,1.04016,0.00848
26,27,creative,7 Build a small gardener's tool using bricks as the handle and grass as the feet,build a small gardeners tool using bricks as the handle and grass as the feet,brick,brick,0.85902,1.05853,1.02476,0.96754,0.80838,0.94365,0.01127
27,28,creative,8 Use a brick to build a small storage container for small items,use a brick to build a small storage container for small items,brick,brick,1.0534,0.98412,1.06606,0.96735,1.19175,1.05254,0.01609
28,29,creative,9 Use a brick to build a small retaining wall for a property,use a brick to build a small retaining wall for a property,brick,brick,1.17038,0.95303,0.9491,0.96748,1.19183,1.04636,3.1e-4
29,30,creative,10 Use a brick to build a small model of a city or town making it a fun and educational project for children,use a brick to build a small model of a city or town making it a fun and educational project for children,brick,brick,1.14942,0.94576,1.03009,0.96754,1.19167,1.0569,0.00844
30,31,creative,1 As a weight loss product A company called Bricks for weight loss is selling bricks that are said to help you lose weight by increasing your heart rate and making you feel fuller for longer,as a weight loss product a company called bricks for weight loss is selling bricks that are said to help you lose weight by increasing your heart rate and making you feel fuller for longer,brick,brick,0.96927,1.04506,0.97,0.96754,0.80826,0.95203,0.00585
31,32,creative,2 As a building materialbricks can be used to build small structures such as a small home or a DIY project,as a building materialbricks can be used to build small structures such as a small home or a diy project,brick,brick,1.03117,0.98029,0.94125,0.96754,1.19162,1.02237,-6.1e-4
32,33,creative,3 As a fire safety measure bricks can be used to build a firebreak around a house or to prevent fire from spreading to a building,as a fire safety measure bricks can be used to build a firebreak around a house or to prevent fire from spreading to a building,brick,brick,0.95328,0.96443,0.97894,0.96754,1.19168,1.01117,-0.00119
33,34,creative,4 As a source of energy bricks can be used to make a small power source by connecting them to a voltage source and using a resistor to convert the energy into electricity,as a source of energy bricks can be used to make a small power source by connecting them to a voltage source and using a resistor to convert the energy into electricity,brick,brick,1.02684,0.94686,1.03343,0.96754,0.80821,0.95658,-9.9e-4
34,35,creative,5 As a furniture material bricks can be used to build small furniture such as a bookcase or a table,as a furniture material bricks can be used to build small furniture such as a bookcase or a table,brick,brick,0.96759,0.94557,1.04783,0.96754,1.19168,1.02404,0.00462
35,36,creative,6 As a material for painting bricks can be used to make a small painting such as a portrait or a landscape,as a material for painting bricks can be used to make a small painting such as a portrait or a landscape,brick,brick,1.01725,1.05355,0.95056,0.96754,0.80829,0.95944,0.00646
36,37,creative,7 As a construction materialbricks can be used to build a large structure such as a house or a factory,as a construction materialbricks can be used to build a large structure such as a house or a factory,brick,brick,0.93443,0.9928,1.04857,0.96754,1.19209,1.02709,0.0116
