...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use a fork to make a DIY salad dressing,use a fork to make a diy salad dressing,fork,fork,1.08113,0.88187,0.93396,0.96822,1.05863,0.98476,-0.00104
1,2,creative,1 Use a fork as a tool to clean your teeth,use a fork as a tool to clean your teeth,fork,fork,0.9412,0.82672,1.04494,0.96788,1.0590600000000001,0.96796,0.01266
2,3,creative,2 Use a fork to hold a picture of your favorite food,use a fork to hold a picture of your favorite food,fork,fork,0.89226,0.88567,1.04711,0.96811,0.94112,0.94685,-3.8e-4
3,4,creative,3 Use a fork to make a delicious and unique cake,use a fork to make a delicious and unique cake,fork,fork,1.08939,1.00413,0.91432,0.96793,1.06046,1.00725,-0.00284
4,5,creative,4 Use a fork to make a DIY salad dressing,use a fork to make a diy salad dressing,fork,fork,1.08113,0.88187,0.93396,0.96822,1.05863,0.98476,-0.00104
5,6,creative,5 Use a fork to create a DIY presentation for your child,use a fork to create a diy presentation for your child,fork,fork,1.02943,1.09551,1.01979,0.96791,1.0588,1.03429,0.02206
6,7,creative,6 Use a fork to help you eat your vegetables,use a fork to help you eat your vegetables,fork,fork,0.87424,1.05508,0.84171,0.95443,0.94102,0.9333,-0.12192
7,8,creative,7 Use a fork to make a DIY sword fighting display,use a fork to make a diy sword fighting display,fork,fork,1.12819,1.09262,0.92914,0.96779,0.94113,1.01177,-0.00674
8,9,creative,8 Use a fork to play a game of telephone with friends,use a fork to play a game of telephone with friends,fork,fork,0.76884,0.86951,1.03833,0.9678599999999999,0.94111,0.91713,-0.01441
9,10,creative,9 Use a fork to make a DIY painting,use a fork to make a diy painting,fork,fork,1.17327,1.15845,1.00555,0.9678599999999999,0.94113,1.04925,0.01898
10,11,creative,10 Use a fork to make a DIY dance floor,use a fork to make a diy dance floor,fork,fork,0.8630599999999999,1.11633,0.89125,0.96797,1.05876,0.97947,-0.02333
"11,12,fork,""1.  To make a delicious food salad, you can use a fork to hold the salad greens and use the other end to夹住菜質 (as in """"夹菜質"""" (gòu cài shí), which is a traditional Chinese dish called """"green salad with fish balls"""")."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12,13,fork,""2.  To make a DIY face mask, you can use a fork to hold a sheet of paper and push the fork-shaped tips against your face to create a DIY面具 (móu zhǎn máo), which can help remove any accumulated dust or pollution."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13,14,fork,""3.  To make a DIY cleaning tool, you can use a fork to hold a cleaning rag and use the other end to push against the surface you want to clean to remove any debris."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14,15,fork,""4.  To make a DIY noisemaker, you can use a fork to create a sound by striking the fork against the ground with the handle. You can use the sound to create a noise like a growl, a whisper, or a clatter."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15,16,fork,""5.  To make a DIY tool for cutting through hard materials, you can use a fork to form a pair of sharp tips and use them to cut through hard materials like rock or metal."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16,17,fork,""6.  To make a DIY tool for painting, you can use a fork to hold a painting brush and use the other end to push the brush against the surface you want to paint."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17,18,fork,""7.  To make a DIY ice cream container, you can use a fork to form a shape of your choice and then use the fork to fit the container into the shape."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18,19,fork,""8.  To make a DIY storage container, you can use a fork to form a shape of your choice and then use the fork to fit the container into the shape."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19,20,fork,""9.  To make a DIY tool for measuring, you can use a fork to hold a ruler and use the fork-shaped tips to mark the ruler on the surface you want to measure."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20,21,fork,""10.  To make a DIY noisemaker for a party, you can use a fork to make a sound by striking the fork against the ground with the handle. You can use the sound to create a noise like a growl, a whisper, or a clatter to attract the attention of the people in the party."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,22,creative,1 Use a fork as a tool to clean your,use a fork as a tool to clean your,fork,fork,0.92058,1.06966,0.9144,0.96797,0.94095,0.96271,-0.02702
22,23,creative,2 Coat a fork in paint and use it as a DIY painting tool,coat a fork in paint and use it as a diy painting tool,fork,fork,0.98031,1.16492,0.95492,0.9678599999999999,1.05878,1.02536,0.00342
23,24,creative,3 Use a fork to create a DIY,use a fork to create a diy,fork,fork,0.98095,0.88086,0.79864,0.96853,1.05814,0.93742,-0.04227
24,25,creative,4 the fork to make a DIYU,the fork to make a diyu,fork,fork,0.67637,0.84062,0.94938,0.9681,0.92604,0.8721,-0.04596
25,26,creative,5 Use a fork to make DIY,use a fork to make diy,fork,fork,1.28936,0.91799,0.99795,0.96718,0.94104,1.0227,0.01502
26,27,creative,6 use a fork to make DIY,use a fork to make diy,fork,fork,1.28936,0.91799,0.99795,0.96718,0.94104,1.0227,0.01502
27,28,creative,7 Use a fork to make DIYL,use a fork to make diyl,fork,fork,0.65401,0.86816,0.8932,0.96718,0.93875,0.86426,-0.06481
28,29,creative,8Coat a fork in and use it to make DIY,coat a fork in and use it to make diy,fork,fork,1.06241,0.89026,0.93627,0.96785,0.94128,0.95961,-0.01636
29,30,creative,9 the fork to make a DIYV,the fork to make a diyv,fork,fork,0.67637,0.84062,0.94938,0.9681,0.92604,0.8721,-0.04596
30,31,creative,10 Use a fork to make DIY,use a fork to make diy,fork,fork,1.28936,0.91799,0.99795,0.96718,0.94104,1.0227,0.01502
31,32,creative,,,fork,fork,NA,NA,NA,NA,NA,NA,NA
"32,33,fork,""1.  Use a fork as a weight loss tool. By using a fork to hold onto weight, you can reduce your hunger and make it easier to lose weight."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33,34,fork,""2.  Use a fork to create a unique and creative salad dressing. You can add a variety of ingredients, such as olive oil, lemon, salt, and pepper, to a fork to create a unique and delicious dressing."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
