...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use rope to String a String of LED lights around a Tree to Create a stunning,use rope to string a string of led lights around a tree to create a stunning,rope,rope,1.10254,1.07103,0.99123000000000006,0.96095,1.10529,1.04621,0.04
1,2,creative,2 Use rope to String a string of LED lights around a tree to create a stunning,use rope to string a string of led lights around a tree to create a stunning,rope,rope,1.10254,1.07103,0.99123000000000006,0.96095,1.10529,1.04621,0.04
2,3,creative,3 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
3,4,creative,4 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
4,5,creative,5 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
5,6,creative,6 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
6,7,creative,7 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
7,8,creative,8 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
8,9,creative,9 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
9,10,creative,10 Use rope to String a string ofLED lights around a tree to create a stunning,use rope to string a string ofled lights around a tree to create a stunning,rope,rope,1.09873,1.08087,1.03855,0.96095,1.10544,1.05691,0.05016
"10,11,rope,""Please note that the above ideas are just examples and you can use your imagination to come up with new and creative ideas using rope. Also, it's important to use the right materials and techniques for the job."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11,12,rope,""1. Use rope to String a Rainbow: You can use rope to string a Rainbow across a sky, it will be a beautiful sight to see."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12,13,rope,""2. Use rope to build a梯子： you can use rope to build a梯子 for your home or office, it will be easy and convenient."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13,14,rope,""3. Use rope to tie a吊床： you can use rope to build a吊床 for your garden or balcony, it will be a great way to relax and enjoy the beauty of nature."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14,15,rope,""4. Use rope to String a Statue: you can use rope to string a large Statue of your choice across a river or pond, it will create a beautiful visual effect."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15,16,rope,""5. Use rope to Build a Waterfall: you can use rope to build a large waterfall at your home or office, it will create a natural beauty and add to the overall aesthetic of your property."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16,17,rope,""6. Use rope to  Hitch a Vehicle: you can use rope to Hitch a vehicle to a tree or a other structure, it will be a secure and easy way to get around."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17,18,rope,""7. Use rope to Build a Fire: you can use rope to build a fire for warmth, lighting or cooking, it will be a unique and innovative way to stay warm."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18,19,rope,""8. Use rope to Build a strongBridge: you can use rope to build a strongBridge over a river or other body of water, it will be a testament to the power of human infrastructure."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19,20,rope,""9. Use rope to String a String Band: you can use rope to string a string band, it will be a unique and creative way to perform music."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,21,creative,10 Use rope to Build a Lifeline you can use rope to build a lifeline to provide emergency communication and access in case of an emergency,use rope to build a lifeline you can use rope to build a lifeline to provide emergency communication and access in case of an emergency,rope,rope,0.91584,1.04985,0.98509,0.96095,0.89434,0.96121,-0.01038
"21,22,rope,""1.  As a DIY project for DIYers, you can create a DIY knotted rope手链 by tieing knots in a length of rope and then using it to string small手链."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,23,creative,2  You can use rope to build a DIY stringed treehouse for your children,you can use rope to build a diy stringed treehouse for your children,rope,rope,0.87572,0.90265,0.95574,0.96139,0.87914,0.91493,-0.04422
"23,24,rope,""3.  As a DIY material for fishing, you can use rope to line a fishing rod."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24,25,rope,""4.  To make a DIY tensioner, you can tie a loop at one end of the rope and use it to tension a weight at the other end."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25,26,rope,""5.  As a DIY way to store books, you can build a bookcase out of rope."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26,27,rope,""6.  To make a DIY windsock, you can tie a length of rope to a string and then use it to create a windsock."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27,28,rope,""7.  As a DIY way to keep track of time, you can use a loop of rope to hang from a树上 or a hook to keep track of the time."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28,29,rope,""8.  To make a DIY floating platform, you can tie a length of rope to a weight and use it to float a small object such as a floater boat."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29,30,rope,""9.  To make a DIY wind-up toy, you can tie a loop at one end of the rope and use it to wind and unwind a toy."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,31,creative,10  As a DIY tool for you can use a length of rope to measure the distance between two points,as a diy tool for you can use a length of rope to measure the distance between two points,rope,rope,0.89485,0.97828,0.91376,0.96097,1.10495,0.97056,-0.01332
31,32,creative,1 Use a rope to tie a loop around a tree to retrieve your fallen,use a rope to tie a loop around a tree to retrieve your fallen,rope,rope,1.16126,0.92569,0.89057,0.96095,1.10549,1.00879,0.00631
32,33,creative,2 Use a rope to tie a loop around a tree to hold a for a picnic,use a rope to tie a loop around a tree to hold a for a picnic,rope,rope,1.1531500000000001,1.07174,1.00991,0.96095,1.105,1.06015,0.04972
33,34,creative,3 Use a rope to tie a loop around a tree to make a DIY,use a rope to tie a loop around a tree to make a diy,rope,rope,1.17164,0.90573,0.94108,0.96095,0.89517,0.97491,-0.00938
34,35,creative,4 Use a rope to tie a loop around a tree to make a DIY way station,use a rope to tie a loop around a tree to make a diy way station,rope,rope,1.19302,1.04827,0.8485199999999999,0.96095,0.89506,0.98916,-0.00394
35,36,creative,5 Use a rope to secure a harness for a horse or dog,use a rope to secure a harness for a horse or dog,rope,rope,0.93427,1.07794,0.96478,0.96088,1.10551,1.00868,0.0159
36,37,creative,6 Use a rope to secure a for a bridge over a river,use a rope to secure a for a bridge over a river,rope,rope,0.90788,1.0583,0.86255,0.96095,1.10661,0.97926,-0.0098
37,38,creative,7 Use a rope to tie a loop around a tree to hold a display case for your collection,use a rope to tie a loop around a tree to hold a display case for your collection,rope,rope,0.84363,0.92599,0.9855,0.96095,1.10533,0.96428,-0.01313
38,39,creative,8 Use a rope to secure a loop around a tree to hold a for a summer picnic,use a rope to secure a loop around a tree to hold a for a summer picnic,rope,rope,1.0459,0.92366,1.06635,0.96095,0.8949199999999999,0.97836,0.00247
39,40,creative,9 Use a rope to tie a loop around a tree to hold a display case for your art,use a rope to tie a loop around a tree to hold a display case for your art,rope,rope,0.84502,0.92514,0.98325,0.96095,1.10536,0.96394,-0.01352
40,41,creative,10 Use a rope to tie a loop around a tree to hold a weight system for a fitness center,use a rope to tie a loop around a tree to hold a weight system for a fitness center,rope,rope,0.8457,0.96824,0.97804,0.96095,0.89473,0.92953,-0.03198
41,42,creative,1 As a string to tie or  to a tree or object,as a string to tie or to a tree or object,rope,rope,0.8374900000000001,1.12437,0.89324,0.96094,0.8930899999999999,0.94183,-0.02674
42,43,creative,2 As a DIY tool to tie fishing line to a hook,as a diy tool to tie fishing line to a hook,rope,rope,1.11744,0.99011,0.9535,0.961,1.10494,1.0254,0.0226
43,44,creative,3 As a DIY tool to help tie shoes or socks,as a diy tool to help tie shoes or socks,rope,rope,0.84866,1.00699,0.87853,0.96061,0.89877,0.91871,-0.04464
44,45,creative,4 As a DIY tool to help tie or to trees or objects,as a diy tool to help tie or to trees or objects,rope,rope,0.84832,1.01119,0.96164,0.96095,0.89557,0.93553,-0.02847
45,46,creative,5 As a DIY tool to help tie  to prevent them from sleeping on the ground,as a diy tool to help tie to prevent them from sleeping on the ground,rope,rope,0.81256,0.92621,1.02456,0.96095,1.1050200000000001,0.96586,-0.00927
46,47,creative,6 As a DIY tool to help tie or to a boat to prevent it from floating away,as a diy tool to help tie or to a boat to prevent it from floating away,rope,rope,0.82067,1.00617,1.07582,0.96095,1.10495,0.99371,0.01328
47,48,creative,7 As a DIY tool to help tie or to a car to prevent it from being damaged by wind or rain,as a diy tool to help tie or to a car to prevent it from being damaged by wind or rain,rope,rope,0.80725,1.06866,1.01242,0.96095,1.1051,0.99088,0.00856
48,49,creative,8 As a DIY tool to help tie or to a building to prevent it from being damaged by fire,as a diy tool to help tie or to a building to prevent it from being damaged by fire,rope,rope,0.88236,1.00067,0.93563,0.96095,1.1048499999999999,0.97689,-0.00731
49,50,creative,9 As a DIY tool to help tie or to a skydiver to help them land safely,as a diy tool to help tie or to a skydiver to help them land safely,rope,rope,0.82735,1.01357,0.89366,0.96095,1.10484,0.96007,-0.0201
50,51,creative,10 As a DIY tool to help tie or to a wind turbine to prevent it from damage by wind,as a diy tool to help tie or to a wind turbine to prevent it from damage by wind,rope,rope,1.01659,1.00377,0.93001,0.96095,1.10464,1.00319,0.00802
51,52,creative,1 Use it to tie together a puzzle or to build a snowman,use it to tie together a puzzle or to build a snowman,rope,rope,0.93552,1.00917,0.99498,0.96095,0.89409,0.95894,-0.01209
52,53,creative,2 String it across a bridge to help keep it stable,string it across a bridge to help keep it stable,rope,rope,0.9164,1.1195,1.01887,0.9608,1.12071,1.02726,0.03205
53,54,creative,3 Use it to help tie asold goods together to make a load,use it to help tie asold goods together to make a load,rope,rope,1.0864,0.95804,0.89554,0.961,0.8886499999999999,0.95793,-0.02146
54,55,creative,4 Use it to tie a loop around a tree to help it hold a weight,use it to tie a loop around a tree to help it hold a weight,rope,rope,0.92472,1.11017,1.0165,0.96095,0.89286,0.98104,0.0054
55,56,creative,5 Use it to tie a harness for a small child to help them keep warm,use it to tie a harness for a small child to help them keep warm,rope,rope,0.815,1.06485,1.1294,0.96095,0.89456,0.97295,0.00775
56,57,creative,6 Use it to secure a hook to a window frame to catch fish,use it to secure a hook to a window frame to catch fish,rope,rope,0.8442000000000001,1.07789,0.97974000000000006,0.96095,0.89475,0.95151,-0.01581
57,58,creative,7 Use it to build a hand bridge over a deep well,use it to build a hand bridge over a deep well,rope,rope,0.92295,1.05951,1.07041,0.96095,0.88501,0.97977,0.00733
58,59,creative,8 Use it to build a DIY wind turbine,use it to build a diy wind turbine,rope,rope,1.0208,1.02907,1.02571,0.95921,0.90647,0.98825,0.00894
59,60,creative,9 Use it to build a DIY zip line,use it to build a diy zip line,rope,rope,1.03308,0.9383,0.91896,0.96087,0.90575,0.95139,-0.02419
60,61,creative,10 Use it to string up a string of lights to help a house,use it to string up a string of lights to help a house,rope,rope,0.86386,1.08119,0.98223,0.96095,0.89409,0.95646,-0.01258
61,62,creative,1 Use it to tie your shoes,use it to tie your shoes,rope,rope,1.15151,1.01084,1.11616,0.96094,1.11981,1.07185,0.06287
62,63,creative,2 Use it to secure a boat to the,use it to secure a boat to the,rope,rope,0.88092,1.07502,1.08321,0.96093,1.11232,1.02248,0.03279
63,64,creative,3 Use it to build a tensional tree stand,use it to build a tensional tree stand,rope,rope,0.93557,0.91169,1.1417,0.9612,0.88779,0.96759,0.00127
64,65,creative,4 Use it to build a DIY wind generator,use it to build a diy wind generator,rope,rope,1.11458,0.97605,1.01042,0.9599,0.91118999999999994,0.99443,0.0097
65,66,creative,5 Use it to create a DIY,use it to create a diy,rope,rope,1.0342500000000001,0.94692,1.09218,0.96028,0.9106,0.98885,0.01149
66,67,creative,6 Use it to make a DIY harness,use it to make a diy harness,rope,rope,0.89308,0.9705,0.9749,0.9608099999999999,1.1,0.97986,-0.00334
67,68,creative,7 Use it to secure a window screen,use it to secure a window screen,rope,rope,0.96591,0.97163,0.93474,0.96103,0.8868,0.94402,-0.02647
68,69,creative,8 Use it to build a DIY water bucket,use it to build a diy water bucket,rope,rope,1.05576,1.05332,1.01316,0.96122,0.89302,0.9953,0.01198
69,70,creative,9 Use it to make a DIY windsock,use it to make a diy windsock,rope,rope,1.06,0.94326,0.88333,0.9607,0.90494,0.95045,-0.02718
70,71,creative,10 Use it to make a DIYstring of beauty,use it to make a diystring of beauty,rope,rope,0.89297,1.03299,0.98786,0.96098,0.8818,0.95132,-0.01646
71,72,creative,1 Use a rope to build a DIY Bridge to connect two different locations,use a rope to build a diy bridge to connect two different locations,rope,rope,0.96388,0.93401,1.08011,0.96097,1.1048499999999999,1.00876,0.02062
72,73,creative,2 Make a DIY windsock using a rope and a string,make a diy windsock using a rope and a string,rope,rope,0.84751,0.88239,1.03104,0.96101,1.10301,0.96499,-0.0105
73,74,creative,3 Use a rope to tie a loop around a tree to hold a weightless Trolley,use a rope to tie a loop around a tree to hold a weightless trolley,rope,rope,0.85589,0.88125,1.11378,0.96095,0.8943,0.94123,-0.01725
74,75,creative,4 Use a rope to build a DIY snowslide for a outdoor activity center,use a rope to build a diy snowslide for a outdoor activity center,rope,rope,0.89041,0.95722,0.9123600000000001,0.96089,0.89531,0.92324,-0.04088
75,76,creative,5 Use a rope to create a DIY wind turbine Generator,use a rope to create a diy wind turbine generator,rope,rope,0.97031,1.11799,0.90967,0.95811,0.90495,0.97221,-0.00632
76,77,creative,6 Use a rope to build a DIY C for a garden,use a rope to build a diy c for a garden,rope,rope,1.12132,1.04343,0.9877,0.96089,1.10494,1.04366,0.03751
77,78,creative,7 Use a rope to build a DIY zipline to reach a high place,use a rope to build a diy zipline to reach a high place,rope,rope,1.06526,0.92664,0.91416,0.96095,0.89599,0.9526,-0.02412
78,79,creative,8 Use a rope to build a DIY entanglement to catch fish in a pond,use a rope to build a diy entanglement to catch fish in a pond,rope,rope,0.97415,1.05275,1.13152,0.96095,1.10505,1.04488,0.04916
79,80,creative,9 Use a rope to build a DIY entanglement to catch small children,use a rope to build a diy entanglement to catch small children,rope,rope,1.11296,1.03901,1.12323,0.96091,1.10568,1.06836,0.06217
80,81,creative,10 Use a rope to build a DIY string of lights for a road trip,use a rope to build a diy string of lights for a road trip,rope,rope,1.12587,1.00584,1.03182,0.96095,0.89493,1.00388,0.01732
81,82,creative,1 Use it to tie your shoes,use it to tie your shoes,rope,rope,1.15151,1.01084,1.11616,0.96094,1.11981,1.07185,0.06287
