...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use the tin can as a container for small electronics,use the tin can as a container for small electronics,tin can,tin can,0.85451,0.90465,1.03658,0.80066,0.29894,0.77907,0.32495
1,2,creative,2Make a DIY wine/ storage container,make a diy wine storage container,tin can,tin can,0.8480300000000001,1.04236,1.00734,0.93533,1.58805,1.08422,0.50043
2,3,creative,3 Use the tin can to make a DIY storage container for food,use the tin can to make a diy storage container for food,tin can,tin can,0.8501,0.94387,0.97182,0.80234,1.63143,1.03991,0.32811
3,4,creative,4Make a DIY container for storage of musical instruments,make a diy container for storage of musical instruments,tin can,tin can,0.93834,1.05508,1.07386,0.8011699999999999,0.37165000000000004,0.84802,0.31684
4,5,creative,5 Use the tin can to make a DIY hat,use the tin can to make a diy hat,tin can,tin can,1.1730800000000001,0.93754,0.92832,0.80104,0.36429999999999996,0.84086,0.32629
5,6,creative,6 Use the tin can to make a DIY weight gainer,use the tin can to make a diy weight gainer,tin can,tin can,0.85103,1.04245,0.98472,0.79987,0.37688999999999995,0.81099,0.32162
6,7,creative,7 Use the tin can to make a DIY impact microphone,use the tin can to make a diy impact microphone,tin can,tin can,1.04642,1.07642,1.01583,0.8004100000000001,1.6314899999999999,1.11411,0.31572
7,8,creative,8 Use the tin can to make a DIY gardener's,use the tin can to make a diy gardeners,tin can,tin can,1.0035,0.93715,1.12823,0.8017799999999999,0.34907999999999995,0.84395,0.31823
8,9,creative,9 Use the tin can to make a DIY DIY car storage container,use the tin can to make a diy diy car storage container,tin can,tin can,0.8489599999999999,1.03821,0.93837,0.79882,0.35797,0.79647,0.32301
9,10,creative,10 Use the tin can to make a DIY DIY storage container for ideas,use the tin can to make a diy diy storage container for ideas,tin can,tin can,1.15337,0.95226,1.04601,0.80226,1.6425100000000001,1.11928,0.3198
"10,11,tin can,""1. As a storage container: Use a tin can as a storage container for small items, such as纽扣，邮票， and信封."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,12,creative,2 As a paint container Paint a picture with the inside of a tin can,as a paint container paint a picture with the inside of a tin can,tin can,tin can,0.82517,1.0902,1.09036,0.80094,0.35474000000000006,0.83228,0.31571
12,13,creative,3 As a food container Use a tin can as a container for storing fruits and vegetables,as a food container use a tin can as a container for storing fruits and vegetables,tin can,tin can,0.8472,1.23291,1.07609,0.80055,0.35921000000000003,0.86319,0.3104
"13,14,tin can,""4. As a DIY project: Create a DIY project with the help of a tin can, such as making a DIY storage box or a DIY water bottle."",creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15,creative,5 As a water bottle Store water in a tin can to make it fresh and available always,as a water bottle store water in a tin can to make it fresh and available always,tin can,tin can,1.14349,0.95771,1.0923,0.80093,1.64015,1.12692,0.31536
15,16,creative,6 As a DIY project Create a DIY storage container with the help of a tin can,as a diy project create a diy storage container with the help of a tin can,tin can,tin can,1.15069,1.02085,0.95968,0.80093,0.36043000000000003,0.85852,0.32156
16,17,creative,7 As a fireproof container Use a tin can to store fireProof food and water,as a fireproof container use a tin can to store fireproof food and water,tin can,tin can,0.7791399999999999,1.07259,0.98218,0.80091,0.31582,0.79013,0.32298
17,18,creative,8 As a DIY project Create a DIY water bottle with the help of a tin can,as a diy project create a diy water bottle with the help of a tin can,tin can,tin can,1.15093,1.14333,0.96948,0.80094,0.36148,0.88523,0.31646
18,19,creative,9 As a display item Display your DIY project or creativity in a tin can,as a display item display your diy project or creativity in a tin can,tin can,tin can,0.86668,0.90569,1.0983,0.8009999999999999,1.63324,1.06098,0.32047
19,20,creative,10 As a target Use a tin can as a target for a DIY game or target practice,as a target use a tin can as a target for a diy game or target practice,tin can,tin can,1.15771,0.90942,1.04983,0.80094,0.36255000000000004,0.85609,0.32061
20,21,creative,1 Use the tin can as a container for storing vegetables or fruits You can cut the can into small sizes and use it as a storage container for your fresh vegetables,use the tin can as a container for storing vegetables or fruits you can cut the can into small sizes and use it as a storage container for your fresh vegetables,tin can,tin can,1.15134,0.96631,1.05756,0.80093,1.63788,1.1228,0.31688
21,22,creative,2 Make a delicious soup from the contents of the tin can You can add any vegetables or meats you like to the soup and make it your own unique dish,make a delicious soup from the contents of the tin can you can add any vegetables or meats you like to the soup and make it your own unique dish,tin can,tin can,1.08993,0.96199,0.94257,0.80093,0.3621,0.8315,0.32546
