id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Abe	Apple	Attention	Adam	Afford	Act	Attack	Azure	Beautiful	Build	78.66374121180603
1	Abe	Apple	Amazon	Android	Barack	Biscuit	Canary	Cherry	Candy	Cow	69.41610113495872
2	Arise	Act	Attack	Area	Build	Compare	Carry	Date	Do	Drive	72.6268267347699
3	Water	Air	Fire	Earth	Sky	Sun	Moon	Stars	Tree	Animal	52.112636679694766
4	Apex	Chaos	Cyber	Data	Echo	Dream					NA
5	Abel	Apple	Attack	Avalon	Bread	Bridge	Calamity	Cargo	Capture	Cream	82.74259659506026
6	Abel	Apple	Android	Azure	Blackberry	Charlie	Coca-Cola	Dave	Facebook	Google	NA
7	AbiWord	AlphaGo	Azure	BobWord	CharlieGo	Go	DioWord	EloWord			NA
8	Water	Air	Fire	Tree	fruits	Day	Night	Home	Heart	Brain	65.24994877122697
9	Water	Air	Fire	Earth	Sun	Moon	Mind	Body	Spirit		57.1884932972136
10	Dream	City	ocean	happiness	One	school	television	country	friend	love	68.43031815120152
11	Water	Fire	Sky	Earth	Wind	Sun	Moon	Cloud	Tree	Animal	50.570425107365566
12	Abiword	Alpha	Android	Apple	Baton	Charlie	Delta	Echo	Fox	Galaxy	79.8826322624726
13	book	cat	planet	car	university	lake	house	person	language	disease	73.35733182373501
14	Asleep	Away	Bean	Bed	Bread	Bridge	Business	Charlie	Chat		75.42288686547961
15	Asleep	Blind	Blindfold	Candy	Dark	Descent	Fast	Frustrated	Glacier		77.00309804862454
16	attention	permission	word	description	mood	knowledge					NA
17	Arise	Bridge	Charlie	Date	Duck	Earth	Drive	Doll	Drop	East	82.52334995638756
18	Abilene	Alice	Albert	Apollo	Atlas	American	Arthur	Arturo	Astound	aulete	NA
19	AbiSON	ACKONDADE	ARMY	BRAT	CANned	CAN	CASS	CAVE	cadet	Adam	NA
20	Water	Sky	Tree	House	Computer	Network	Internet	Mathematics	Physics	Art	69.39526540892464
21	Crust	Fluff	Shell	Pillow	Band	Lumpy	Pants	Glass	Bean	Tree	75.355001876042
22	Water	Sky	Heart	Brain	Tree	Sun	Moon	Shell	Lion	Human	62.213935809476034
23	Aisle	Bridge	Course	Clock	Cushion	Dragon	Disc	File	Frame	floor	82.19750598073006
24	AbiSON	ACKNOWLEDGE	ALBERTO	AMBER	APPRAISAL	ARIEL	ARTIFICIAL	ASTRONAUT	AVAILMENT	AXE	NA
25	Asleep	Blind	Crusty	Dying	zhnggu	yon	Empty	Frustrated	Happily	Honest	73.42729352059818
26	Abiline	Aerial	Base	Basement	Battalage	Balance	Batch	Bark	Basement	Beastly	85.92254390851373
27	Apple	Ball	Bridge	Book	Coracle	Dune	Engine	File	House	Knight	88.8761011581491
28	ball	book	tree	house	person	city	sea	computer	machine	planet	72.80315976767312
29	Water	Fire	Air	Earth	Sun	Moon	Brain	Heart	Dinner	Art	61.208160718282066
30	Asleep	Blind	Cleaved	Dead	Dark	Dust	Easy	Fell	Fire	Frustrated	76.16696304508618
31	ball	book	car	house	teacher	student	team	map	nation	screen	71.14106168349583
32	Concept	change	Disorder	Empower	Fate	Habilis	Knowledge	Lumen			79.78261546342678
33	Abel	Achtung	Base	Baton	BDSM	Chapstick	Cage	Call	Canon	Cat	NA
34	Cargo	Course	Conduct	Clown	Count	Course					NA
35	Arise	Bat	Bed	Brain	ceiling	Cure	Dwell	Dove	Food	Get	78.15824615813438
36	Water	Air	Fire	Earth	Sun	Moon	Cloud	Tree	Human	Animal	57.3354164759318
37	Asleep	still	Blind	Bulwark	Carry	Cleave	Call	Capture	Chat	Clown	80.08217792542253
38	Crust	Flocculent	Mood	Symptom	Pest	Venereal	Zoonose	Oily	Vaccine	Ecosystem	83.3682611495966
39	Water	Sky	Food	Car	Home	Network	Art	Time	Space	Love	72.58039421978451
40	Abel	Apple	Apothecary	Artificial	Auto	Avalon	Balinese	Blade	Block		NA
41	Abiquitous	Blind	Burst	Cargo	ceiling	sky	Cliff	mountain	Clime	change	72.99214828582038
