P_ID,Flow,Word count,NAs
0,0.8624930013721828,50,42

1,0.4637191381714997,50,25

2,0.751944274390262,50,15

3,0.4534824049723929,50,19

4,0.5993402103945876,50,16

5,0.7506655710877546,50,3

6,0.5036584785711187,50,9

7,0.7714415310316113,50,0

8,0.5289069366775838,50,14

9,0.5594865711651907,50,16

10,0.7026422240906848,50,0

11,0.5295874326157959,50,28

12,0.5723305337701685,50,6

13,0.46624550239801443,50,19

14,0.575087373095956,50,6

15,0.6834792208894495,50,1

16,0.688443139255228,50,15

17,0.6361107354700182,50,17

18,0.5522067143407365,50,18

19,0.4974071920984991,50,18

20,0.735608931290207,50,1

21,0.6342740158152803,50,18

22,0.44596196847773,50,1

23,0.5550055740811578,50,7

24,0.550252802344496,50,17

25,0.458384900829716,50,19

26,0.6570476036960041,50,11

27,0.559357530578287,50,20

28,0.742607072484364,50,5

29,0.4764173728392835,50,1

30,0.5613107050115205,50,18

31,0.6962019156538068,50,2

32,0.4973785307386041,50,18

33,0.7165797682243609,50,16

34,0.7817408685458827,50,0

35,0.5132269074407018,50,19

36,0.4102680802742608,50,19

37,0.5001638377071796,50,35

38,0.5095404442740682,50,1

39,0.48478787585884975,50,22

40,0.6206687956753997,50,14

41,0.49530282434045175,50,1

42,0.6067511078092972,50,19

43,0.5037410214028681,50,19

44,0.7199830665359362,50,0

45,0.6059831741031904,50,3

46,0.6826795356110522,50,10

47,0.401055714652209,50,7

48,0.4667772455880297,50,1

49,0.6152095711170278,50,14

50,0.7452451773135397,50,9

51,0.6523241048934927,50,12

52,0.7300081792483262,50,15

53,0.49599161342348785,50,12

54,0.5832422967198998,50,18

55,0.36505155092299674,50,24

56,0.5191810007984219,50,19

57,0.6038189475874994,50,21

58,0.5968657981134333,50,10

59,0.4316702672963759,50,15

60,0.6238037094581265,50,18

61,0.6353187244838553,50,8

62,0.6100354416430429,50,4

63,0.6807194765494581,50,15

64,0.4945269028773873,50,18

65,0.6352572058982996,50,23

66,0.6003443483497037,50,16

67,0.7035166276280971,50,3

68,0.7219958398468841,50,3

69,0.5051706835333882,50,23

70,0.48683839048936517,50,1

71,0.3444927784880091,50,16

72,0.48365213481935027,50,24

73,0.5640277061918737,50,9

74,0.6228031548031776,50,7

75,0.6300573133273356,50,17

76,0.3787342388463465,50,13

77,0.5063642270326596,50,41

78,0.4450876821333524,50,1

79,0.5822653389785525,50,18

80,0.6280308117228486,50,17

81,0.5931645038644495,50,18

82,0.5136335904383833,50,0

83,0.46380563956468485,50,27

84,0.6554050009119418,50,9

85,0.7355992999170358,50,0

86,0.7414366110301079,50,0

87,0.6932380139040194,50,2

88,0.5250502082541533,50,17

89,0.4353399528061767,50,1

90,0.5385952623487519,50,0

91,0.45222815628886004,50,26

92,0.5038788269528829,50,1

93,0.49186694914727364,50,28

94,0.673647867388853,50,17

95,0.4635883469404016,50,2

96,0.6648491073833278,50,3

97,0.8702698928860793,50,48

98,0.5836839589112055,50,0

99,0.7822430885626636,50,0

