...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Turn it into a reading hut or fort for kids by cutting out a door and windows and decorating it with markers stickers or paint,turn it into a reading hut or fort for kids by cutting out a door and windows and decorating it with markers stickers or paint,box,box,0.84746,1.05268,0.94536,0.9688,0.77685,0.91823,-0.00901
1,2,creative,2 Use it as a planter by lining it with plastic and filling it with soil and plants,use it as a planter by lining it with plastic and filling it with soil and plants,box,box,0.8775,0.93581,0.95015,0.9688,1.2333,0.99311,0.01515
2,3,creative,3 Create a DIY cat house by cutting openings for doors and windows furnishing with pillows and blankets and adding some feline toys,create a diy cat house by cutting openings for doors and windows furnishing with pillows and blankets and adding some feline toys,box,box,1.10795,1.0826500000000001,1.02896,0.9688,0.77614,0.9929,-0.01244
3,4,creative,4 Turn it into a treasure chest by painting it gold or silver and filling it with plastic jewels and coins,turn it into a treasure chest by painting it gold or silver and filling it with plastic jewels and coins,box,box,1.15791,1.1067,1.02336,0.9688,1.22694,1.09674,0.01144
4,5,creative,5 Use it as a DIY speaker by cutting out holes for the sound to come out inserting a speaker system and covering it with fabric or wrapping paper,use it as a diy speaker by cutting out holes for the sound to come out inserting a speaker system and covering it with fabric or wrapping paper,box,box,0.87331,1.0936,0.94895,0.9688,0.82854,0.94264,-0.00646
5,6,creative,6 Turn it into a pet bed by cushioning it with blankets or pillows and decorating it with pet toys,turn it into a pet bed by cushioning it with blankets or pillows and decorating it with pet toys,box,box,0.88994,1.00143,0.93752,0.9688,1.22316,1.00417,0.01459
6,7,creative,7 Create a photo booth by cutting out a section for the camera and lining with different colored wrapping paper or fabric for an interesting background,create a photo booth by cutting out a section for the camera and lining with different colored wrapping paper or fabric for an interesting background,box,box,0.90432,1.03906,1.03614,0.9688,0.77622,0.94491,-0.00998
7,8,creative,8 Use it as a compost bin by filling it with compostable materials and drilling holes for ventilation,use it as a compost bin by filling it with compostable materials and drilling holes for ventilation,box,box,1.07567,0.9051400000000001,0.98121,0.9688,0.96323,0.97881,-0.0021
8,9,creative,9 Create a cardboard maze by cutting out small openings and attaching the boxes together to create a fun adventure for kids,create a cardboard maze by cutting out small openings and attaching the boxes together to create a fun adventure for kids,box,box,1.10518,0.8975299999999999,0.94068,0.9688,0.77689,0.93782,-0.0125
9,10,creative,10 Use a small box as a desk caddy by painting or covering it with paper inserting dividers or compartments and filling it with pens paperclips and other small stationery,use a small box as a desk caddy by painting or covering it with paper inserting dividers or compartments and filling it with pens paperclips and other small stationery,box,box,0.89119,1.0907499999999999,1.0616,0.9688,1.22532,1.04753,0.01458
