...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 As a doorstop brick can hold any door open even the heaviest door with ease,as a doorstop brick can hold any door open even the heaviest door with ease,brick,brick,0.92299,1.05291,0.95163,0.96756,1.19167,1.01735,0.01126
1,2,creative,2 As a garden border use bricks as a border in your garden to keep your plants flowers and soil contained and looking neat,as a garden border use bricks as a border in your garden to keep your plants flowers and soil contained and looking neat,brick,brick,1.02931,0.9637,1.02819,0.96754,0.80833,0.95941,-0.00949
2,3,creative,3 As a candle holder set a tea light candle on top of a brick for an industriallooking candle holder,as a candle holder set a tea light candle on top of a brick for an industriallooking candle holder,brick,brick,1.02948,1.02126,1.02195,0.9675,1.19167,1.04637,0.01169
3,4,creative,4 As a bookend stack a few bricks together and use them to hold up your books,as a bookend stack a few bricks together and use them to hold up your books,brick,brick,0.97289,1.02542,0.95332,0.96754,0.80824,0.94548,-0.00969
4,5,creative,5 As a paperweight use a brick to hold down papers or prevent them from flying away,as a paperweight use a brick to hold down papers or prevent them from flying away,brick,brick,0.80824,0.9557,0.96138,0.96754,0.80831,0.90023,-0.01041
5,6,creative,6 As a weight for exercising stack a few bricks together and use them as a weight for exercising,as a weight for exercising stack a few bricks together and use them as a weight for exercising,brick,brick,0.97027,1.07742,1.04572,0.96754,1.1917,1.05053,0.01156
6,7,creative,7 As a cooking surface use a brick to cook your food on an open flame for a unique outdoor cooking experience,as a cooking surface use a brick to cook your food on an open flame for a unique outdoor cooking experience,brick,brick,1.03097,0.94746,1.00912,0.96754,0.80832,0.95268,-0.00952
7,8,creative,8 As a pet house build a small pet house for your furry friends with bricks,as a pet house build a small pet house for your furry friends with bricks,brick,brick,0.84801,1.0567,0.9025,0.96753,0.80835,0.91662,-0.01016
8,9,creative,9 As a coaster grip the bottom of the brick and use it as an unconventional coaster for your drinks,as a coaster grip the bottom of the brick and use it as an unconventional coaster for your drinks,brick,brick,1.10819,0.94913,1.05975,0.96754,0.80833,0.97859,-0.00918
9,10,creative,10 As a fire pit build a fire pit with bricks perfect for enjoying cooler evenings outdoors,as a fire pit build a fire pit with bricks perfect for enjoying cooler evenings outdoors,brick,brick,1.05219,0.91865,1.04205,0.96753,1.19167,1.03442,0.01165
