...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Use the tines of a fork to create patterns or texture in clay or playdough,use the tines of a fork to create patterns or texture in clay or playdough,fork,fork,0.83249,0.88664,0.92856,0.96768,1.05881,0.93484,-0.02609
1,2,creative,2 Use a fork to create a makeshift guitar by strumming the tines and humming or singing along,use a fork to create a makeshift guitar by strumming the tines and humming or singing along,fork,fork,0.84447,1.0766,0.9244600000000001,0.96787,1.05886,0.97445,-0.03971
2,3,creative,3 Thread string through the tines of a fork to create a DIY pendant necklace,thread string through the tines of a fork to create a diy pendant necklace,fork,fork,1.09703,1.11583,1.07587,0.9678599999999999,0.94094,1.03951,0.02007
3,4,creative,4 Use a fork to comb through tangled hair or to tease out knots,use a fork to comb through tangled hair or to tease out knots,fork,fork,0.94376,0.96306,0.91638,0.96782,0.99687,0.95758,-0.01999
4,5,creative,5 Use the prongs of a fork to hold a small object in place while painting or spraying it,use the prongs of a fork to hold a small object in place while painting or spraying it,fork,fork,1.02956,0.91935,0.96817,0.9678599999999999,0.94114,0.96522,0.00516
5,6,creative,6 Use a fork to create decorative marks in whipped cream or icing,use a fork to create decorative marks in whipped cream or icing,fork,fork,1.03552,0.8585,0.94382,0.96768,1.05902,0.97291,0.00159
6,7,creative,7 Use a fork to help plant small seeds in a garden or potting soil,use a fork to help plant small seeds in a garden or potting soil,fork,fork,0.81786,1.02656,1.06327,0.96784,0.94114,0.96333,-0.00675
7,8,creative,8 Use the tines of a fork to clean hardtoreach areas in small appliances or machinery,use the tines of a fork to clean hardtoreach areas in small appliances or machinery,fork,fork,0.7928,1.04865,1.04739,0.96792,0.94084,0.95952,-0.01439
8,9,creative,9 Use a fork to roast marshmallows over a campfire or fireplace,use a fork to roast marshmallows over a campfire or fireplace,fork,fork,0.96854,1.13306,0.89116,0.96791,1.05868,1.00387,-0.03701
9,10,creative,10 Use the handle of a fork to make imprints in dough or pastry crust for decorative purposes,use the handle of a fork to make imprints in dough or pastry crust for decorative purposes,fork,fork,1.05564,0.89503,1.05917,0.9678599999999999,0.94106,0.98375,0.02853
10,11,creative,1 Use a fork to create designs in dough or frosting when baking cakes or cookies,use a fork to create designs in dough or frosting when baking cakes or cookies,fork,fork,0.90356,1.06588,0.92833,0.96784,0.94066,0.96125,-0.02788
11,12,creative,2 Use a fork to create a unique piece of artwork by dipping the tines in paint and pressing onto paper or canvas,use a fork to create a unique piece of artwork by dipping the tines in paint and pressing onto paper or canvas,fork,fork,0.8857,0.95321,1.04815,0.9678599999999999,0.94109,0.9592,0.00314
12,13,creative,3 Use a fork to scratch your back when you cant reach a difficult spot,use a fork to scratch your back when you cant reach a difficult spot,fork,fork,1.09171,0.97984,1.10058,0.9678599999999999,0.94108,1.01621,0.03469
13,14,creative,4 Use a fork to aerate soil in a potted plant,use a fork to aerate soil in a potted plant,fork,fork,0.94565,0.91445,1.07462,0.96653,0.94436,0.96912,0.01746
14,15,creative,5 Use a fork to unclog a stubborn zipper by gently prying it open,use a fork to unclog a stubborn zipper by gently prying it open,fork,fork,0.7935300000000001,0.89155,0.86886,0.96789,0.9442699999999999,0.89322,-0.03934
15,16,creative,6 Use a fork to create a makeshift guitar by running a rubber band between the tines and strumming,use a fork to create a makeshift guitar by running a rubber band between the tines and strumming,fork,fork,1.10931,0.88951,1.01232,0.9678599999999999,1.05886,1.00757,0.02157
16,17,creative,7 Use a fork as a tool to shred cooked meat or vegetables into smaller pieces,use a fork as a tool to shred cooked meat or vegetables into smaller pieces,fork,fork,0.90128,0.9649,0.91426,0.96789,1.05887,0.96144,-0.02718
17,18,creative,8 Use a fork to hang small items like earrings or keys from the prongs,use a fork to hang small items like earrings or keys from the prongs,fork,fork,1.02991,1.01963,1.07686,0.9678599999999999,0.94116,1.00708,0.02002
18,19,creative,9 Use a fork to create miniature garden rows for planting seeds,use a fork to create miniature garden rows for planting seeds,fork,fork,1.12743,0.92595,0.92031,0.9687,0.94114,0.97671,0.006
19,20,creative,10 Use a fork to make a unique piece of jewelry by attaching a charm or bead to the tines,use a fork to make a unique piece of jewelry by attaching a charm or bead to the tines,fork,fork,1.10015,1.02668,0.9278,0.9678599999999999,1.05909,1.01632,-0.00703
20,21,creative,1 Use a fork to create a unique pattern in clay or dough,use a fork to create a unique pattern in clay or dough,fork,fork,1.11114,0.89003,1.09524,0.96777,0.94153,1.00114,0.0424
