...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Create a rope bridge across a stream or small ravine,create a rope bridge across a stream or small ravine,rope,rope,0.8958200000000001,1.03615,1.02869,0.96273,0.89421,0.96352,0.00779
1,2,creative,2 Use the rope to make a makeshift swing in a tree,use the rope to make a makeshift swing in a tree,rope,rope,0.8174,0.91337,0.93776,0.96098,0.89491,0.90488,0.01156
2,3,creative,3 Tie up a hammock between two trees,tie up a hammock between two trees,rope,rope,0.9302900000000001,1.01188,0.95646,0.94039,1.11647,0.9911,-0.01059
3,4,creative,4 Cut the rope to varying lengths and use as a unique and rustic curtain tieback,cut the rope to varying lengths and use as a unique and rustic curtain tieback,rope,rope,1.06468,0.96979,1.08693,0.96094,1.10366,1.0372,-0.01327
4,5,creative,5 Use a thick rope as a workout tool for pulling and climbing exercises,use a thick rope as a workout tool for pulling and climbing exercises,rope,rope,1.14746,0.92023,0.99584,0.96096,0.89423,0.98374,0.01288
5,6,creative,6 Braid multiple ropes together to make a sturdy dog leash or horse lead,braid multiple ropes together to make a sturdy dog leash or horse lead,rope,rope,0.85806,0.85998,0.86148,0.95947,0.8975,0.8873,0.01528
6,7,creative,7 Create an obstacle course using ropes as balance beams or monkey bars,create an obstacle course using ropes as balance beams or monkey bars,rope,rope,0.90632,1.1734,0.8967,0.96957,1.10598,1.01039,-0.00957
7,8,creative,8 Use a long rope as a jump rope for fitness or play,use a long rope as a jump rope for fitness or play,rope,rope,1.11572,1.08582,1.12125,0.96096,1.10574,1.0779,-0.01525
8,9,creative,9 Use a thick rope tied to a tree to create a DIY tire swing,use a thick rope tied to a tree to create a diy tire swing,rope,rope,0.86016,0.95243,1.16165,0.96097,0.89525,0.96609,0.00272
9,10,creative,10 Use the rope to secure a tall plant or tree to a stake for extra support,use the rope to secure a tall plant or tree to a stake for extra support,rope,rope,1.17526,0.93762,1.05865,0.96095,1.10539,1.04757,-0.01083
10,11,creative,1 Building a backyard obstacle course for children using ropes tied between trees,building a backyard obstacle course for children using ropes tied between trees,rope,rope,1.01521,1.06993,1.01027,0.95885,1.10505,1.03186,-0.01166
11,12,creative,2 Making a DIY hammock using a strong sturdy rope,making a diy hammock using a strong sturdy rope,rope,rope,0.97165,0.91004,1.02405,0.9393,1.09094,0.9872,-0.00938
12,13,creative,3 Creating a unique photo display by hanging photos from a rope using clothespins,creating a unique photo display by hanging photos from a rope using clothespins,rope,rope,1.10922,0.93591,0.90588,0.95884,1.10799,1.00357,-0.00564
13,14,creative,4 Crafting a nauticalthemed wreath by wrapping a rope around a foam ring and adding seashells and other coastal accents,crafting a nauticalthemed wreath by wrapping a rope around a foam ring and adding seashells and other coastal accents,rope,rope,1.01849,1.00074,0.93916,0.96097,0.89799,0.96347,0.01268
14,15,creative,5 Making a DIY rope rug by knotting together lengths of colorful rope in a circular pattern,making a diy rope rug by knotting together lengths of colorful rope in a circular pattern,rope,rope,0.82974,0.97182,1.13283,0.96103,1.10451,0.99999,-0.0178
15,16,creative,6 Securing a homemade swing to a tree branch using a thick rope,securing a homemade swing to a tree branch using a thick rope,rope,rope,1.10829,0.96823,0.8911,0.95941,1.1055,1.00651,-0.00509
16,17,creative,7 Building a makeshift climbing wall by hanging ropes from a sturdy frame for children to practice their climbing skills,building a makeshift climbing wall by hanging ropes from a sturdy frame for children to practice their climbing skills,rope,rope,0.83265,1.01478,0.97236,0.96095,1.10515,0.97718,-0.01176
17,18,creative,8 Creating a fun tugofwar game using a long rope and dividing players into teams,creating a fun tugofwar game using a long rope and dividing players into teams,rope,rope,1.03928,1.04476,0.96872,0.96224,0.8946000000000001,0.98192,0.01167
