...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Planters Cut a tin can in half to make a unique planter for small indoor plants,planters cut a tin can in half to make a unique planter for small indoor plants,tin can,tin can,1.01647,1.03865,0.99842,0.80094,1.62989,1.09687,0.01765
1,2,creative,2 Pencil holder Clean out a tin can and use it as a pencil holder for your desk or art space,pencil holder clean out a tin can and use it as a pencil holder for your desk or art space,tin can,tin can,0.84874,0.89992,1.07064,0.80094,0.34084000000000003,0.79222,-0.03315
2,3,creative,3 Candle holder Use a tin can as a candle holder for small votive candles,candle holder use a tin can as a candle holder for small votive candles,tin can,tin can,0.84602,1.13312,1.04036,0.80104,0.36234,0.83658,-0.01811
3,4,creative,4 Guitar string slide Cut off the top and bottom of the can to create a guitar string slide for guitar players,guitar string slide cut off the top and bottom of the can to create a guitar string slide for guitar players,tin can,tin can,0.94159,0.91202,1.04544,0.80093,1.6378,1.06756,0.00302
4,5,creative,5 Wind chime Cut the tin can into strips and hang them from a string to make a unique wind chime,wind chime cut the tin can into strips and hang them from a string to make a unique wind chime,tin can,tin can,1.13832,0.98329,0.94481,0.80093,0.34924,0.84332,-0.00155
5,6,creative,6 Tin can lanterns Cut out shapes on the side of the can and place a small candle inside for a makeshift outdoor lantern,tin can lanterns cut out shapes on the side of the can and place a small candle inside for a makeshift outdoor lantern,tin can,tin can,1.15044,1.04575,0.98873,0.80093,1.63782,1.12473,0.02802
6,7,creative,7 Cookie cutters Use a tin can to make custom cookie cutters by cutting out the shape desired,cookie cutters use a tin can to make custom cookie cutters by cutting out the shape desired,tin can,tin can,1.06975,0.94319,1.06447,0.80076,1.63782,1.1032,0.01257
7,8,creative,8 DIY birdhouse Create a DIY birdhouse by cutting out the front panel of the can and decorating it with birdfriendly materials,diy birdhouse create a diy birdhouse by cutting out the front panel of the can and decorating it with birdfriendly materials,tin can,tin can,0.84317,1.16159,1.04786,0.80094,0.34846999999999995,0.84041,-0.01745
8,9,creative,9 Portable stove Cut two large holes on the side of the can and place a small camp stove inside for a portable cooking source,portable stove cut two large holes on the side of the can and place a small camp stove inside for a portable cooking source,tin can,tin can,0.86422,0.94333,1.01021,0.80093,0.36219,0.79618,-0.02599
9,10,creative,10 Toy drum Use a can as a makeshift drum by stretching a piece of rubber over the top and tapping it with your hands or drumsticks,toy drum use a can as a makeshift drum by stretching a piece of rubber over the top and tapping it with your hands or drumsticks,tin can,tin can,0.84874,0.9619,1.05495,0.80093,1.6378,1.06086,-0.00112
