,id,item,response,condition
0,1,rope,1. Create a rope swing in your backyard or at a nearby park.,creative
1,2,rope,2. Use a rope to create a DIY hammock.,creative
2,3,rope,3. Make a rope ladder for a treehouse or loft.,creative
3,4,rope,4. Use a rope to create a DIY clothesline.,creative
4,5,rope,5. Create a rope obstacle course for kids or adults.,creative
5,6,rope,6. Use a rope to create a DIY dog leash or harness.,creative
6,7,rope,7. Create a rope curtain or room divider.,creative
7,8,rope,8. Use a rope to create a DIY plant hanger.,creative
8,9,rope,9. Create a rope sculpture or art piece.,creative
9,10,rope,10. Use a rope to create a DIY rope bridge.,creative
10,11,rope,1. Create a rope swing in your backyard for kids or adults to enjoy.,creative
11,12,rope,2. Use a rope to create a DIY hammock for relaxing in the sun.,creative
12,13,rope,3. Make a rope ladder for a treehouse or loft bed.,creative
13,14,rope,4. Use a rope to create a DIY clothesline for drying clothes outside.,creative
14,15,rope,5. Create a rope obstacle course for kids to play on.,creative
15,16,rope,6. Use a rope to create a DIY dog leash or harness.,creative
16,17,rope,7. Create a rope curtain or room divider for a unique home decor element.,creative
17,18,rope,8. Use a rope to create a DIY bird feeder or birdhouse.,creative
18,19,rope,9. Create a rope pulley system for lifting heavy objects or for a fun DIY zipline.,creative
19,20,rope,10. Use a rope to create a DIY macrame plant hanger for your indoor plants.,creative
20,21,rope,1. Create a rope swing in your backyard or at a nearby park.,creative
21,22,rope,2. Use a rope to make a DIY hammock.,creative
22,23,rope,3. Tie a rope around a tree to create a makeshift clothesline.,creative
23,24,rope,4. Use a rope to create a DIY obstacle course for kids.,creative
24,25,rope,5. Use a rope to create a DIY tug-of-war game.,creative
25,26,rope,6. Use a rope to create a DIY climbing wall.,creative
26,27,rope,7. Use a rope to create a DIY zip line.,creative
27,28,rope,8. Use a rope to create a DIY rope ladder.,creative
28,29,rope,9. Use a rope to create a DIY rope bridge.,creative
29,30,rope,10. Use a rope to create a DIY rope maze.,creative
30,31,rope,1. Create a rope swing in your backyard.,creative
31,32,rope,2. Use a rope to make a DIY hammock.,creative
32,33,rope,3. Tie a rope around a tree to create a natural clothesline.,creative
33,34,rope,4. Use a rope to create a DIY obstacle course for kids.,creative
34,35,rope,5. Create a rope ladder for a treehouse or fort.,creative
35,36,rope,6. Use a rope to create a DIY dog leash.,creative
36,37,rope,7. Use a rope to create a DIY curtain tieback.,creative
37,38,rope,8. Use a rope to create a DIY plant hanger.,creative
38,39,rope,9. Use a rope to create a DIY jump rope.,creative
39,40,rope,10. Use a rope to create a DIY decorative wall hanging.,creative
40,41,rope,1. Create a rope swing in your backyard for kids or adults to enjoy.,creative
41,42,rope,2. Use a rope to make a DIY hammock for lounging.,creative
42,43,rope,3. Tie a rope between two trees to create a makeshift clothesline.,creative
43,44,rope,4. Use a rope to create a DIY obstacle course for kids or adults.,creative
44,45,rope,5. Create a rope ladder for a treehouse or fort.,creative
45,46,rope,6. Use a rope to create a DIY dog leash or harness.,creative
46,47,rope,7. Create a rope curtain or room divider for a unique home decor element.,creative
47,48,rope,8. Use a rope to create a DIY rope rug or doormat.,creative
48,49,rope,9. Use a rope to create a DIY hanging plant holder.,creative
49,50,rope,10. Create a rope pulley system to lift heavy objects or create a DIY zip line.,creative
50,51,rope,1. Create a rope swing in your backyard for kids or adults to enjoy.,creative
51,52,rope,2. Use a rope to create a DIY hammock for relaxing in the sun.,creative
52,53,rope,3. Make a rope ladder for a treehouse or loft space.,creative
53,54,rope,4. Use a rope to create a DIY clothesline for drying laundry.,creative
54,55,rope,5. Create a rope obstacle course for a fun outdoor activity.,creative
55,56,rope,6. Use a rope to create a DIY pet leash or harness.,creative
56,57,rope,7. Create a rope bridge for a backyard pond or stream.,creative
57,58,rope,8. Use a rope to create a DIY plant hanger for hanging plants indoors or outdoors.,creative
58,59,rope,9. Create a rope pulley system for lifting heavy objects.,creative
59,60,rope,10. Use a rope to create a DIY macrame wall hanging for home decor.,creative
60,61,rope,1. Create a DIY rope swing in your backyard.,creative
61,62,rope,2. Use a rope to create a unique and rustic picture frame.,creative
62,63,rope,3. Make a rope ladder for a treehouse or loft.,creative
63,64,rope,4. Use a rope to create a decorative macrame wall hanging.,creative
64,65,rope,5. Create a rope obstacle course for kids or adults.,creative
65,66,rope,6. Use a rope to create a DIY hammock.,creative
66,67,rope,7. Create a rope handle for a rustic wooden crate or basket.,creative
67,68,rope,8. Use a rope to create a unique and functional dog leash.,creative
68,69,rope,9. Create a rope curtain tieback for a bohemian or coastal-inspired room.,creative
69,70,rope,10. Use a rope to create a DIY rope basket for storage.,creative
70,71,rope,1. Create a rope swing in your backyard or at a nearby park.,creative
71,72,rope,2. Use a rope to create a DIY hammock.,creative
72,73,rope,3. Make a rope ladder for a treehouse or loft space.,creative
73,74,rope,4. Use a rope to create a DIY clothesline for drying clothes outside.,creative
74,75,rope,5. Create a rope obstacle course for kids or adults.,creative
75,76,rope,6. Use a rope to create a DIY pet leash or harness.,creative
76,77,rope,7. Make a rope net for a sports game like volleyball or badminton.,creative
77,78,rope,8. Use a rope to create a DIY plant hanger for indoor or outdoor plants.,creative
78,79,rope,9. Create a rope bridge over a small stream or creek.,creative
79,80,rope,10. Use a rope to create a DIY pulley system for lifting heavy objects.,creative
80,81,rope,1. Create a rope swing in your backyard or at a nearby park.,creative
81,82,rope,2. Use a rope to create a DIY hammock.,creative
82,83,rope,3. Tie a rope around a tree to create a makeshift clothesline.,creative
83,84,rope,4. Use a rope to create a DIY rope ladder for kids to climb.,creative
84,85,rope,5. Use a rope to create a DIY obstacle course in your backyard.,creative
85,86,rope,6. Use a rope to create a DIY tug-of-war game.,creative
86,87,rope,7. Use a rope to create a DIY jump rope.,creative
87,88,rope,8. Use a rope to create a DIY rope bridge for kids to cross.,creative
88,89,rope,9. Use a rope to create a DIY rope maze for kids to navigate.,creative
89,90,rope,10. Use a rope to create a DIY rope net for kids to climb.,creative
90,91,rope,1. Create a rope swing in your backyard.,creative
91,92,rope,2. Use a rope to make a DIY hammock.,creative
