...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Turn a box into a playhouse for kids by cutting out windows and a door,turn a box into a playhouse for kids by cutting out windows and a door,box,box,1.23321
1,2,creative,2 Create a DIY birdhouse by cutting a hole in the box and decorating it with paint or markers,create a diy birdhouse by cutting a hole in the box and decorating it with paint or markers,box,box,1.22192
2,3,creative,3 Use a box as a makeshift storage unit by adding shelves and compartments inside,use a box as a makeshift storage unit by adding shelves and compartments inside,box,box,0.7753
3,4,creative,4 Make a shadow puppet theater by cutting out a rectangular hole in the box and projecting a light source from behind,make a shadow puppet theater by cutting out a rectangular hole in the box and projecting a light source from behind,box,box,0.77654
4,5,creative,5 Turn a box into a unique gift wrap by decorating it with wrapping paper ribbon and a bow,turn a box into a unique gift wrap by decorating it with wrapping paper ribbon and a bow,box,box,1.22717
5,6,creative,6 Make a DIY pinball machine by attaching small ramps and obstacles inside the box and using marbles as the ball,make a diy pinball machine by attaching small ramps and obstacles inside the box and using marbles as the ball,box,box,0.7718
6,7,creative,7 Create a DIY cat scratcher by wrapping the box in sisal rope or carpet scraps,create a diy cat scratcher by wrapping the box in sisal rope or carpet scraps,box,box,1.22233
7,8,creative,8 Use a box as a planter by lining it with plastic and filling it with soil and plants,use a box as a planter by lining it with plastic and filling it with soil and plants,box,box,0.77362
8,9,creative,9 Create a DIY speaker by cutting a hole in the box and attaching a small speaker inside,create a diy speaker by cutting a hole in the box and attaching a small speaker inside,box,box,1.21725
9,10,creative,10 Use a box as a canvas for a painting or drawing project,use a box as a canvas for a painting or drawing project,box,box,1.2241900000000001
10,11,creative,1 Turn it into a minigarden by filling it with soil and planting herbs or flowers,turn it into a minigarden by filling it with soil and planting herbs or flowers,box,box,1.2233100000000001
11,12,creative,2 Use it as a DIY projector by cutting a hole in one side and placing a smartphone inside,use it as a diy projector by cutting a hole in one side and placing a smartphone inside,box,box,0.94207
12,13,creative,3 Transform it into a cat or dog bed by lining it with a soft blanket or pillow,transform it into a cat or dog bed by lining it with a soft blanket or pillow,box,box,0.7814300000000001
13,14,creative,4 Create a DIY birdhouse by cutting a hole in one side and adding a perch,create a diy birdhouse by cutting a hole in one side and adding a perch,box,box,0.76878
14,15,creative,5 Use it as a makeshift drum set by covering it with a cloth and tapping on the sides,use it as a makeshift drum set by covering it with a cloth and tapping on the sides,box,box,1.22298
15,16,creative,6 Turn it into a shadow puppet theater by cutting out shapes and using a flashlight as a spotlight,turn it into a shadow puppet theater by cutting out shapes and using a flashlight as a spotlight,box,box,1.22783
16,17,creative,7 Use it as a storage container for toys or art supplies by decorating it with stickers or paint,use it as a storage container for toys or art supplies by decorating it with stickers or paint,box,box,1.22315
17,18,creative,8 Create a DIY pinball machine by cutting out obstacles and using marbles as balls,create a diy pinball machine by cutting out obstacles and using marbles as balls,box,box,0.80486
18,19,creative,9 Turn it into a minilibrary by filling it with books and creating a little reading nook,turn it into a minilibrary by filling it with books and creating a little reading nook,box,box,1.2377
19,20,creative,10 Use it as a DIY photo booth by decorating it with props and taking pictures with friends,use it as a diy photo booth by decorating it with props and taking pictures with friends,box,box,1.22313
20,21,creative,1 Turn it into a mini garden by filling it with soil and planting small plants,turn it into a mini garden by filling it with soil and planting small plants,box,box,0.7767
21,22,creative,2 Create a DIY pinhole camera by cutting a hole in the box and attaching a piece of photographic paper inside,create a diy pinhole camera by cutting a hole in the box and attaching a piece of photographic paper inside,box,box,1.21901
22,23,creative,3 Make a puppet theater by cutting out a window and decorating the box with curtains and props,make a puppet theater by cutting out a window and decorating the box with curtains and props,box,box,0.77683
23,24,creative,4 Turn it into a cat house by cutting out a door and adding a cushion inside,turn it into a cat house by cutting out a door and adding a cushion inside,box,box,1.22918
24,25,creative,5 Create a shadow puppet theater by cutting out shapes and attaching them to sticks to cast shadows on a wall,create a shadow puppet theater by cutting out shapes and attaching them to sticks to cast shadows on a wall,box,box,1.22486
25,26,creative,6 Make a DIY mailbox by painting and decorating the box and attaching it to a post,make a diy mailbox by painting and decorating the box and attaching it to a post,box,box,0.77578
26,27,creative,7 Create a treasure chest by painting and decorating the box and filling it with fake jewels and gold coins,create a treasure chest by painting and decorating the box and filling it with fake jewels and gold coins,box,box,0.77495
27,28,creative,8 Make a DIY birdhouse by cutting out a hole for a door and attaching a perch,make a diy birdhouse by cutting out a hole for a door and attaching a perch,box,box,1.2301199999999999
28,29,creative,9 Create a DIY pinata by filling the box with candy and covering it with colorful tissue paper,create a diy pinata by filling the box with candy and covering it with colorful tissue paper,box,box,0.78165
29,30,creative,10 Make a DIY storage unit by adding shelves and compartments inside the box,make a diy storage unit by adding shelves and compartments inside the box,box,box,0.76622
30,31,creative,1 A DIY cat house Cut out windows and a door decorate with paint or markers and add a cushion or blanket inside for a cozy spot for your feline friend,a diy cat house cut out windows and a door decorate with paint or markers and add a cushion or blanket inside for a cozy spot for your feline friend,box,box,0.77685
31,32,creative,2 A portable garden Fill the box with soil and plant seeds or seedlings for a mini garden that can be moved around your yard or balcony,a portable garden fill the box with soil and plant seeds or seedlings for a mini garden that can be moved around your yard or balcony,box,box,1.22315
32,33,creative,3 A shadow puppet theater Cut out a large rectangle from one side of the box attach a white sheet or paper to the back and use a flashlight to cast shadows of your hands or cutout figures,a shadow puppet theater cut out a large rectangle from one side of the box attach a white sheet or paper to the back and use a flashlight to cast shadows of your hands or cutout figures,box,box,0.77684
33,34,creative,4 A treasure chest Paint or decorate the box to look like a pirate's treasure chest fill with small trinkets or toys and use as a fun party favor or game,a treasure chest paint or decorate the box to look like a pirates treasure chest fill with small trinkets or toys and use as a fun party favor or game,box,box,1.22315
34,35,creative,5 A mini bookshelf Cut the box in half vertically decorate with wrapping paper or contact paper and use as a small bookshelf for children's books or magazines,a mini bookshelf cut the box in half vertically decorate with wrapping paper or contact paper and use as a small bookshelf for childrens books or magazines,box,box,0.77678
35,36,creative,6 A dollhouse Cut out windows and doors add small furniture and accessories and create a miniature home for dolls or action figures,a dollhouse cut out windows and doors add small furniture and accessories and create a miniature home for dolls or action figures,box,box,0.7769
36,37,creative,7 A car or spaceship Use markers paint or stickers to decorate the box as a car or spaceship add cardboard wheels or wings and let kids use their imagination for hours of play,a car or spaceship use markers paint or stickers to decorate the box as a car or spaceship add cardboard wheels or wings and let kids use their imagination for hours of play,box,box,0.77685
37,38,creative,8 A pinata Fill the box with candy or small toys cover with colorful tissue paper and hang for a fun party activity,a pinata fill the box with candy or small toys cover with colorful tissue paper and hang for a fun party activity,box,box,0.77654
38,39,creative,9 A storage bin Cut off the top flaps decorate as desired and use as a storage container for toys clothes or craft supplies,a storage bin cut off the top flaps decorate as desired and use as a storage container for toys clothes or craft supplies,box,box,1.22321
39,40,creative,10 A cardboard maze Cut out walls and corridors inside the box add obstacles or challenges and create a fun maze for kids to navigate,a cardboard maze cut out walls and corridors inside the box add obstacles or challenges and create a fun maze for kids to navigate,box,box,1.22313
40,41,creative,1 A makeshift cat house  cut out a hole for the entrance and add some pillows inside for a cozy spot for your furry friend,a makeshift cat house cut out a hole for the entrance and add some pillows inside for a cozy spot for your furry friend,box,box,0.77685
41,42,creative,2 A DIY photo booth  decorate the box with fun props and cut out a hole for the camera,a diy photo booth decorate the box with fun props and cut out a hole for the camera,box,box,0.77684
42,43,creative,3 A storage container for shoes  label each box with the type of shoe and stack them in your closet,a storage container for shoes label each box with the type of shoe and stack them in your closet,box,box,0.77616
43,44,creative,4 A mini garden  cut out a portion of the box and line it with plastic to make a small garden bed,a mini garden cut out a portion of the box and line it with plastic to make a small garden bed,box,box,0.77685
44,45,creative,5 A toy car ramp  cut out a slope on one side of the box and let your kids race their toy cars down it,a toy car ramp cut out a slope on one side of the box and let your kids race their toy cars down it,box,box,1.22316
45,46,creative,6 A birdhouse  decorate the box and cut out a hole for the entrance to attract birds to your yard,a birdhouse decorate the box and cut out a hole for the entrance to attract birds to your yard,box,box,1.22315
46,47,creative,7 A pinata  fill the box with candy and decorations and cover it with colorful tissue paper,a pinata fill the box with candy and decorations and cover it with colorful tissue paper,box,box,0.77301
47,48,creative,8 A shadow puppet theater  cut out shapes on one side of the box and use a flashlight to create shadow puppets,a shadow puppet theater cut out shapes on one side of the box and use a flashlight to create shadow puppets,box,box,0.77711
48,49,creative,9 A gift wrapping station  use the box to store wrapping paper scissors tape and ribbons,a gift wrapping station use the box to store wrapping paper scissors tape and ribbons,box,box,0.7777000000000001
49,50,creative,10 A cardboard castle  cut out turrets and draw on windows and doors to create a magical playhouse for kids,a cardboard castle cut out turrets and draw on windows and doors to create a magical playhouse for kids,box,box,0.77617
50,51,creative,1 Turn it into a mini greenhouse by cutting off the top and lining it with plastic wrap,turn it into a mini greenhouse by cutting off the top and lining it with plastic wrap,box,box,0.77577
51,52,creative,2 Use it as a makeshift sled by sliding down a hill on its bottom,use it as a makeshift sled by sliding down a hill on its bottom,box,box,1.22366
52,53,creative,3 Transform it into a puppet theater by cutting out a window and decorating it with curtains and props,transform it into a puppet theater by cutting out a window and decorating it with curtains and props,box,box,1.22325
