...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Turn it into a mini herb garden by drilling holes in the bottom and filling it with soil and herbs,turn it into a mini herb garden by drilling holes in the bottom and filling it with soil and herbs,tin can,tin can,0.36285
1,2,creative,2 Make a pencil holder by covering it in decorative paper and adding dividers inside,make a pencil holder by covering it in decorative paper and adding dividers inside,tin can,tin can,1.65509
2,3,creative,3 Create a DIY birdhouse by attaching it to a wooden board and adding a roof and perch,create a diy birdhouse by attaching it to a wooden board and adding a roof and perch,tin can,tin can,1.66257
3,4,creative,4 Fashion a wind chime by punching holes in the sides and hanging small objects from fishing line inside,fashion a wind chime by punching holes in the sides and hanging small objects from fishing line inside,tin can,tin can,0.36512
4,5,creative,5 Use it as a makeshift lantern by placing a candle inside and punching holes in the sides for light to escape,use it as a makeshift lantern by placing a candle inside and punching holes in the sides for light to escape,tin can,tin can,1.63776
5,6,creative,6 Turn it into a DIY drum by attaching a stretched piece of fabric or leather over the top and decorating the outside,turn it into a diy drum by attaching a stretched piece of fabric or leather over the top and decorating the outside,tin can,tin can,1.62043
6,7,creative,7 Make a tin can telephone by punching a hole in the bottom of two cans and connecting them with string,make a tin can telephone by punching a hole in the bottom of two cans and connecting them with string,tin can,tin can,0.36223000000000005
7,8,creative,8 Create a unique vase by painting the outside and adding flowers or branches inside,create a unique vase by painting the outside and adding flowers or branches inside,tin can,tin can,1.6705
8,9,creative,9 Use it as a container for homemade candles or bath salts and give as a gift,use it as a container for homemade candles or bath salts and give as a gift,tin can,tin can,0.36212999999999995
9,10,creative,10 Make a tin can robot by attaching arms legs and a head made from recycled materials,make a tin can robot by attaching arms legs and a head made from recycled materials,tin can,tin can,0.31143
10,11,creative,1 A mini herb garden Drill holes in the bottom of the tin can fill with soil and plant herbs for a cute and functional kitchen decoration,a mini herb garden drill holes in the bottom of the tin can fill with soil and plant herbs for a cute and functional kitchen decoration,tin can,tin can,0.36222
11,12,creative,2 A bird feeder Cut out a hole in the side of the can fill with birdseed and hang from a tree,a bird feeder cut out a hole in the side of the can fill with birdseed and hang from a tree,tin can,tin can,1.6374
12,13,creative,3 A pencil holder Decorate the outside of the can and use it to hold pencils pens or other office supplies,a pencil holder decorate the outside of the can and use it to hold pencils pens or other office supplies,tin can,tin can,1.6379000000000001
13,14,creative,4 A candle holder Fill the can with sand and place a candle in the center for a rustic and cozy decoration,a candle holder fill the can with sand and place a candle in the center for a rustic and cozy decoration,tin can,tin can,0.36185
14,15,creative,5 A vase Paint the outside of the can and fill with flowers for a simple and charming centerpiece,a vase paint the outside of the can and fill with flowers for a simple and charming centerpiece,tin can,tin can,0.36214999999999997
15,16,creative,6 A lantern Cut out designs in the side of the can and place a candle inside for a unique and whimsical light source,a lantern cut out designs in the side of the can and place a candle inside for a unique and whimsical light source,tin can,tin can,0.35628000000000004
16,17,creative,7 A drum Cover the top of the can with a piece of fabric or paper and use it as a makeshift drum,a drum cover the top of the can with a piece of fabric or paper and use it as a makeshift drum,tin can,tin can,0.36246999999999996
17,18,creative,8 A piggy bank Cut a slot in the top of the can and decorate for a fun and functional way to save money,a piggy bank cut a slot in the top of the can and decorate for a fun and functional way to save money,tin can,tin can,1.6378300000000001
18,19,creative,9 A plant pot Fill the can with soil and plant small succulents or cacti for a cute and lowmaintenance decoration,a plant pot fill the can with soil and plant small succulents or cacti for a cute and lowmaintenance decoration,tin can,tin can,0.38376
19,20,creative,10 A toy car Cut out wheels and a windshield from cardboard and attach to the can for a fun and simple toy,a toy car cut out wheels and a windshield from cardboard and attach to the can for a fun and simple toy,tin can,tin can,0.36224
20,21,creative,1 A flower vase Cut off the top of the tin can and use it as a vase for fresh flowers,a flower vase cut off the top of the tin can and use it as a vase for fresh flowers,tin can,tin can,0.37668
21,22,creative,2 A pencil holder Use a tin can to store your pens pencils and other stationery,a pencil holder use a tin can to store your pens pencils and other stationery,tin can,tin can,1.69015
22,23,creative,3 A candle holder Place a candle inside a tin can and use it as a decorative candle holder,a candle holder place a candle inside a tin can and use it as a decorative candle holder,tin can,tin can,0.36250000000000004
23,24,creative,4 A birdhouse Cut a hole in the side of the tin can and hang it from a tree to create a unique birdhouse,a birdhouse cut a hole in the side of the tin can and hang it from a tree to create a unique birdhouse,tin can,tin can,1.64116
