,id,item,response,condition
0,1,box,1. Turn a box into a playhouse for kids by cutting out windows and a door.,creative
1,2,box,2. Create a DIY birdhouse by cutting a hole in the box and decorating it with paint or markers.,creative
2,3,box,3. Use a box as a makeshift storage unit by adding shelves and compartments inside.,creative
3,4,box,4. Make a shadow puppet theater by cutting out a rectangular hole in the box and projecting a light source from behind.,creative
4,5,box,"5. Turn a box into a unique gift wrap by decorating it with wrapping paper, ribbon, and a bow.",creative
5,6,box,6. Make a DIY pinball machine by attaching small ramps and obstacles inside the box and using marbles as the ball.,creative
6,7,box,7. Create a DIY cat scratcher by wrapping the box in sisal rope or carpet scraps.,creative
7,8,box,8. Use a box as a planter by lining it with plastic and filling it with soil and plants.,creative
8,9,box,9. Create a DIY speaker by cutting a hole in the box and attaching a small speaker inside.,creative
9,10,box,10. Use a box as a canvas for a painting or drawing project.,creative
10,11,box,1. Turn it into a mini-garden by filling it with soil and planting herbs or flowers.,creative
11,12,box,2. Use it as a DIY projector by cutting a hole in one side and placing a smartphone inside.,creative
12,13,box,3. Transform it into a cat or dog bed by lining it with a soft blanket or pillow.,creative
13,14,box,4. Create a DIY birdhouse by cutting a hole in one side and adding a perch.,creative
14,15,box,5. Use it as a makeshift drum set by covering it with a cloth and tapping on the sides.,creative
15,16,box,6. Turn it into a shadow puppet theater by cutting out shapes and using a flashlight as a spotlight.,creative
16,17,box,7. Use it as a storage container for toys or art supplies by decorating it with stickers or paint.,creative
17,18,box,8. Create a DIY pinball machine by cutting out obstacles and using marbles as balls.,creative
18,19,box,9. Turn it into a mini-library by filling it with books and creating a little reading nook.,creative
19,20,box,10. Use it as a DIY photo booth by decorating it with props and taking pictures with friends.,creative
20,21,box,1. Turn it into a mini garden by filling it with soil and planting small plants.,creative
21,22,box,2. Create a DIY pinhole camera by cutting a hole in the box and attaching a piece of photographic paper inside.,creative
22,23,box,3. Make a puppet theater by cutting out a window and decorating the box with curtains and props.,creative
23,24,box,4. Turn it into a cat house by cutting out a door and adding a cushion inside.,creative
