...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.09418,1.15606,1.01349,0.80093,1.5621,1.12535,0.08946
1,2,creative,2 Use it as a pencil holder by decorating it with paint or wrapping paper,use it as a pencil holder by decorating it with paint or wrapping paper,tin can,tin can,1.05993,0.95885,1.06156,0.80093,0.30662999999999996,0.83758,0.04811
2,3,creative,3 Create a wind chime by attaching strings and bells to the bottom of the can,create a wind chime by attaching strings and bells to the bottom of the can,tin can,tin can,0.82163,0.96794,0.95808,0.80094,1.62351,1.03442,-0.05097
3,4,creative,4 Turn it into a lantern by punching holes in the sides and adding a candle or LED light,turn it into a lantern by punching holes in the sides and adding a candle or led light,tin can,tin can,0.9326,1.04218,1.03393,0.80093,0.35917,0.83376,0.02063
4,5,creative,5 Use it as a planter by filling it with soil and planting herbs or flowers,use it as a planter by filling it with soil and planting herbs or flowers,tin can,tin can,1.01474,0.8284,0.9418,0.80094,0.36033000000000004,0.78924,-0.07598
5,6,creative,6 Turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,tin can,tin can,0.92851,0.96086,1.05379,0.80093,0.36221000000000003,0.82126,0.01551
6,7,creative,7 Use it as a drum by covering it with fabric or paper and adding drumsticks,use it as a drum by covering it with fabric or paper and adding drumsticks,tin can,tin can,0.84843,0.98861,1.00646,0.80093,0.35419999999999996,0.79973,-0.02957
7,8,creative,8 Create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,tin can,tin can,0.97639,1.02435,0.94076,0.80094,0.36219999999999997,0.82093,-0.04048
8,9,creative,9 Turn it into a game by filling it with small objects and challenging players to guess what's inside,turn it into a game by filling it with small objects and challenging players to guess whats inside,tin can,tin can,1.00748,1.01715,1.00538,0.80093,1.63848,1.09388,0.03468
9,10,creative,10 Use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,tin can,tin can,0.8687,0.96477,1.07177,0.80093,0.36707999999999996,0.81465,0.01636
10,11,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.09418,1.15606,1.01349,0.80093,1.5621,1.12535,0.08946
11,12,creative,2 Use it as a pencil holder by decorating it with paint or wrapping paper,use it as a pencil holder by decorating it with paint or wrapping paper,tin can,tin can,1.05993,0.95885,1.06156,0.80093,0.30662999999999996,0.83758,0.04811
12,13,creative,3 Create a wind chime by attaching strings and bells to the bottom of the can,create a wind chime by attaching strings and bells to the bottom of the can,tin can,tin can,0.82163,0.96794,0.95808,0.80094,1.62351,1.03442,-0.05097
13,14,creative,4 Turn it into a lantern by punching holes in the sides and adding a candle or LED light,turn it into a lantern by punching holes in the sides and adding a candle or led light,tin can,tin can,0.9326,1.04218,1.03393,0.80093,0.35917,0.83376,0.02063
14,15,creative,5 Use it as a planter by filling it with soil and planting herbs or flowers,use it as a planter by filling it with soil and planting herbs or flowers,tin can,tin can,1.01474,0.8284,0.9418,0.80094,0.36033000000000004,0.78924,-0.07598
15,16,creative,6 Turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,tin can,tin can,0.92851,0.96086,1.05379,0.80093,0.36221000000000003,0.82126,0.01551
16,17,creative,7 Use it as a cookie cutter by removing the top and bottom and cutting out shapes with the can,use it as a cookie cutter by removing the top and bottom and cutting out shapes with the can,tin can,tin can,1.0531,0.96885,0.99523,0.80093,1.27668,1.01896,0.01959
17,18,creative,8 Create a drum by covering the top and bottom with fabric or paper and adding drumsticks,create a drum by covering the top and bottom with fabric or paper and adding drumsticks,tin can,tin can,0.84874,1.04026,0.99671,0.80093,1.66071,1.06947,-3.3e-4
18,19,creative,9 Use it as a vase by painting it and adding flowers or branches,use it as a vase by painting it and adding flowers or branches,tin can,tin can,0.8978,1.00606,1.055,0.80094,0.29890000000000005,0.81174,0.0188
19,20,creative,10 Turn it into a game by cutting out holes and playing bean bag toss or ring toss,turn it into a game by cutting out holes and playing bean bag toss or ring toss,tin can,tin can,1.13954,1.18807,1.0393,0.80094,1.63737,1.16104,0.12644
20,21,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.09418,1.15606,1.01349,0.80093,1.5621,1.12535,0.08946
21,22,creative,2 Use it as a pencil holder by decorating it with paint or wrapping paper,use it as a pencil holder by decorating it with paint or wrapping paper,tin can,tin can,1.05993,0.95885,1.06156,0.80093,0.30662999999999996,0.83758,0.04811
22,23,creative,3 Create a wind chime by attaching strings and bells to the bottom of the can,create a wind chime by attaching strings and bells to the bottom of the can,tin can,tin can,0.82163,0.96794,0.95808,0.80094,1.62351,1.03442,-0.05097
23,24,creative,4 Turn it into a lantern by punching holes in the sides and adding a candle or LED light,turn it into a lantern by punching holes in the sides and adding a candle or led light,tin can,tin can,0.9326,1.04218,1.03393,0.80093,0.35917,0.83376,0.02063
24,25,creative,5 Use it as a planter by filling it with soil and planting herbs or flowers,use it as a planter by filling it with soil and planting herbs or flowers,tin can,tin can,1.01474,0.8284,0.9418,0.80094,0.36033000000000004,0.78924,-0.07598
25,26,creative,6 Turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,tin can,tin can,0.92851,0.96086,1.05379,0.80093,0.36221000000000003,0.82126,0.01551
26,27,creative,7 Use it as a drum by covering it with fabric or paper and adding drumsticks,use it as a drum by covering it with fabric or paper and adding drumsticks,tin can,tin can,0.84843,0.98861,1.00646,0.80093,0.35419999999999996,0.79973,-0.02957
27,28,creative,8 Create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,tin can,tin can,0.97639,1.02435,0.94076,0.80094,0.36219999999999997,0.82093,-0.04048
28,29,creative,9 Turn it into a game by filling it with small objects and challenging players to guess what's inside,turn it into a game by filling it with small objects and challenging players to guess whats inside,tin can,tin can,1.00748,1.01715,1.00538,0.80093,1.63848,1.09388,0.03468
29,30,creative,10 Use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,tin can,tin can,0.8687,0.96477,1.07177,0.80093,0.36707999999999996,0.81465,0.01636
30,31,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.09418,1.15606,1.01349,0.80093,1.5621,1.12535,0.08946
31,32,creative,2 Use it as a pencil holder by decorating it with paint or wrapping paper,use it as a pencil holder by decorating it with paint or wrapping paper,tin can,tin can,1.05993,0.95885,1.06156,0.80093,0.30662999999999996,0.83758,0.04811
32,33,creative,3 Create a wind chime by attaching strings and bells to the bottom of the can,create a wind chime by attaching strings and bells to the bottom of the can,tin can,tin can,0.82163,0.96794,0.95808,0.80094,1.62351,1.03442,-0.05097
33,34,creative,4 Turn it into a lantern by punching holes in the sides and adding a candle or LED light,turn it into a lantern by punching holes in the sides and adding a candle or led light,tin can,tin can,0.9326,1.04218,1.03393,0.80093,0.35917,0.83376,0.02063
34,35,creative,5 Use it as a planter by filling it with soil and planting herbs or flowers,use it as a planter by filling it with soil and planting herbs or flowers,tin can,tin can,1.01474,0.8284,0.9418,0.80094,0.36033000000000004,0.78924,-0.07598
35,36,creative,6 Turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,turn it into a mini grill by cutting off the top and adding charcoal and a grill grate,tin can,tin can,0.92851,0.96086,1.05379,0.80093,0.36221000000000003,0.82126,0.01551
36,37,creative,7 Use it as a drum by covering it with fabric or paper and adding drumsticks,use it as a drum by covering it with fabric or paper and adding drumsticks,tin can,tin can,0.84843,0.98861,1.00646,0.80093,0.35419999999999996,0.79973,-0.02957
37,38,creative,8 Create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,create a piggy bank by cutting a slot in the top and decorating it with paint or stickers,tin can,tin can,0.97639,1.02435,0.94076,0.80094,0.36219999999999997,0.82093,-0.04048
38,39,creative,9 Turn it into a game by filling it with small objects and challenging players to guess what's inside,turn it into a game by filling it with small objects and challenging players to guess whats inside,tin can,tin can,1.00748,1.01715,1.00538,0.80093,1.63848,1.09388,0.03468
39,40,creative,10 Use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,use it as a vase by wrapping it in twine or ribbon and adding flowers or greenery,tin can,tin can,0.8687,0.96477,1.07177,0.80093,0.36707999999999996,0.81465,0.01636
40,41,creative,1 Turn it into a birdhouse by cutting a hole in the side and adding a perch,turn it into a birdhouse by cutting a hole in the side and adding a perch,tin can,tin can,1.09418,1.15606,1.01349,0.80093,1.5621,1.12535,0.08946
41,42,creative,2 Use it as a pencil holder by decorating it with paint or wrapping paper,use it as a pencil holder by decorating it with paint or wrapping paper,tin can,tin can,1.05993,0.95885,1.06156,0.80093,0.30662999999999996,0.83758,0.04811
42,43,creative,3 Create a wind chime by attaching strings and bells to the bottom of the can,create a wind chime by attaching strings and bells to the bottom of the can,tin can,tin can,0.82163,0.96794,0.95808,0.80094,1.62351,1.03442,-0.05097
