,id,item,response,condition
0,1,book,1. A book can be used as a makeshift laptop stand to elevate the screen to eye level.,creative
1,2,book,2. Pages from a book can be folded into origami shapes to create unique decorations.,creative
2,3,book,3. A book can be hollowed out and used as a secret storage compartment.,creative
3,4,book,4. Pages from a book can be cut into strips and woven into a basket.,creative
4,5,book,5. A book can be used as a makeshift doorstop.,creative
5,6,book,6. Pages from a book can be used as wrapping paper for gifts.,creative
6,7,book,7. A book can be used as a makeshift weight for exercise.,creative
7,8,book,8. Pages from a book can be used to create a unique collage or art piece.,creative
8,9,book,9. A book can be used as a makeshift pillow or cushion.,creative
9,10,book,10. Pages from a book can be used to create a unique and personalized journal or scrapbook.,creative
10,11,book,1. A book can be used as a makeshift laptop stand to elevate the screen to eye level.,creative
11,12,book,2. Pages from a book can be folded into origami shapes to create unique decorations.,creative
12,13,book,3. A book can be hollowed out and used as a secret storage compartment.,creative
13,14,book,4. Pages from a book can be cut into strips and woven into a basket.,creative
14,15,book,5. A book can be used as a makeshift doorstop.,creative
15,16,book,6. Pages from a book can be used as wrapping paper for gifts.,creative
16,17,book,7. A book can be used as a makeshift weight for exercise.,creative
17,18,book,8. Pages from a book can be used to create a unique collage or art piece.,creative
18,19,book,9. A book can be used as a makeshift pillow or cushion.,creative
19,20,book,10. Pages from a book can be used to create a unique and personalized journal or scrapbook.,creative
20,21,book,1. A book can be used as a makeshift laptop stand to elevate the screen to eye level.,creative
21,22,book,2. Pages from a book can be folded into origami shapes to create unique decorations.,creative
22,23,book,3. A book can be hollowed out and used as a secret storage compartment.,creative
23,24,book,4. Pages from a book can be cut into strips and woven into a basket.,creative
24,25,book,5. A book can be used as a makeshift doorstop.,creative
25,26,book,6. Pages from a book can be used as wrapping paper for gifts.,creative
26,27,book,7. A book can be used as a makeshift weight for exercise.,creative
27,28,book,8. Pages from a book can be used to create a unique collage or art piece.,creative
28,29,book,9. A book can be used as a makeshift phone or tablet stand.,creative
29,30,book,10. Pages from a book can be used to create a unique and personalized journal or scrapbook.,creative
30,31,book,1. A book can be used as a makeshift laptop stand to elevate the screen to eye level.,creative
31,32,book,2. Pages from a book can be folded into origami shapes to create unique decorations.,creative
32,33,book,3. A book can be hollowed out and used as a secret storage compartment.,creative
33,34,book,4. Pages from a book can be cut into strips and woven into a basket.,creative
34,35,book,5. A book can be used as a makeshift doorstop.,creative
35,36,book,6. Pages from a book can be used as wrapping paper for gifts.,creative
36,37,book,7. A book can be used as a makeshift weight for exercise.,creative
37,38,book,8. Pages from a book can be used to create a unique collage or art piece.,creative
38,39,book,9. A book can be used as a makeshift pillow or cushion.,creative
39,40,book,10. Pages from a book can be used to create a unique and personalized journal or scrapbook.,creative
40,41,book,1. A book can be used as a makeshift laptop stand to elevate the screen to eye level.,creative
41,42,book,2. Pages from a book can be folded into origami shapes to create unique decorations.,creative
42,43,book,3. A book can be hollowed out and used as a secret storage compartment.,creative
43,44,book,4. Pages from a book can be cut into strips and woven into a basket.,creative
44,45,book,5. A book can be used as a makeshift doorstop.,creative
45,46,book,6. Pages from a book can be used as wrapping paper for gifts.,creative
46,47,book,7. A book can be used as a makeshift weight for exercise.,creative
47,48,book,8. Pages from a book can be used to create a unique collage or art piece.,creative
