,id,item,response,condition
0,1,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
1,2,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
2,3,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
3,4,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
4,5,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
5,6,fork,6. Use a fork to create a makeshift back scratcher.,creative
6,7,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
7,8,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
8,9,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
9,10,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
10,11,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
11,12,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
12,13,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
13,14,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
14,15,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
15,16,fork,6. Use a fork to create a makeshift back scratcher.,creative
16,17,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
17,18,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
18,19,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
19,20,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
20,21,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
21,22,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
22,23,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
23,24,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
24,25,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
25,26,fork,6. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
26,27,fork,7. Use a fork to create a DIY wind chime by attaching small bells or beads to the prongs.,creative
27,28,fork,8. Use a fork to create a makeshift back scratcher.,creative
28,29,fork,9. Use a fork to create a unique design on a bar of soap before using it.,creative
29,30,fork,10. Use a fork to create a makeshift guitar pick.,creative
30,31,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
31,32,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
32,33,fork,3. Use a fork to create a decorative border on a cake or pie crust.,creative
33,34,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
34,35,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
35,36,fork,6. Use a fork to create a makeshift back scratcher.,creative
36,37,fork,7. Use a fork to create a unique design on a bar of soap.,creative
37,38,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
38,39,fork,9. Use a fork to create a unique texture on a piece of fabric by pressing the prongs into the material.,creative
39,40,fork,10. Use a fork to create a makeshift musical instrument by plucking the prongs like a guitar string.,creative
40,41,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
41,42,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
42,43,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
43,44,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
44,45,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
45,46,fork,6. Use a fork to create a makeshift back scratcher.,creative
46,47,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
47,48,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
48,49,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
49,50,fork,10. Use a fork to create a makeshift musical instrument by plucking the prongs like a guitar string.,creative
50,51,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
51,52,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
52,53,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
53,54,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
54,55,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
55,56,fork,6. Use a fork to create a makeshift back scratcher.,creative
56,57,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
57,58,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
58,59,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
59,60,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
60,61,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
61,62,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
62,63,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
63,64,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
64,65,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
65,66,fork,6. Use a fork to create a makeshift back scratcher.,creative
66,67,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
67,68,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
68,69,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
69,70,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
70,71,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
71,72,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
72,73,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
73,74,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
74,75,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
75,76,fork,6. Use a fork to create a makeshift back scratcher.,creative
76,77,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
77,78,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
78,79,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
79,80,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
80,81,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
81,82,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
82,83,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
83,84,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
84,85,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
85,86,fork,6. Use a fork to create a makeshift back scratcher.,creative
86,87,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
87,88,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
88,89,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
89,90,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
90,91,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
91,92,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
92,93,fork,3. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
93,94,fork,4. Use a fork to create a unique texture on a cake or other baked goods.,creative
94,95,fork,5. Use a fork to create a DIY plant marker by writing the name of the plant on the handle.,creative
95,96,fork,6. Use a fork to create a DIY wind chime by attaching small bells or beads to the prongs.,creative
96,97,fork,7. Use a fork to create a DIY photo holder by bending the prongs to hold a picture.,creative
97,98,fork,8. Use a fork to create a DIY candle holder by bending the prongs to hold a tea light.,creative
98,99,fork,9. Use a fork to create a DIY key holder by attaching the fork to a piece of wood and hanging it on the wall.,creative
99,100,fork,10. Use a fork to create a DIY toy for a pet by attaching a string to the handle and dangling it for them to play with.,creative
100,101,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
101,102,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
102,103,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
103,104,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
104,105,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
105,106,fork,6. Use a fork to create a makeshift back scratcher.,creative
106,107,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
107,108,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
108,109,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
109,110,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
110,111,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
111,112,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
112,113,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
113,114,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
114,115,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
115,116,fork,6. Use a fork to create a makeshift back scratcher.,creative
116,117,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
117,118,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
118,119,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
119,120,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
120,121,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
121,122,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
122,123,fork,3. Use a fork to create a decorative border on a cake or pie crust.,creative
123,124,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
124,125,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
125,126,fork,6. Use a fork to create a makeshift back scratcher.,creative
126,127,fork,7. Use a fork to create a DIY plant marker by writing the name of the plant on the handle.,creative
127,128,fork,8. Use a fork to create a unique design on a bar of soap.,creative
128,129,fork,9. Use a fork to create a makeshift drumstick for a small drum or percussion instrument.,creative
129,130,fork,10. Use a fork to create a unique texture on a piece of fabric by pressing the prongs into the material.,creative
130,131,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
131,132,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
132,133,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
133,134,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
134,135,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
135,136,fork,6. Use a fork to create a makeshift back scratcher.,creative
136,137,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
137,138,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
138,139,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
139,140,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
140,141,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
141,142,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
142,143,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
143,144,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
144,145,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
145,146,fork,6. Use a fork to create a makeshift back scratcher.,creative
146,147,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
147,148,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
148,149,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
149,150,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
150,151,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
151,152,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
152,153,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
153,154,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
154,155,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
155,156,fork,6. Use a fork to create a makeshift back scratcher.,creative
156,157,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
157,158,fork,8. Use a fork to create a makeshift plant marker by writing the name of the plant on the handle.,creative
158,159,fork,9. Use a fork to create a unique texture on a piece of pottery by pressing the prongs into the clay.,creative
159,160,fork,10. Use a fork to create a makeshift drumstick and play a rhythm on a table or other surface.,creative
160,161,fork,1. Use a fork to create a unique pattern in clay or playdough.,creative
161,162,fork,2. Use a fork to create a makeshift hairbrush or comb.,creative
162,163,fork,3. Use a fork to create a decorative border on a cake or pie.,creative
163,164,fork,4. Use a fork to create a DIY jewelry holder by bending the prongs to hold earrings or necklaces.,creative
164,165,fork,5. Use a fork to create a unique texture on a painting or drawing.,creative
165,166,fork,6. Use a fork to create a makeshift back scratcher.,creative
166,167,fork,7. Use a fork to create a unique design on a candle by pressing the prongs into the wax.,creative
