...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_GloVe_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Using a fork to scratch an itch in hardtoreach areas of the back,using a fork to scratch an itch in hardtoreach areas of the back,fork,fork,1.16497,1.06898,1.06218,0.96787,0.9668,1.04616,0.00657
1,2,creative,2 Using a fork as a miniature whisk to mix small amounts of ingredients,using a fork as a miniature whisk to mix small amounts of ingredients,fork,fork,1.11991,0.93575,1.1054599999999999,0.96796,0.94112,1.01404,0.01913
2,3,creative,3 Using a fork as a hair accessory or to comb through tangled hair,using a fork as a hair accessory or to comb through tangled hair,fork,fork,1.01522,0.93338,1.0712,0.96779,0.97064,0.99165,0.01418
3,4,creative,4 Using a fork as a makeshift lockpick in an emergency,using a fork as a makeshift lockpick in an emergency,fork,fork,1.04864,0.88314,1.02611,0.96791,0.94116,0.97339,0.00668
4,5,creative,5 Creating forkbased art by bending and shaping the tines into different designs,creating forkbased art by bending and shaping the tines into different designs,fork,fork,0.97158,0.89008,0.97395,0.96892,1.01906,0.96472,-0.00333
5,6,creative,6 Using a fork as a tool to clean small crevices like computer keyboards or car vents,using a fork as a tool to clean small crevices like computer keyboards or car vents,fork,fork,0.95072,0.96309,1.07311,0.96788,0.94114,0.97919,0.01581
6,7,creative,7 Using a fork to aerate soil when gardening,using a fork to aerate soil when gardening,fork,fork,0.8620099999999999,1.05698,1.04859,0.96445,0.94097,0.9746,0.01065
7,8,creative,8 Building a miniature fork catapult for fun or as a science experiment,building a miniature fork catapult for fun or as a science experiment,fork,fork,1.13111,0.96111,0.88363,0.96784,0.94115,0.97697,-0.02368
8,9,creative,9 Using a fork to create unique patterns when painting or stamping,using a fork to create unique patterns when painting or stamping,fork,fork,0.89738,0.94039,0.92567,0.96767,0.94074,0.93437,-0.01055
9,10,creative,10 Using a fork as a musical instrument by tapping it on different surfaces to create percussion sounds,using a fork as a musical instrument by tapping it on different surfaces to create percussion sounds,fork,fork,0.98523,1.00533,1.05547,0.96784,0.94121,0.99102,0.01085
10,11,creative,1 Use a fork as a hair accessory by inserting it in an updo or bun for a unique twist,use a fork as a hair accessory by inserting it in an updo or bun for a unique twist,fork,fork,1.10579,1.10125,0.95885,0.96787,0.94114,1.01498,-0.01198
11,12,creative,2 Create a mini easel by bending the prongs of a fork upward and using it to display small paintings or pictures,create a mini easel by bending the prongs of a fork upward and using it to display small paintings or pictures,fork,fork,0.90298,1.0386,0.98771,0.9678599999999999,0.94114,0.96766,-0.00105
