...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
0,1,creative,1 Fork Garden Markers Use a fork to label your plants in the garden by attaching small tags or writing directly on the handle with a permanent marker,fork garden markers use a fork to label your plants in the garden by attaching small tags or writing directly on the handle with a permanent marker,fork,fork,0.94114
1,2,creative,2 Fork Photo Holder Bend the prongs of a fork to create a stand then use it to hold small photos or postcards on your desk or mantelpiece,fork photo holder bend the prongs of a fork to create a stand then use it to hold small photos or postcards on your desk or mantelpiece,fork,fork,0.94114
2,3,creative,3 Fork Hair Accessory Decorate a plain hairpin or hairband by attaching small decorative elements beads or feathers to the prongs of a fork,fork hair accessory decorate a plain hairpin or hairband by attaching small decorative elements beads or feathers to the prongs of a fork,fork,fork,1.05886
3,4,creative,4 Fork Candle Holder Stick a fork into a cork or piece of foam then place a small tea light candle on top of the prongs to create a unique candle holder,fork candle holder stick a fork into a cork or piece of foam then place a small tea light candle on top of the prongs to create a unique candle holder,fork,fork,0.94114
4,5,creative,5 Fork Bookmarks Attach a decorative ribbon or tassel to the handle of a fork then use it as a bookmark to add a touch of whimsy to your reading experience,fork bookmarks attach a decorative ribbon or tassel to the handle of a fork then use it as a bookmark to add a touch of whimsy to your reading experience,fork,fork,1.05886
5,6,creative,6 Fork Bag Sealer Use the prongs of a fork to tightly seal bags of snacks or leftovers by folding the bag over and pressing the prongs into the folded section,fork bag sealer use the prongs of a fork to tightly seal bags of snacks or leftovers by folding the bag over and pressing the prongs into the folded section,fork,fork,1.05886
6,7,creative,7 Fork Herb Stripper Hold a fork upside down and run the prongs along the stem of herbs like rosemary or thyme to easily remove the leaves,fork herb stripper hold a fork upside down and run the prongs along the stem of herbs like rosemary or thyme to easily remove the leaves,fork,fork,1.05885
7,8,creative,8 Fork Utensil Organizer Attach a fork to the inside of a cabinet door or the side of a drawer to create a unique organizer for small utensils like measuring spoons or bottle openers,fork utensil organizer attach a fork to the inside of a cabinet door or the side of a drawer to create a unique organizer for small utensils like measuring spoons or bottle openers,fork,fork,0.94114
8,9,creative,9 Fork Napkin Rings Wrap a napkin around a rolledup fork and secure it with a decorative ribbon or twine to create charming napkin rings for a dinner party,fork napkin rings wrap a napkin around a rolledup fork and secure it with a decorative ribbon or twine to create charming napkin rings for a dinner party,fork,fork,1.05886
9,10,creative,10 Fork Easel Bend the prongs of a fork to create a stable base then place a small canvas or picture frame on top to display your artwork or photographs,fork easel bend the prongs of a fork to create a stable base then place a small canvas or picture frame on top to display your artwork or photographs,fork,fork,0.94114
