id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Elephant	Dream	Hammer	Love	Ocean	Pillow	Justice	Telescope	Bicycle	Cloud	73.92131184183415
1	Dog	Freedom	Ocean	Cake	Justice	Guitar	Lion	Imagination	Mountain	Compassion	76.94319830763908
2	Elephant	Courage	Time	Salt	Idea	Bicycle	Freedom	Love	Music	Mountain	73.49095184888158
3	Spoon	Rainbow	Freedom	Chair	Love	Mountain	Cactus	Ocean	Elephant	Justice	76.50919588548797
4	Chair	Philosophy	Cactus	DNA	Harmonica	Justice	Cloud	Compassion	License	Hammer	83.81775264923428
5	Elephant	Music	Freedom	Spoon	Chaos	Castle	Love	Trek	Ocean	Courage	76.28826298529194
6	Elephant	Cup	Courage	Justice	Sunflower	Book	Ocean	Compassion	Rainbow	Laptop	80.36648930893058
7	Umbrella	Euphoria	Labyrinth	Gourmet	Horizon	Kaleidoscope	Tornado	Zenith	Aquarium	Mirage	82.78546603396535
8	Apple	Freedom	Chair	Courage	Bicycle	History	Love	Plate	Strength	Rainbow	75.38224508364995
9	Apple	Moon	Freedom	Table	Everest	Icecream	Bicycle	Sunrise	Courage	Keyboard	77.52832731320744
10	Elephant	Symphony	Bicycle	Waterfall	Idea	Spoon	Galaxy	Dandelion	Pencil	Thunderstorm	81.2658693818819
11	Elephant	Harmony	Envelope	Labyrinth	Cucumber	Quarry	Spectacle	Melancholy	Trampoline	Oasis	84.67221331472199
12	Elephant	Freedom	Parachute	Music	Mathematics	Balloon	Compassion	Sunglasses	Fire	Cloud	81.49382505743276
13	Cheeseburger	Sunshine	Bicycle	Synergy	Glacier	Harmony	Tornado	Kaleidoscope	Wilderness	Serenity	85.40591433023413
14	Elephant	Cloud	Freedom	Guitar	Glacier	Compassion	Bicycle	Bravery	History	Cheese	82.43835100992804
15	Elephant	Sunshine	Gravity	Happiness	Silence	Guitar	Compassion	Diamond	Thunderstorm	Philosophy	74.89559536888486
16	Chair	Love	Ice	Freedom	Camera	Elephant	Guitar	Cloud	Pencil	Ocean	78.05486612376713
17	Elephant	Sunshine	Ocean	Laughter	Freedom	Thought	Butter	Compassion	Glacier	Music	72.32519040505092
18	Chair	Obstacle	Delight	Oxygen	Music	Sand	Courage	Umbrella	Philosophy	Mango	79.56445788343747
19	Elephant	Love	Computer	Freedom	Mountain	Justice	Sunflower	Music	Ocean	Courage	77.52379585234891
20	Elephant	Love	Guitar	Freedom	Mountain	Idea	Sunset	Tomato	Honor	Cloud	71.84325201170785
21	Cat	Cloud	Democracy	Bicycle	Harmony	Hammer	Justice	Book	Ocean	Freedom	79.94683980941772
22	Elephant	Compassion	Rainbow	Table	Freedom	Bicycle	Harmony	Mountain	Joy	Library	76.2919433414936
23	Chair	Pencil	Courage	Ocean	Friendship	Camera	Pizza	Loneliness	Religion	Bicycle	81.60653919691131
24	Elephant	Rainbow	Love	Piano	Poison	Mountain	Freedom	Clock	Ocean	Revolution	74.8034642565818
25	Chair	Love	Ocean	Music	Freedom	Pencil	Mountain	Courage	Cake	Knowledge	75.4738439761457
26	Chair	Freedom	Elephant	Happiness	Mountain	Idea	Butterfly	Conflict	Ocean	Courage	72.28841135899226
27	Guitar	Freedom	Elephant	Emotion	Backpack	Thunder	Democracy	Mountain	Sunflower	Silence	78.2958867117053
28	Elephant	Thunder	Bubble	Freedom	Ink	Compassion	Cactus	Harmony	Meteor	Scent	81.04792058113075
29	Pillow	Mountain	Laughter	Compassion	Bicycle	Envy	Tangerine	Music	Democracy	Igloo	78.72108098651681
30	Elephant	Eclipse	Love	Mountain	Symphony	Toothbrush	Democracy	Rainbow	Ocean	Compassion	83.18553777145488
31	Bird	computer	love	chair	courage	water	book	happiness	tree	music	76.81896267902283
32	Butterfly	Brick	Adventure	Toothbrush	Mountain	Mirror	Happiness	Cellphone	Spider	Windmill	79.91179273951622
33	Banana	Freedom	Table	Wisdom	Bicycle	Courage	Cloud	Friendship	Guitar	Justice	78.53696410145078
34	Apple	Freedom	Cow	Happiness	Chair	Justice	Ocean	Truth	Guitar	Courage	74.80921933338756
35	Elephant	Dream	Thunder	Chocolate	Freedom	Bicycle	Rainbow	Mountain	Music	Feather	73.52911606431007
36	Elephant	Freedom	Intuition	Glass	Excitement	Knowledge	Technology	Courage	Music	Castle	75.60913672759419
37	Elephant	Freedom	Star	Sofa	Science	Ocean	Time	Guitar	Happiness	Mountain	77.86719013182889
38	Elephant	Peace	Water	Guitar	Freedom	Chair	Sun	Cloud	Courage	Pizza	75.29449079717908
39	Elephant	Freedom	Butterflies	Gravity	Rainbow	Guitar	Imagination	Universe	Popcorn	Philosophy	75.43926508653732
40	Car	Butterfly	Music	Notebook	Mountain	Spoon	Freedom	Tide	Telescope	Cloud	82.21584847640423
41	)Elephant	)Sunshine	)Book	)Confetti	)Pain	)Mountain	)Success	)Balloon	)Corruption	)Butterfly	81.87771062588408
42	Elephant	Envelope	Freedom	Glacier	Melody	Sarcasm	Oxygen	Trampoline	Zenith	Anatomy	85.05346917857726
43	Apple	Truth	Bicycle	Freedom	Fire	Love	Ostrich	Music	Wisdom	Ocean	77.55289047601677
44	Umbrella	Peace	Guitar	Distance	Fish	Freedom	Laptop	Love	Castle	Milk	79.87267910724594
45	Elephant	Sunshine	Bicycle	Freedom	Architecture	Apology	Orchestra	Wisdom	Rainbow	Desert	83.60271884926728
46	Chair	Oxygen	Book	Harmony	Elephant	Courage	Bicycle	Chocolate	Freedom	Ocean	81.64883144199848
47	Umbrella	Freedom	Guitar	Ocean	Passion	Diamond	Courage	Elephant	Butterfly	Entrepreneur	75.94565160217739
48	Elephant	Breeze	Mathematics	Sunshine	Syrup	Thunder	Bicycle	Silence	Puzzle	Sausage	80.82978770669017
49	Apple	Happiness	Umbrella	Courage	Grasshopper	Freedom	Piano	Compassion	Carrot	Imagination	78.9056875166439
50	Mango	Synergy	Satellite	Chaos	Biscuit	Constitution	Butterfly	Vinegar	Horizon	Algebra	86.78810121048065
51	Elephant	Dream	Lemon	Justice	Mirror	History	Whisper	Bicycle	Freedom	Rainbow	79.0899349997441
52	Elephant	Gravity	Freedom	Serenity	Abstract	Hierarchy	Cactus	Melancholy	Legend	Purity	80.85866903974896
53	Chair	Love	Mountain	Democracy	Ocean	Elephant	Freedom	Rainbow	Music	Cake	73.20692908196222
54	Chair	Love	Mountain	Finance	Elephant	Democracy	Rainbow	Pizza	Meditation	Guitar	78.70667567033144
55	Apple	Democracy	Pineapple	Courage	Bicycle	Serenity	Feather	Justice	Cactus	Infinity	81.42564288739648
56	Lamp	Love	Mountain	Leaf	Skateboard	Watermelon	Wisdom	Chair	Truth	Book	79.3175287899517
57	Apple	Love	Freedom	Chair	Ocean	Justice	Tree	Joy	Car	Moon	74.100383158241
58	Chair	Moon	Courage	Onion	Ocean	Freedom	Marble	Gold	Bicycle	Book	78.95349693440255
59	Elephant	Courage	Coffee	Infinity	Harmony	Thunderstorm	Horizon	Trampoline	Serenity	Rebellion	81.27652619566236
60	Elephant	Harmony	Compassion	Friction	Alligator	Intuition	Metamorphosis	Velocity	Anarchy	Abyss	79.31949451033559
61	Elephant	Ocean	Democracy	Guitar	Mathematics	Rainbow	Rabbit	Mythology	Mushroom	Universe	80.10419894542012
62	Apple	Bicycle	Wind	Unity	Dagger	Joy	Telescope	Empathy	Glacier	Laughter	83.96854748328526
63	Elephant	Love	Cloud	Philosophy	Guitar	Umbrella	Steak	Laughter	Gravity	Raincoat	81.99012673326901
64	Banana	chair	love	car	freedom	mountain	phone	hope	book	ocean	76.87650145519348
