id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Chair	Love	Car	Freedom	Ocean	Justice	Tree	Courage	Music	Joy	74.19268964301972
1	Elephant	Love	Laptop	Justice	Ocean	Happiness	Mountain	Freedom	Bridge	Music	74.68188543404851
2	Elephant	Joy	Garlic	Mountain	Compassion	Television	Ocean	Democracy	Bicycle	Chaos	78.20659266518695
3	Chair	Elephant	Freedom	Oxygen	Mystery	Bicycle	Wisdom	Thunder	Pizza	Courage	79.9098965667543
4	Butterfly	Hammer	Ocean	Cactus	Music	Pencil	Mountain	Spoon	Rainbow	Pillow	77.99518342529025
5	Elephant	Joy	Mountain	Courage	Bicycle	Serenity	Book	Chaos	Ocean	Freedom	72.42116917456899
6	Chair	Freedom	Ocean	Courage	Apple	Wisdom	Bicycle	Happiness	Butterfly	Conflict	76.74166709184647
7	Elephant	Rainbow	Wisdom	Guitar	Freedom	Ocean	Laughter	Bicycle	Courage	Cloud	73.97220659823645
8	Elephant	Moon	Breeze	Justice	Guitar	Chemistry	Snowflake	Compassion	Tornado	Photograph	82.82762431495246
9	Elephant	Bicycle	Democracy	Rainbow	Guitar	Mountain	Balloon	History	Pizza	Telescope	77.6026002353146
10	Apple	Love	Chair	Freedom	Mountain	Book	Elephant	Courage	Ocean	Music	75.85247535081137
11	Elephant	Freedom	Satellite	Joy	Ocean	Justice	Bicycle	Courage	Rainbow	Museum	75.85102168931847
12	Elephant	Joy	Star	Chaos	Ocean	Integrity	Freedom	Book	Fever	Truth	74.01050439193135
13	Elephant	Idea	Music	Ocean	Chair	Courage	Cloud	Bicycle	Freedom	Mirror	76.6864054969379
14	Banana	Liberty	Elephant	Serenity	Bicycle	Justice	Hurricane	Infinity	Guitar	Compassion	78.59015122410797
15	Apple	Chair	Freedom	Ocean	Love	Hammer	Elephant	Music	Mountain	Lightbulb	77.45786096368518
16	Elephant	Freedom	Guitar	Philosophy	Chocolate	Ocean	Democracy	Chimney	Poetry	Architecture	78.58520473930098
17	Elephant	Dream	Bicycle	Freedom	Ocean	Justice	Guitar	Friendship	Mountain	Idea	74.50640073844365
18	Chair	Elephant	Freedom	Rainbow	Guitar	Oxygen	Pizza	Universe	Friendship	Diamond	81.88853871432089
19	Elephant	Cookie	Courage	Guitar	Mountain	Poetry	Knife	Sunset	Oxygen	Umbrella	79.75052776081222
20	Elephant	Symphony	Happiness	Bicycle	Democracy	Glacier	Courage	Tangerine	Justice	Compassion	79.73659019030276
21	Apple	Love	Bicycle	Universe	Elephant	Freedom	Piano	Ocean	Mountain	Poetry	78.10978665947914
22	Chair	Elephant	Love	Ocean	Freedom	Book	Happiness	Mountain	Courage	Music	72.48902562118712
23	Bicycle	Courage	Oasis	Harmony	Spectacle	Liberty	Spider	Symphony	Chaos	Compassion	78.18236659680095
24	Dog	Happiness	Ocean	Chair	Courage	Cloud	Freedom	Bicycle	Knowledge	Love	73.49979700077148
25	Elephant	Sunflower	Freedom	Keyboard	Thunderstorm	Bicycle	Emotion	Compassion	Glacier	Symphony	85.42499819859152
26	Bicycle	Dream	Mountain	Candle	Freedom	Ocean	Guitar	Compassion	Camera	Thunder	73.55363638628097
27	Elephant	Dreams	Rainbow	Thunder	Bicycle	Silence	Ocean	Justice	Scissors	Music	71.41021784572374
28	Elephant	Umbrella	Freedom	Bicycle	Galaxy	Hammer	Justice	Rainbow	Compassion	Cloud	78.11738479705085
29	Elephant	Horizon	Symphony	Oxygen	Mistake	Fragrance	Hammer	Compassion	Bicycle	Conundrum	84.1444952236045
30	Elephant	Sunset	Freedom	Bicycle	Ocean	Cloud	Envelope	Laughter	Guitar	Rainbow	76.6606548002788
31	Dog	Freedom	Bicycle	Dream	Mountain	Justice	Music	Ocean	Book	Compassion	70.62751274733316
32	Elephant	Symphony	Ocean	Courage	Chocolate	Gravity	Friendship	Compassion	Bicycle	Sunflower	77.53170267457054
33	Elephant	Love	Computer	Freedom	Ocean	Truth	Bicycle	Magic	Courage	Sunset	74.30640749988102
34	Cat	Chair	Happiness	Ocean	Hammer	Rainbow	Mountain	Cake	Compassion	Bicycle	75.00104662917909
35	Tree	Music	Love	Bicycle	Time	Ocean	Money	Friendship	Book	Courage	71.49328717163631
36	Elephant	Love	Bicycle	Beauty	Ocean	Freedom	Chair	Courage	Time	Music	72.72388225510007
37	Elephant	Music	Love	Computer	Ocean	Chair	Freedom	Diamond	Time	Chocolate	74.82316724601246
38	Elephant	Cloud	Happiness	Bicycle	Democracy	Ocean	Chair	Lightning	Freedom	Guitar	78.05808427787963
39	Elephant	Pencil	Freedom	Cloud	Bicycle	Love	Mountain	Book	Ocean	Cake	76.56338892522312
40	Chair	Love	Mountain	Fear	Book	Elephant	Freedom	Pizza	Joy	Science	72.34914480220704
41	Elephant	Love	Galaxy	Bicycle	Courage	Pizza	Democracy	Rainbow	Music	Hammer	80.33740013128235
42	Elephant	Cloud	Freedom	Guitar	Mathematics	Ocean	Love	Chair	Compassion	Bicycle	78.42436303340253
43	Apple	Ocean	Happiness	Chair	Freedom	Mountain	Love	Camera	Justice	Elephant	72.21954216559728
