id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Elephant	Moon	Book	Cloud	Guitar	Spoon	River	Chair	Diamond	Clock	79.00351310769717
1	Chair	Sun	Love	Dog	Time	Music	Money	Tree	Water	Book	69.74959132217225
2	Dog	Chair	Happiness	Ocean	Music	Time	Tree	Money	Love	Knowledge	73.70066997550782
3	Dog	Chair	Love	Cloud	Money	Time	Book	Water	Music	Dream	72.93115712347485
4	Dog	Chair	Love	Tree	Time	Water	Music	Money	Freedom	Happiness	70.81912997223083
5	Dog	Chair	Love	Tree	Time	Music	Water	Happiness	Money	Book	70.81912997223083
6	Dog	Chair	Love	Cloud	Freedom	Music	Money	Time	War	Joy	74.53310042619705
7	Dog	Rain	Happiness	Chair	Ocean	Music	Time	Freedom	Money	Book	72.7753337650072
8	Dog	Chair	Happiness	Mountain	Book	Music	Time	Water	Money	Love	74.27276919285457
9	Dog	Love	Car	Time	Mountain	Music	Happiness	Book	Money	Water	68.94072067169915
10	Dog	Love	Tree	Freedom	Book	Time	Water	Money	Music	Happiness	70.19101977348328
11	Dog	Chair	Love	Tree	Time	Money	Freedom	Music	Happiness	Water	70.11226947818484
12	Dog	Moon	Chair	Happiness	Car	Rain	Book	Time	Mountain	Music	76.16399867194039
13	Elephant	Happiness	Chair	Freedom	Sun	Love	Book	Time	Water	Music	72.27121485131127
14	Dog	Chair	Love	Rain	Happiness	Book	Mountain	Time	Money	Music	73.36726898238773
15	Dog	Chair	Love	Mountain	Time	Water	Book	Music	Money	Happiness	71.54189539807183
16	Dog	Chair	Love	Time	Water	Music	Freedom	Money	Hope	War	70.51329811414082
17	Elephant	Rainbow	Love	Chair	Freedom	Sun	Music	Time	Water	Dream	72.84623043877738
18	Dog	Happiness	Table	Freedom	Tree	Knowledge	Mountain	Music	Love	Time	72.48200784836497
19	Dog	Moon	Happiness	Chair	Time	Ocean	Music	Courage	Money	Friendship	72.35257178544998
20	Dog	Happiness	Table	Courage	Rain	Freedom	Book	Friendship	Mountain	Music	74.43200913923127
21	Cat	Chair	Love	Ocean	Music	Time	Tree	Money	Freedom	Book	71.55056453886486
22	Elephant	Apple	Happiness	Chair	Ocean	Time	Music	Mountain	Love	Book	76.11434445494697
23	Dog	Happiness	Chair	Love	Tree	Time	Water	Book	Music	Money	69.98233653250195
24	Dog	Chair	Love	Time	Water	Music	Happiness	Book	Money	Freedom	70.26335497697194
