P_ID,Flow,Word count,NAs
0,0.7756617754544312,21,1

1,0.7752681097485169,21,1

2,0.7955998123316734,21,0

3,0.7650778864520997,21,0

4,0.7369997752654746,21,1

5,0.7490129352094731,21,1

6,0.7671344908829912,21,3

7,0.8072387105679784,21,0

8,0.7777739437181818,21,3

9,0.7047700616731751,21,0

10,0.7358437274689626,21,1

11,0.8313320741335833,21,2

12,0.7764694834925686,21,1

13,0.838880710301817,21,0

14,0.8059412126747214,21,0

15,0.853277735201611,21,1

16,0.7658504509609784,21,3

17,0.7759429563313561,21,1

18,0.7870212904807316,21,4

19,0.7383967399910063,21,2

20,0.8437202171421871,21,1

21,0.7655647148289632,21,1

22,0.7848982185636814,21,0

23,0.7709481153956796,21,2

24,0.8341363801104515,21,1

25,0.7660611529995486,21,1

26,0.8236663064190491,21,1

27,0.7838545405295603,21,1

28,0.8369007460508788,21,1

29,0.8164138781489148,21,3

30,0.8003572562423269,21,0

31,0.8251538420640123,21,0

32,0.8691383179394551,21,1

33,0.8007393096206702,21,4

34,0.7488094235469505,21,1

35,0.7522372555529167,21,0

36,0.8092434604591185,21,0

37,0.8134961070586061,21,1

38,0.835244532154429,21,1

39,0.7165734094811963,21,0

40,0.8136385882682534,21,1

41,0.8021951858809714,21,2

42,0.8496877717088597,21,2

43,0.7629190441246462,21,0

44,0.8399471396204269,21,1

45,0.8052383210652884,21,2

46,0.8436310649864961,21,2

47,0.8437149324672097,21,0

48,0.7904828461086847,21,1

49,0.7771027092963402,21,3

50,0.8211726563787274,21,1

51,0.8105609125331925,21,1

52,0.8134188166875754,21,1

53,0.8014650799241461,21,1

54,0.8223704588429028,21,0

55,0.823133664326615,21,1

56,0.841816814436308,21,0

57,0.8153965318853877,21,0

58,0.8542040936666709,21,1

59,0.7469788458992063,21,2

60,0.7976152802648604,21,1

61,0.8410096784403592,21,0

62,0.8115237042994599,21,1

63,0.781730435498236,21,2

64,0.7965411039270021,21,2

65,0.7916750695480033,21,0

66,0.8055867483219294,21,0

67,0.8194119189419616,21,0

68,0.8562724264580462,21,1

69,0.8527827167718538,21,0

70,0.7161102568587687,21,1

71,0.7731627965251527,21,3

72,0.7492746694087522,21,2

73,0.7998865515486793,21,1

74,0.7429887178551264,21,2

75,0.8181888328408906,21,0

76,0.72840438192294,21,0

77,0.8022342484149126,21,1

78,0.8039249428802848,21,1

79,0.8576750739683283,21,1

80,0.7523256962351592,21,2

81,0.8005780695253086,21,1

82,0.7642801665659776,21,1

83,0.8526656795276032,21,1

84,0.8314786124599506,21,0

85,0.7708283415878411,21,0

86,0.8299490100486826,21,0

87,0.7970933890129314,21,1

88,0.8266272807498102,21,1

89,0.7941751813662099,21,1

90,0.8434454196547203,21,2

91,0.681413642725202,21,0

92,0.7486148542799275,21,2

93,0.7903672493914056,21,0

94,0.7707680389806448,21,3

95,0.8052378560953557,21,2

96,0.790597712537978,21,1

97,0.8293268931681477,21,1

98,0.7600139272437791,21,1

99,0.8227415440473538,21,0

