P_ID,Flow,Word count,NAs
0,0.7745241289942467,20,4

1,0.6972664921591238,13,2

2,0.7873875596565528,12,0

3,0.7718758809393893,16,1

4,0.7266621934433392,20,3

5,0.8917782750452348,27,1

6,0.7982443966194402,20,1

7,0.7557329584734724,19,2

8,0.737702794535791,20,1

9,0.6615910821603341,20,3

10,0.7359931367601045,12,1

11,0.7879324525314506,20,2

12,0.8854924616405091,21,1

13,0.7597402824318021,16,1

14,0.6750354703984888,19,6

15,0.45871523275715853,11,5

16,0.7899316635296697,20,3

17,0.6852626521867791,17,0

18,0.7487366283164683,14,3

19,0.809439908374053,16,4

20,0.6081295495131753,20,3

21,0.7096224549232084,14,2

22,0.7699082777783663,9,0

23,0.7879415066325236,20,2

24,0.7226341899550376,15,1

