...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,Hide valuables inside a secret compartment in a book,hide valuables inside a secret compartment in a book,book,book,0.76015,0.98757,1.07558,0.96626,0.69528,0.89697,-0.08586
1,2,creative,Use a book as a place to hide small items such as keys,use a book as a place to hide small items such as keys,book,book,0.90834,0.95226,1.09443,0.96613,0.77629,0.93949,-0.0262
2,3,creative,Use a book as a coaster for drinks,use a book as a coaster for drinks,book,book,0.88596,1.0865,0.9245,0.96636,1.21872,1.01641,-0.01254
3,4,creative,Use a book as a stand for a tablet or laptop,use a book as a stand for a tablet or laptop,book,book,1.00996,0.98291,0.99316,0.96613,0.77024,0.94448,0.00363
4,5,creative,Use a book as a stand for a phone,use a book as a stand for a phone,book,book,0.82368,0.90488,0.97061,0.96613,0.76051,0.88516,-0.07645
5,6,creative,Use a book as a bookend,use a book as a bookend,book,book,0.95907,1.06241,0.92769,0.96821,0.70053,0.92358,-0.01937
6,7,creative,Use a book as a picture frame,use a book as a picture frame,book,book,0.76761,0.87792,0.9648,0.96154,0.73037,0.86045,-0.10325
7,8,creative,Use a book as a decorative item,use a book as a decorative item,book,book,0.9740800000000001,1.10292,1.03874,0.9605,0.76371,0.96799,0.00442
8,9,creative,Use a book as a doorstop,use a book as a doorstop,book,book,0.93181,1.10638,0.88114,0.97437,0.78359,0.93546,-0.02433
9,10,creative,Use a book as a paperweight,use a book as a paperweight,book,book,0.9618,1.13342,0.91089,0.97241,0.75896,0.9475,-0.00935
10,11,creative,Use a book as a writing surface,use a book as a writing surface,book,book,0.91569,0.98972,0.98225,0.96561,0.6904,0.90873,-0.03751
11,12,creative,Create a secret compartment in a book to store valuables,create a secret compartment in a book to store valuables,book,book,0.90436,0.97387,1.06272,0.96637,1.311,1.04366,0.00478
12,13,creative,Use a book as a place to hide messages,use a book as a place to hide messages,book,book,0.87342,0.96518,0.96921,0.96614,0.74049,0.90289,-0.05373
13,14,creative,Use a book as a coaster,use a book as a coaster,book,book,0.87471,0.93505,1.05369,0.96496,1.21836,1.00935,-0.01692
14,15,creative,Use a book as a doorstop,use a book as a doorstop,book,book,0.93181,1.10638,0.88114,0.97437,0.78359,0.93546,-0.02433
15,16,creative,Use a book as a bookend,use a book as a bookend,book,book,0.95907,1.06241,0.92769,0.96821,0.70053,0.92358,-0.01937
16,17,creative,Use a book as a laptop stand,use a book as a laptop stand,book,book,0.99089,0.93324,1.01119,0.96657,0.7366900000000001,0.92772,-0.00814
17,18,creative,Use a book as a picture frame,use a book as a picture frame,book,book,0.76761,0.87792,0.9648,0.96154,0.73037,0.86045,-0.10325
18,19,creative,Use a book as a phone stand,use a book as a phone stand,book,book,0.79262,0.89307,0.9525,0.96513,0.73531,0.86773,-0.09287
19,20,creative,Use a book as a planter,use a book as a planter,book,book,1.06467,1.0343,0.94199,0.97117,0.69526,0.94148,0.01949
20,21,creative,Use a book as a serving tray,use a book as a serving tray,book,book,0.9866,0.9335100000000001,1.09493,0.96477,1.02028,1.00002,0.01682
21,22,creative,Make a notebook out of it,make a notebook out of it,book,book,0.95306,1.1104,0.91526,0.96621,1.3075,1.05049,0.01946
22,23,creative,Use it as a coaster,use it as a coaster,book,book,0.85954,1.03705,0.9466600000000001,0.96636,0.7836,0.91864,-0.05212
23,24,creative,Use it as a placemat,use it as a placemat,book,book,1.0104899999999999,1.06605,0.93853,0.96749,1.30768,1.05805,0.03977
24,25,creative,Use it as a laptop stand,use it as a laptop stand,book,book,1.07805,1.02216,0.98812,0.96606,1.28109,1.0671,0.06457
25,26,creative,Use it as a picture frame,use it as a picture frame,book,book,0.99051,0.9851,0.90439,0.96731,1.28856,1.02717,0.02011
26,27,creative,Use it as a paperweight,use it as a paperweight,book,book,0.87051,0.95242,0.95411,0.96639,1.24801,0.99829,-0.0254
27,28,creative,Use it as a phone stand,use it as a phone stand,book,book,0.89386,1.04788,1.04577,0.96639,1.28268,1.04732,0.00389
28,29,creative,Use it as a shelf,use it as a shelf,book,book,0.8192200000000001,0.99458,0.98592,0.96618,0.6876,0.8907,-0.07304
29,30,creative,Use it as a pillow,use it as a pillow,book,book,0.83569,1.0087,0.99035,0.96535,1.10272,0.98056,-0.03896
30,31,creative,Use it as a door stop,use it as a door stop,book,book,1.02634,1.04711,1.03767,0.9661,1.25438,1.06632,0.05094
31,32,creative,As a doorstop,as a doorstop,book,book,0.73455,0.91745,0.82025,0.93485,1.26975,0.93537,-0.09777
32,33,creative,As a bookend,as a bookend,book,book,0.89863,1.09783,0.83199,0.962,1.3237999999999999,1.02285,-0.01065
33,34,creative,As a makeshift table surface,as a makeshift table surface,book,book,0.91427,0.93507,0.92579,0.98838,0.7962400000000001,0.91195,-0.03846
34,35,creative,As a cutting board,as a cutting board,book,book,0.99762,0.98438,1.04661,0.97456,1.32105,1.06484,0.04108
35,36,creative,As a paperweight,as a paperweight,book,book,0.85363,0.99137,0.79811,0.98127,1.31515,0.98791,-0.03808
36,37,creative,As a laptop stand,as a laptop stand,book,book,1.09589,1.03512,1.11975,0.96382,1.29492,1.1019,0.08692
37,38,creative,As a picture frame,as a picture frame,book,book,1.01158,1.02924,0.95577,0.94212,1.28687,1.04512,0.03315
38,39,creative,As a journal,as a journal,book,book,0.87639,0.9089700000000001,0.85473,0.99846,0.6013200000000001,0.84797,-0.07326
39,40,creative,As a photo album,as a photo album,book,book,1.01148,1.0142,1.12526,0.95582,1.2175,1.06485,0.04765
40,41,creative,As a bookshelf,as a bookshelf,book,book,0.7389,0.93279,0.7985599999999999,0.99407,1.33461,0.95979,-0.08308
41,42,creative,As a paper airplane,as a paper airplane,book,book,0.94325,0.98707,0.88292,0.96689,1.29915,1.01586,8.3e-4
42,43,creative,Make a book fort Stack books to form a cozy reading nook,make a book fort stack books to form a cozy reading nook,book,book,1.04043,1.14065,0.96766,0.96558,1.21756,1.06638,0.0548
43,44,creative,Create a photo book Use a book as a photo album or scrapbook,create a photo book use a book as a photo album or scrapbook,book,book,1.1292200000000001,1.10311,0.91,0.96636,1.22137,1.06601,0.07906
44,45,creative,Make a journal Use a book as a journal or diary,make a journal use a book as a journal or diary,book,book,0.91057,0.92405,1.02162,0.96523,0.70519,0.90533,-0.04028
45,46,creative,Make a cookbook Use a book as a cookbook or recipe book,make a cookbook use a book as a cookbook or recipe book,book,book,0.84444,1.13081,0.8962600000000001,0.98269,1.25192,1.02122,-0.02234
46,47,creative,Use it as a prop Use a book as a prop in a photoshoot or as part of a costume,use it as a prop use a book as a prop in a photoshoot or as part of a costume,book,book,1.07786,0.95601,1.08412,0.96613,0.6934400000000001,0.95551,0.03154
47,48,creative,Use it as a canvas Use a book as a canvas for drawing or painting,use it as a canvas use a book as a canvas for drawing or painting,book,book,0.87226,0.93547,0.98262,0.96613,0.77584,0.90646,-0.05318
48,49,creative,Make a sculpture Use a book as a sculpture or as part of a sculpture,make a sculpture use a book as a sculpture or as part of a sculpture,book,book,0.9524,0.93782,0.97328,0.96613,0.7799,0.92191,-0.02357
49,50,creative,Use it as a puzzle Use a book as a puzzle or as part of a puzzle,use it as a puzzle use a book as a puzzle or as part of a puzzle,book,book,0.92831,1.04514,1.02924,0.96613,0.7760400000000001,0.94897,-0.01728
50,51,creative,Use it as a musical instrument Use a book as a musical instrument such as a book drum or book harp,use it as a musical instrument use a book as a musical instrument such as a book drum or book harp,book,book,1.0345,0.96439,0.90112,0.96613,0.78176,0.92958,0.00215
51,52,creative,Use it as a book holder Use a book as a book holder or book stand,use it as a book holder use a book as a book holder or book stand,book,book,0.84577,0.99945,1.05707,0.96613,1.26074,1.02583,-0.01878
52,53,creative,Use it as a conversation starter Use a book as a conversation starter or as part of a conversation starter,use it as a conversation starter use a book as a conversation starter or as part of a conversation starter,book,book,1.03454,0.98912,0.93436,0.96613,1.21835,1.0285,0.03557
53,54,creative,Make a book fort or shelter,make a book fort or shelter,book,book,1.06584,1.1028,0.92003,1.012,1.2206299999999999,1.06426,0.06382
54,55,creative,Use a book as a canvas for drawing or painting,use a book as a canvas for drawing or painting,book,book,1.06413,1.06404,1.00413,0.96615,1.22974,1.06564,0.06156
