...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,Create a diorama or miniature scene in a box,create a diorama or miniature scene in a box,box,box,0.9486,0.88775,0.95574,0.96769,1.23452,0.99886,-0.00629
1,2,creative,Decorate the box and use it as a gift box or storage container,decorate the box and use it as a gift box or storage container,box,box,0.90791,0.98611,0.99633,0.96897,0.7769,0.92724,-0.03492
2,3,creative,Use the box as a prop in a theater or puppet show,use the box as a prop in a theater or puppet show,box,box,0.94811,0.93276,0.9051899999999999,0.9688,0.78262,0.9075,-0.03559
3,4,creative,Use the box as a musical instrument such as a drum or a xylophone,use the box as a musical instrument such as a drum or a xylophone,box,box,0.93887,0.93269,1.06264,0.96882,1.21889,1.02438,0.005
4,5,creative,Use the box as a planter for growing plants or herbs,use the box as a planter for growing plants or herbs,box,box,0.91056,0.93959,1.038,0.96878,1.22537,1.01646,-0.00587
5,6,creative,Use the box as a stage or platform for a small object or figurine,use the box as a stage or platform for a small object or figurine,box,box,0.88087,1.06686,0.94726,0.96881,0.77502,0.92776,-0.04379
6,7,creative,Use the box as a puzzle or game such as a box maze or box escape challenge,use the box as a puzzle or game such as a box maze or box escape challenge,box,box,0.87709,0.91455,0.98013,0.9688,0.77681,0.90348,-0.05127
7,8,creative,Use the box as a hiding place for small items or a secret compartment,use the box as a hiding place for small items or a secret compartment,box,box,1.10772,0.93392,0.96952,0.9688,1.2305,1.04209,0.04882
8,9,creative,Use the box as a puppet or toy such as a box puppet or a cardboard box robot,use the box as a puppet or toy such as a box puppet or a cardboard box robot,box,box,1.10479,1.1471,0.93767,0.9688,1.22313,1.0763,0.05797
9,10,creative,Use the box as a photo booth prop or backdrop,use the box as a photo booth prop or backdrop,box,box,0.89499,1.10943,1.02406,0.9674,0.7879700000000001,0.95677,-0.02774
10,11,creative,Use the box as a sculpture or art installation,use the box as a sculpture or art installation,box,box,1.09377,0.97954,1.02164,0.9766,0.77493,0.9693,0.02912
11,12,creative,Create a diorama or miniature scene inside the box,create a diorama or miniature scene inside the box,box,box,0.94091,0.88153,0.9343,0.96597,1.23492,0.99153,-0.01216
12,13,creative,Make a fort or playhouse for kids,make a fort or playhouse for kids,box,box,0.9151,0.8469599999999999,1.06044,0.96796,1.18388,0.99487,-0.01084
13,14,creative,Transform it into a puppet theater,transform it into a puppet theater,box,box,1.03281,0.95929,0.96426,0.96635,1.20962,1.02647,0.02401
14,15,creative,Use it as a gift box or packaging for a gift,use it as a gift box or packaging for a gift,box,box,0.83785,0.85087,0.95607,0.96881,0.76101,0.87492,-0.07149
15,16,creative,Use it as storage for craft supplies,use it as storage for craft supplies,box,box,0.89741,1.03551,0.97693,0.96929,0.75587,0.927,-0.03827
16,17,creative,Use it as a planter for a mini garden,use it as a planter for a mini garden,box,box,1.09413,1.05369,0.96099,0.9688,1.22645,1.06081,0.05123
17,18,creative,Use it as a pet bed or carrier,use it as a pet bed or carrier,box,box,0.97002,0.93143,1.09602,0.96876,1.24319,1.04188,0.01991
18,19,creative,Use it as a storage container for household items,use it as a storage container for household items,box,box,0.87537,0.99551,1.05573,0.9683,0.7610399999999999,0.93119,-0.03919
19,20,creative,Use it as a musical instrument like a drum or xylophone,use it as a musical instrument like a drum or xylophone,box,box,1.0198,0.93179,0.94704,0.96882,0.79791,0.93307,-0.0074
20,21,creative,Use it as a donation box for a fundraiser or charity,use it as a donation box for a fundraiser or charity,box,box,0.8883,0.90305,1.05232,0.96882,0.78103,0.9187,-0.04018
21,22,creative,Use it as a photo booth prop or backdrop,use it as a photo booth prop or backdrop,box,box,1.00273,1.08997,0.96346,0.97116,1.18535,1.04253,0.02345
22,23,creative,Create a diorama or miniature scene inside the box,create a diorama or miniature scene inside the box,box,box,0.94091,0.88153,0.9343,0.96597,1.23492,0.99153,-0.01216
23,24,creative,Make a fort or playhouse for kids to play in,make a fort or playhouse for kids to play in,box,box,1.13798,0.99018,1.07616,0.96879,0.7683,0.98828,0.04643
24,25,creative,Use as a gift box for a unique present,use as a gift box for a unique present,box,box,0.93126,0.89657,0.89128,0.96904,0.77108,0.89185,-0.04545
25,26,creative,Turn it into a musical instrument such as a guitar or drum,turn it into a musical instrument such as a guitar or drum,box,box,1.01568,0.9404399999999999,1.03073,0.96881,1.2231,1.03575,0.02651
26,27,creative,Use it as storage for craft supplies or office supplies,use it as storage for craft supplies or office supplies,box,box,1.08542,0.99135,1.00148,0.97266,1.23983,1.05815,0.05117
27,28,creative,Create a shadow puppet theater,create a shadow puppet theater,box,box,0.944,0.9085300000000001,0.91136,1.03569,0.71698,0.90331,-0.01564
28,29,creative,Decorate it as a place to display holiday decorations,decorate it as a place to display holiday decorations,box,box,0.92934,0.95694,0.98211,0.96875,0.77695,0.92282,-0.03173
29,30,creative,Use it as a pet bed or carrier,use it as a pet bed or carrier,box,box,0.97002,0.93143,1.09602,0.96876,1.24319,1.04188,0.01991
30,31,creative,Make a time capsule and store it inside the box,make a time capsule and store it inside the box,box,box,1.11994,1.0777,1.01062,0.96877,1.22791,1.08099,0.06658
31,32,creative,Use it as a planter for an indoor herb garden,use it as a planter for an indoor herb garden,box,box,0.96405,1.11468,1.11706,0.96882,0.77996,0.98891,0.00487
32,33,creative,Make a diorama or miniature scene,make a diorama or miniature scene,box,box,1.00574,0.91132,0.96596,0.95962,0.76967,0.92246,-0.01636
33,34,creative,Create a shadow box to display photos or mementos,create a shadow box to display photos or mementos,box,box,0.85271,0.94041,0.95104,0.98564,0.79864,0.90569,-0.05265
34,35,creative,Make a fort or playhouse for the kids,make a fort or playhouse for the kids,box,box,1.11661,0.87991,1.04874,0.96912,0.75308,0.95349,0.02857
35,36,creative,Use a cardboard box as a planter for a garden,use a cardboard box as a planter for a garden,box,box,1.12184,0.94555,0.94319,0.96879,0.77765,0.9514,0.024140000000000002
36,37,creative,Make a gift box for a special occasion,make a gift box for a special occasion,box,box,1.16421,1.06686,0.94173,0.96914,1.22675,1.07374,0.07228
37,38,creative,Create a pet bed or litter box,create a pet bed or litter box,box,box,1.08378,0.93115,0.96743,1.05101,0.77422,0.96152,0.04569
38,39,creative,Use a cardboard box as a storage container for toys or other items,use a cardboard box as a storage container for toys or other items,box,box,0.88898,1.11239,0.94669,0.96859,0.77748,0.93883,-0.03822
39,40,creative,Make a costume or prop for Halloween or another occasion,make a costume or prop for halloween or another occasion,box,box,1.03131,0.93876,0.95201,0.9689,0.77394,0.93298,-0.00414
40,41,creative,Use a cardboard box as a canvas for an art project,use a cardboard box as a canvas for an art project,box,box,0.88954,1.0796999999999999,1.06125,0.96878,0.77816,0.95549,-0.02734
41,42,creative,Use a cardboard box as a speaker box for an audio system,use a cardboard box as a speaker box for an audio system,box,box,0.87842,0.98283,1.07398,0.96835,1.21922,1.02456,-0.00972
42,43,creative,Make a storage box for shoes clothes or other items,make a storage box for shoes clothes or other items,box,box,1.10765,1.10992,1.07125,0.97101,1.22675,1.09732,0.07236
43,44,creative,Make a birdhouse,make a birdhouse,box,box,0.795,1.01119,0.96066,0.96747,1.26855,1.00057,-0.04425
44,45,creative,Make a puppet theater,make a puppet theater,box,box,1.00292,0.91145,0.95786,0.99907,1.13772,1.0018,0.01916
45,46,creative,Create a diorama,create a diorama,box,box,1.03711,0.91201,0.96715,0.98159,1.13554,1.00668,0.0241
46,47,creative,Make a time capsule,make a time capsule,box,box,1.03664,0.95001,0.98635,1.01053,1.22587,1.04188,0.04526
47,48,creative,Use it as a gift box,use it as a gift box,box,box,1.08466,1.01042,1.05215,0.96893,1.23593,1.07042,0.05614
48,49,creative,Use it as a planter,use it as a planter,box,box,0.8823300000000001,1.00218,0.95633,0.96891,1.17584,0.99712,-0.02266
49,50,creative,Make a fort or a castle,make a fort or a castle,box,box,1.02682,0.87032,0.99725,0.96871,1.22019,1.01666,0.02147
50,51,creative,Use it as a storage bin,use it as a storage bin,box,box,1.0249,1.0608900000000001,1.07356,0.96793,1.24302,1.07406,0.04298
51,52,creative,Use it as a bookshelf,use it as a bookshelf,box,box,0.972,1.05171,0.95966,0.97136,1.2374,1.03843,0.01396
52,53,creative,Use it as a musical instrument,use it as a musical instrument,box,box,0.92842,0.95182,1.03287,0.96903,1.23894,1.02422,9.2e-4
53,54,creative,Create a robot costume for a young child,create a robot costume for a young child,box,box,0.88914,0.9463,1.02319,0.96886,1.22287,1.01007,-0.01397
54,55,creative,Turn it into a puppet theater,turn it into a puppet theater,box,box,0.90669,0.92864,0.98279,0.96641,1.19727,0.99636,-0.01656
55,56,creative,Create a diorama or miniature scene,create a diorama or miniature scene,box,box,1.02189,0.91836,0.96124,0.93805,0.76201,0.92031,-0.02017
56,57,creative,Use it as a storage container for small items,use it as a storage container for small items,box,box,0.88029,0.95191,1.04735,0.96837,0.76665,0.92291,-0.04108
57,58,creative,Create a fort or playhouse for a young child,create a fort or playhouse for a young child,box,box,1.05762,1.00569,1.07045,0.9688,1.21895,1.0643,0.04825
58,59,creative,Use it as a gift box,use it as a gift box,box,box,1.08466,1.01042,1.05215,0.96893,1.23593,1.07042,0.05614
59,60,creative,Use it as a pet bed,use it as a pet bed,box,box,1.0632,0.98523,1.09908,0.96926,1.23903,1.07116,0.05323
60,61,creative,Use it as a gift basket,use it as a gift basket,box,box,1.0265,0.8731800000000001,0.89465,0.96911,1.23959,1.00061,0.01145
61,62,creative,Use it as a time capsule,use it as a time capsule,box,box,0.99228,0.93408,0.95728,0.96859,1.2438,1.01921,0.01166
62,63,creative,Turn it into a puzzle box,turn it into a puzzle box,box,box,1.10836,0.88462,0.9739,0.96396,1.23254,1.03268,0.0445
63,64,creative,Make a fort or playhouse for kids,make a fort or playhouse for kids,box,box,0.9151,0.8469599999999999,1.06044,0.96796,1.18388,0.99487,-0.01084
64,65,creative,Create a diorama,create a diorama,box,box,1.03711,0.91201,0.96715,0.98159,1.13554,1.00668,0.0241
