...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,Make a sculpture or decorative object,make a sculpture or decorative object,brick,brick,0.97196,1.00751,1.04386,1.09325,1.19257,1.06183,0.02607
1,2,creative,Use as a doorstop,use as a doorstop,brick,brick,0.98179,1.0271,1.03961,0.99712,0.8082199999999999,0.97077,0.01298
2,3,creative,Use as a paperweight or bookend,use as a paperweight or bookend,brick,brick,1.04159,0.95915,0.93972,0.96698,1.19285,1.02006,-0.00146
3,4,creative,Use as a weight for exercise,use as a weight for exercise,brick,brick,1.02573,1.02062,1.05443,0.96706,1.1892800000000001,1.05142,0.03397
4,5,creative,Use as a foundation for a DIY pizza oven or grill,use as a foundation for a diy pizza oven or grill,brick,brick,0.98982,0.94651,0.96517,0.96757,1.19166,1.01215,-0.00587
5,6,creative,Use as a planter for a small plant or succulent,use as a planter for a small plant or succulent,brick,brick,1.04089,1.06686,0.9434400000000001,0.96756,1.17036,1.03782,0.01552
6,7,creative,Use as an accent piece in a decorative tray or bowl,use as an accent piece in a decorative tray or bowl,brick,brick,0.98338,0.95485,0.96648,0.96729,0.81464,0.93733,-0.01746
7,8,creative,Use as a coaster for drinks or hot dishes,use as a coaster for drinks or hot dishes,brick,brick,1.14494,0.95585,1.0563,0.96777,0.80836,0.98664,0.03224
8,9,creative,Use as a building material for a DIY project such as a small wall or furniture,use as a building material for a diy project such as a small wall or furniture,brick,brick,1.03301,1.06356,1.01293,0.96753,0.80876,0.97716,0.01936
9,10,creative,Use as a prop for a photo or video shoot,use as a prop for a photo or video shoot,brick,brick,0.8760600000000001,1.05435,1.02451,0.96751,0.81353,0.94719,-0.00559
10,11,creative,Use as a building material for a DIY project such as a small wall or furniture,use as a building material for a diy project such as a small wall or furniture,brick,brick,1.03301,1.06356,1.01293,0.96753,0.80876,0.97716,0.01936
11,12,creative,Make a miniature pizza oven,make a miniature pizza oven,brick,brick,0.95857,0.95346,0.96773,0.9154599999999999,0.7936799999999999,0.91778,-0.02461
12,13,creative,Use it as a weight for exercise,use it as a weight for exercise,brick,brick,0.9749099999999999,1.03922,0.94385,0.96726,0.81169,0.94739,-0.01142
13,14,creative,Create a decorative planter,create a decorative planter,brick,brick,1.10063,0.99539,1.01143,1.04718,0.83358,0.99764,0.0242
14,15,creative,Use it as a doorstop,use it as a doorstop,brick,brick,0.9315100000000001,0.93535,0.95911,0.96557,1.19056,0.99642,-0.01912
15,16,creative,Build a miniature brick wall,build a miniature brick wall,brick,brick,0.8469599999999999,1.00411,0.94707,0.82608,0.80521,0.88589,-0.04444
16,17,creative,Use it as a paperweight,use it as a paperweight,brick,brick,0.98068,0.97424,0.9808,0.96706,1.19117,1.01879,7.9e-4
17,18,creative,Use it as a decorative element in a terrarium,use it as a decorative element in a terrarium,brick,brick,0.98311,0.98332,1.0484,0.9652499999999999,1.19302,1.03462,0.01945
18,19,creative,Use it as a surface for magnetic building toys,use it as a surface for magnetic building toys,brick,brick,0.92969,1.06797,0.97104,0.96789,0.8245899999999999,0.95224,-0.00734
19,20,creative,Create a miniature garden path or walkway,create a miniature garden path or walkway,brick,brick,1.08227,0.95811,1.10475,0.93313,0.80798,0.97725,0.03247
20,21,creative,Use it as a step stool to reach high places,use it as a step stool to reach high places,brick,brick,0.979,1.05095,1.08648,0.96753,1.19132,1.05506,0.03889
21,22,creative,Create a garden path or walkway,create a garden path or walkway,brick,brick,1.07237,0.96662,1.0633,0.99524,1.19166,1.05784,0.03698
22,23,creative,Use as a doorstop,use as a doorstop,brick,brick,0.98179,1.0271,1.03961,0.99712,0.8082199999999999,0.97077,0.01298
