...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,Use a fork as a musical instrument by tapping it against another fork or on metal surfaces,use a fork as a musical instrument by tapping it against another fork or on metal surfaces,fork,fork,1.10111,0.90032,1.01474,0.9678599999999999,0.94113,0.98503,0.01212
1,2,creative,Use a fork as a dog brush by sliding it through their fur,use a fork as a dog brush by sliding it through their fur,fork,fork,0.94804,0.93367,0.88137,0.96787,0.94049,0.93429,-0.03989
2,3,creative,Use a fork as a microphone by holding it close to your mouth and speaking into it,use a fork as a microphone by holding it close to your mouth and speaking into it,fork,fork,0.89905,1.11902,1.12459,0.9678599999999999,0.94104,1.01031,0.00781
3,4,creative,Use a fork as a painting tool by dipping it in paint and using it to create designs on paper or canvas,use a fork as a painting tool by dipping it in paint and using it to create designs on paper or canvas,fork,fork,0.93696,0.99096,0.93349,0.9678599999999999,1.05909,0.97767,-0.00783
4,5,creative,Use a fork as a bookmark by sliding it between the pages of a book,use a fork as a bookmark by sliding it between the pages of a book,fork,fork,0.87247,1.03531,0.9988,0.9678599999999999,1.05936,0.98676,-0.00739
5,6,creative,Use a fork as a stirrer by mixing ingredients in a bowl or cup with it,use a fork as a stirrer by mixing ingredients in a bowl or cup with it,fork,fork,0.81324,0.91853,1.0308,0.9678599999999999,0.94112,0.93431,-0.04929
6,7,creative,Use a fork as a scraper by sliding it under food that's stuck to a pan or pot,use a fork as a scraper by sliding it under food thats stuck to a pan or pot,fork,fork,1.09347,1.01959,1.04383,0.9678599999999999,1.05887,1.03672,0.04834
7,8,creative,Use a fork as a hair pick by sliding it through your locks,use a fork as a hair pick by sliding it through your locks,fork,fork,0.96482,1.00276,1.02218,0.96794,0.94107,0.97975,-0.00626
8,9,creative,Use a fork as a garden tool by using it as a trowel to dig holes or transplant seedlings,use a fork as a garden tool by using it as a trowel to dig holes or transplant seedlings,fork,fork,0.94637,0.95545,0.92949,0.9678599999999999,1.05886,0.97161,-0.0104
9,10,creative,Use a fork as a writing tool by dipping it in ink and writing with it on paper,use a fork as a writing tool by dipping it in ink and writing with it on paper,fork,fork,0.91937,1.02608,1.1302699999999999,0.9678599999999999,1.05946,1.02061,0.02266
