...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,1 Make a swing,make a swing,rope,rope,0.71265,0.89514,0.94898,0.91003,0.8544700000000001,0.86425,-0.2093
1,2,creative,2 Use it as a jump rope,use it as a jump rope,rope,rope,0.83758,0.94054,1.14178,0.963,1.11696,0.99997,-0.07921
2,3,creative,3 Use it as a leash for your pet,use it as a leash for your pet,rope,rope,1.09091,1.06735,1.10599,0.96103,1.11892,1.06884,0.11836
3,4,creative,4 Tie it around a tree branch to make a hammock,tie it around a tree branch to make a hammock,rope,rope,1.06323,0.97003,1.10067,0.96096,0.88278,0.99553,0.08327
4,5,creative,5 Use it as a clothesline,use it as a clothesline,rope,rope,0.82332,0.93803,0.88909,0.96306,1.11531,0.94576,-0.11354
5,6,creative,6 Use it as a skipping rope,use it as a skipping rope,rope,rope,0.91902,0.94779,0.98497,0.9614,1.10173,0.98298,-0.03338
6,7,creative,7 Use it as a clothesline,use it as a clothesline,rope,rope,0.82332,0.93803,0.88909,0.96306,1.11531,0.94576,-0.11354
7,8,creative,8 Use it as a clothesline,use it as a clothesline,rope,rope,0.82332,0.93803,0.88909,0.96306,1.11531,0.94576,-0.11354
8,9,creative,9 Use it as a clothesline,use it as a clothesline,rope,rope,0.82332,0.93803,0.88909,0.96306,1.11531,0.94576,-0.11354
9,10,creative,10 Use it as a clothesline,use it as a clothesline,rope,rope,0.82332,0.93803,0.88909,0.96306,1.11531,0.94576,-0.11354
10,11,creative,Here are some creative uses for a rope,here are some creative uses for a rope,rope,rope,0.87446,0.90966,1.09768,0.95399,1.11074,0.98931,-0.0615
11,12,creative,As a clothesline A rope can be used as a clothesline to dry clothes towels or sheets,as a clothesline a rope can be used as a clothesline to dry clothes towels or sheets,rope,rope,0.84395,0.92924,1.03911,0.96095,0.89784,0.93422,-0.08878
12,13,creative,As a hammock A rope can be used to create a hammock which is a comfortable and relaxing way to enjoy the outdoors,as a hammock a rope can be used to create a hammock which is a comfortable and relaxing way to enjoy the outdoors,rope,rope,0.89332,0.92487,1.0833,0.96095,0.89421,0.95133,-0.04874
13,14,creative,As a skipping rope A rope can be used as a skipping rope for exercise or for playing with friends,as a skipping rope a rope can be used as a skipping rope for exercise or for playing with friends,rope,rope,1.15481,1.07554,0.93921,0.96095,1.10515,1.04713,0.15075
