...1,id,condition,response,response_clean,item,item_clean,SemDis_cbowukwacsubtitle_c_m,SemDis_cbowsubtitle_c_m,SemDis_cbowBNCwikiukwac_c_m,SemDis_TASA_c_m,SemDis_glove_c_m,SemDis_MEAN,SemDis_factor
0,1,creative,Plant a garden You can plant a small garden in a tin can using soil seeds and a little water,plant a garden you can plant a small garden in a tin can using soil seeds and a little water,tin can,tin can,0.9912,0.96104,0.78757,0.80093,0.36219,0.78059,-0.03287
1,2,creative,Wind chime Cut the bottom off a tin can and hang it from a string to make a wind chime,wind chime cut the bottom off a tin can and hang it from a string to make a wind chime,tin can,tin can,0.84177,1.03941,1.05447,0.80093,0.34746,0.81681,-0.06134
2,3,creative,Lantern Turn a tin can into a lantern by punching holes in the side and filling it with a small candle,lantern turn a tin can into a lantern by punching holes in the side and filling it with a small candle,tin can,tin can,1.13277,1.0193699999999999,1.0119,0.80093,1.6374300000000002,1.12048,0.09147
3,4,creative,Pencil holder Use a small tin can to hold pens and pencils on your desk You can decorate the can with paint or stickers,pencil holder use a small tin can to hold pens and pencils on your desk you can decorate the can with paint or stickers,tin can,tin can,0.84851,1.03774,0.9419,0.80093,1.63781,1.05338,-0.04157
4,5,creative,Storage Use a large tin can to store small items such as craft supplies office supplies or kitchen utensils,storage use a large tin can to store small items such as craft supplies office supplies or kitchen utensils,tin can,tin can,1.15133,0.80093,0.85467,0.80072,1.63922,1.04937,0.07355
5,6,creative,Coin bank Use a small tin can as a coin bank You can decorate the can with paint or stickers then punch a hole in the top and use a rubber band to hold it shut,coin bank use a small tin can as a coin bank you can decorate the can with paint or stickers then punch a hole in the top and use a rubber band to hold it shut,tin can,tin can,0.84813,0.96346,1.01197,0.80093,0.36219,0.79734,-0.06566
6,7,creative,Bird feeder Cut holes in the side of a large tin can and attach it to a tree branch to make a bird feeder,bird feeder cut holes in the side of a large tin can and attach it to a tree branch to make a bird feeder,tin can,tin can,0.93754,0.95783,1.00897,0.80093,0.36199000000000003,0.81345,-0.02712
7,8,creative,Decoration Use small tin cans as decorations for parties or holidays by painting them and filling them with flowers or lights,decoration use small tin cans as decorations for parties or holidays by painting them and filling them with flowers or lights,tin can,tin can,0.8486400000000001,0.947,1.0609,0.80093,1.6378,1.05905,-0.02798
8,9,creative,Speakers Use a large tin can as a speaker by drilling a hole in the side and connecting it to an audio device,speakers use a large tin can as a speaker by drilling a hole in the side and connecting it to an audio device,tin can,tin can,1.14475,1.03741,1.04265,0.80093,1.64062,1.13327,0.10128
9,10,creative,Cooking You can use a tin can,cooking you can use a tin can,tin can,tin can,1.03483,0.88844,0.83773,0.79862,1.66182,1.04429,0.02334
10,11,creative,Planter Use a tin can as a planter to grow herbs flowers or a small plant,planter use a tin can as a planter to grow herbs flowers or a small plant,tin can,tin can,0.84795,1.23648,0.9333400000000001,0.80093,0.36036999999999997,0.83581,-0.06956
11,12,creative,Pencil holder Use a large tin can to store pens pencils and other office supplies,pencil holder use a large tin can to store pens pencils and other office supplies,tin can,tin can,0.96564,0.98693,1.02459,0.80092,0.37558,0.83073,-0.01173
12,13,creative,Cutlery holder Use a small tin can to store cutlery for picnics or camping trips,cutlery holder use a small tin can to store cutlery for picnics or camping trips,tin can,tin can,1.1492,0.86388,0.99985,0.8009,1.63897,1.09056,0.09332
13,14,creative,Vase Use a large tin can as a vase to display flowers or greenery,vase use a large tin can as a vase to display flowers or greenery,tin can,tin can,1.12172,1.18375,1.04263,0.80098,1.5424600000000002,1.13831,0.09235
14,15,creative,Lantern Use a small tin can as a lantern for camping or outdoor use,lantern use a small tin can as a lantern for camping or outdoor use,tin can,tin can,0.84407,0.90549,0.90568,0.80103,0.36258,0.76377,-0.0829
15,16,creative,Storage container Use a large tin can to store small items such as craft supplies in the kitchen or garage,storage container use a large tin can to store small items such as craft supplies in the kitchen or garage,tin can,tin can,0.84867,1.02172,0.78366,0.80084,0.36202,0.76338,-0.0942
16,17,creative,Wind chime Use a small tin can to make a wind chime by attaching various objects such as beads to a string and hanging it inside the can,wind chime use a small tin can to make a wind chime by attaching various objects such as beads to a string and hanging it inside the can,tin can,tin can,0.84866,1.03926,0.93346,0.80093,0.36107999999999996,0.79668,-0.074
