id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Orange	Elephant	Desk	Gravity	Ocean	Diamond	Comet	Computer	Sky	Tree	77.6546035228031
1	dog	cat	tree	fish	sun	moon	sea	air	sand	grass	61.11854307708286
2	Blue	Tree	Cat	Dog	Book	Car	House	Table	Ball	Door	66.8341753028688
3	dog	cat	ball	book	pencil	table	chair	apple	banana	orange	70.47436585028966
4	dog	cat	tree	moon	car	book	pen	bus	cloud	table	70.94416540293466
5	Skyscraper	Cloud	Ocean	Sun	Moon	Earth	Mountain	River	Flame	Star	60.73747135344006
6	Blue	Car	House	Tree	Bicycle	Mountain	Sea	Sun	Earth	Sky	66.38823754730679
7	dog	cat	book	table	chair	tree	sun	moon	sky	ocean	69.27789201339085
8	Lion	Table	Sky	Sun	Tree	Ocean	Car	Mouse	Dog	Cat	67.41696432942436
9	apple	ocean	tree	book	cat	dog	pen	table	chair	house	72.42709951741355
10	Rainbow	Earth	Ocean	Sun	Moon	Mountain	Sky	Cloud	River	Lake	49.4157931634358
11	Banana	Tree	Sun	Water	Fire	Moon	Earth	Air	Stone	Wood	60.951557826428186
12	Apple	Tree	Banana	Car	Sun	Moon	Earth	Sky	Fire	Water	65.4272694672857
13	Apple	Tree	Table	Water	Earth	Sun	Moon	Fire	Stars	Sky	63.0698473680587
14	elephant	table	chicken	tree	dog	car	cat	computer	chair	phone	66.17904199021203
15	cat	dog	tree	book	pen	fork	spoon	table	chair	lamp	72.46434532460712
16	Ocean	Desert	Tree	Mountain	River	Sky	Sun	Moon	Earth	Love	53.61027391183944
17	Carrot	Door	Elephant	Fire	Idea	Lion	Music	Ocean	Pencil	Stone	74.87054557672569
18	Sun	Stars	Moon	Earth	Sky	Day	Night	Sun	Stars	Earth	53.53538259154274
19	apple	dog	table	tree	star	sun	flower	grass	sky	paper	69.80202588297072
20	apple	table	water	dog	book	pen	cat	chair	sun	moon	71.7807622892516
21	Table	Chair	Window	Door	Pen	Paper	Water	Sun	Moon	Tree	67.18790665978477
22	apple	cheese	car	moon	rain	pen	book	bread	sun	banana	77.20743985403152
23	apple	ball	book	dog	elephant	eraser	glass	pencil	shoe	table	77.45744529224578
24	apple	table	bed	book	chair	pen	shirt	car	house	zebra	72.54240214824677
25	chair	table	chair	table	light	dark	tree	dog	cat	dog	66.02381730363483
26	Lion	Chair	Tree	Dog	Grass	House	Stone	Water	Beach	Car	65.92028119734356
27	Apple	Dog	Sun	Tree	Moon	Water	Fire	Truth	Love	Hope	65.03950655460358
28	lion	dog	tree	elephant	flower	sun	grass	rock	river	fish	60.594686014311655
29	Table	Pen	Chair	Car	Tree	Sun	Bird	Book	House	Window	71.2747783887954
30	elephant	bridge	atlas	airplane	apple	pencil	dream	chair	table	flower	78.27070053844224
31	apple	table	dog	chair	cloud	tree	book	pencil	flower	sun	74.4845564876284
32	book	pen	chair	table	car	tree	mountain	river	lake	bicycle	73.94866120247613
33	dog	cat	tree	car	computer	house	table	chair	book	pencil	65.99494467178981
34	Apple	Chair	Table	Tree	Sun	Moon	Ocean	Mountain	River	Sky	67.00333711646851
35	dog	tree	spoon	road	book	fan	car	chair	cat	table	75.67007942568688
36	dog	cat	chair	table	banana	apple	pen	cup	book	box	69.08037438988686
37	dog	cat	grass	table	chair	pillow	tree	sky	ocean	river	63.20392283655348
38	dog	car	apple	tree	table	cup	sofa	pencil	book	computer	71.66766034705299
39	Rock	Tree	Sun	Water	Fire	Earth	Heart	Mind	Moon	Sky	62.58007529236021
40	banana	table	sun	chair	bed	dog	computer	apple	television	house	71.10889681747982
41	apple	book	table	chair	tree	ball	car	dog	sun	moon	73.54785154263179
42	Apple	Blanket	Cloud	Desert	Earth	Ocean	Road	Salt	Sun	Tree	69.33508011556808
43	Apple	Tree	Door	Table	Chair	Sun	Moon	Star	Sky	Ocean	68.11568588018417
44	Bed	Table	Chair	Book	Door	Tree	Window	Sun	Moon	Sky	64.6745244661967
45	Apple	Dog	Tree	Table	Book	Chair	Sun	Moon	Earth	Water	72.25628410066876
46	Elephant	Tree	Chair	Orange	Lake	Moon	Table	Boat	Mountain	Ocean	68.89380919081825
47	car	book	lamp	chair	door	tree	table	dog	cat	bird	69.3909981421062
48	Rock	tree	table	house	book	spoon	chair	fork	pen	car	72.09302573686554
49	dog	cat	tree	book	car	house	pen	table	chair	bed	68.07268900530678
50	Apple	Elephant	Chair	Sun	Moon	Ocean	Tree	Dog	Cat	Human	67.76113162438075
51	apple	moon	tree	book	star	rock	water	cloud	sun	dog	73.79136951196762
