id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative,1 Book light Use a book as a makeshift lamp by placing it under a lamp shade or diffuser The pages will soften the light and create a cozy reading nook,book light use a book as a makeshift lamp by placing it under a lamp shade or diffuser the pages will soften the light and create a cozy reading nook,book,book,0.77967
2,creative,2 Decoration Use books as decorative objects in your home such as stacking them on a shelf or creating a display of differentsized volumes You can also use books to create a unique wall art by arranging them in a pattern,decoration use books as decorative objects in your home such as stacking them on a shelf or creating a display of differentsized volumes you can also use books to create a unique wall art by arranging them in a pattern,book,book,0.77484
3,creative,3 Footrest Place a book under your feet while sitting in a chair or sofa for added comfort and support This is especially useful if you need to sit for an extended period of time,footrest place a book under your feet while sitting in a chair or sofa for added comfort and support this is especially useful if you need to sit for an extended period of time,book,book,0.7804
4,creative,4 Doorstop Use a heavy book as a doorstop to keep doors from closing too quickly or to hold open a door that won't stay open on its own You can also use books as doorstops in a child's room to prevent the door from slamming shut when they playfully run around,doorstop use a heavy book as a doorstop to keep doors from closing too quickly or to hold open a door that wont stay open on its own you can also use books as doorstops in a childs room to prevent the door from slamming shut when they playfully run around,book,book,0.78047
5,creative,5 Pet bed If you have a furry friend who loves to curl up with their humans consider using a book as a makeshift pet bed Just be sure that the book is sturdy enough to support your pet's weight and won't fall apart if they roll over on it,pet bed if you have a furry friend who loves to curl up with their humans consider using a book as a makeshift pet bed just be sure that the book is sturdy enough to support your pets weight and wont fall apart if they roll over on it,book,book,1.21953
6,creative,6 Planter Use a book as a planter for small plants or herbs Simply remove any pages from the inside of the book add soil and your chosen plant and place the book on a shelf or windowsill This is an excellent way to repurpose old books that are no longer usable,planter use a book as a planter for small plants or herbs simply remove any pages from the inside of the book add soil and your chosen plant and place the book on a shelf or windowsill this is an excellent way to repurpose old books that are no longer usable,book,book,0.78025
7,creative,7 Desk organizer Use books as organizers for small office supplies or paperwork Simply stack them horizontally on your desk and store pens pencils sticky notes and other small items inside the pages This is a great way to keep everything within easy reach while keeping your workspace tidy,desk organizer use books as organizers for small office supplies or paperwork simply stack them horizontally on your desk and store pens pencils sticky notes and other small items inside the pages this is a great way to keep everything within easy reach while keeping your workspace tidy,book,book,0.78087
8,creative,8 Bookends Use books as bookends to hold up your favorite novels or nonfiction books on your shelf You can also use them to add some visual interest to,bookends use books as bookends to hold up your favorite novels or nonfiction books on your shelf you can also use them to add some visual interest to,book,book,0.78056
9,creative,Make a wind chime  Cut out pages from an old book and use them as the base for a homemade wind chime You can add metal washers pebbles or other objects to create different sounds when the wind blows,make a wind chime cut out pages from an old book and use them as the base for a homemade wind chime you can add metal washers pebbles or other objects to create different sounds when the wind blows,book,book,0.78095
10,creative,A Book of Shadows  Use a book to hold spells rituals and magic,a book of shadows use a book to hold spells rituals and magic,book,book,0.7802
11,creative,A Memory Book  Create a book filled with photos notes and memories from special occasions or events,a memory book create a book filled with photos notes and memories from special occasions or events,book,book,0.77922
12,creative,A Journal  Write in a book to document your thoughts feelings and experiences over time,a journal write in a book to document your thoughts feelings and experiences over time,book,book,0.7261299999999999
13,creative,A Time Capsule  Fill a book with items that represent your current life and bury it for future discovery,a time capsule fill a book with items that represent your current life and bury it for future discovery,book,book,0.78049
14,creative,A Decoration  Use a book as a decorative element in your home or office such as by displaying it on a shelf or using it as a centerpiece,a decoration use a book as a decorative element in your home or office such as by displaying it on a shelf or using it as a centerpiece,book,book,1.21947
15,creative,A Game Board  Turn a book into a game board by drawing lines and symbols on the pages,a game board turn a book into a game board by drawing lines and symbols on the pages,book,book,1.22074
16,creative,A Music Score  Use a book to create sheet music for a song you want to play,a music score use a book to create sheet music for a song you want to play,book,book,0.78026
17,creative,A Prop  Use a book in a costume or prop for a play party or other event,a prop use a book in a costume or prop for a play party or other event,book,book,0.75659
18,creative,A Gift  Give someone a personalized book filled with messages photos and other items that are meaningful to them,a gift give someone a personalized book filled with messages photos and other items that are meaningful to them,book,book,0.77965
19,creative,5Use it as a jewelry holder  Clean and dry an old book then use it to store your necklaces bracelets or earrings You can also decorate the cover with beads ribbons or other embellishments to make it more visually appealing,use it as a jewelry holder clean and dry an old book then use it to store your necklaces bracelets or earrings you can also decorate the cover with beads ribbons or other embellishments to make it more visually appealing,book,book,0.78047
20,creative,Create a time capsule Fill the book with important items and bury it in your backyard to be discovered in the future,create a time capsule fill the book with important items and bury it in your backyard to be discovered in the future,book,book,1.21953
21,creative,Use as a journal Write down your thoughts feelings dreams and goals in the book to track your personal growth over time,use as a journal write down your thoughts feelings dreams and goals in the book to track your personal growth over time,book,book,1.22901
22,creative,Make a scrapbook Use the book to create a visual representation of memories from special events or experiences such as a wedding vacation or milestone birthday,make a scrapbook use the book to create a visual representation of memories from special events or experiences such as a wedding vacation or milestone birthday,book,book,0.78047
23,creative,Create a recipe book Write down your favorite recipes and include photos and notes about how to prepare each dish,create a recipe book write down your favorite recipes and include photos and notes about how to prepare each dish,book,book,1.21955
24,creative,Make a travel journal Record your travels by writing down the places you've been things you've seen and experiences you've had along the way,make a travel journal record your travels by writing down the places youve been things youve seen and experiences youve had along the way,book,book,0.75666
25,creative,Use as a gift wrap idea Use the book as a unique and creative way to wrap a present by wrapping it in brown paper or covering it with decorative paper,use as a gift wrap idea use the book as a unique and creative way to wrap a present by wrapping it in brown paper or covering it with decorative paper,book,book,0.77858
26,creative,Create a gratitude journal Write down three things you are grateful for each day to cultivate a positive mindset,create a gratitude journal write down three things you are grateful for each day to cultivate a positive mindset,book,book,1.21734
27,creative,Use as a centerpiece Place books upside down on a table or shelf and use them as a unique centerpiece for a dinner party or special occasion,use as a centerpiece place books upside down on a table or shelf and use them as a unique centerpiece for a dinner party or special occasion,book,book,0.78047
28,creative,Make a memory box Fill the book with small mementos from important events or people in your life such as ticket stubs coins or photos,make a memory box fill the book with small mementos from important events or people in your life such as ticket stubs coins or photos,book,book,1.21699
29,creative,Create a DIY home decor item Use the book to create a unique piece of home decor such as a coat rack or vase by gluing or stapling pieces of paper to the cover and adding decorative elements like ribbons or buttons,create a diy home decor item use the book to create a unique piece of home decor such as a coat rack or vase by gluing or stapling pieces of paper to the cover and adding decorative elements like ribbons or buttons,book,book,1.22435
30,creative,Creative Use 1 Book Light Books can be used as makeshift lampshades to create a warm and cozy atmosphere in the dark You just need to place an empty book on top of a lamp or lantern and voila You have a creative lighting solution that's both functional and stylish,creative use book light books can be used as makeshift lampshades to create a warm and cozy atmosphere in the dark you just need to place an empty book on top of a lamp or lantern and voila you have a creative lighting solution thats both functional and stylish,book,book,1.21953
31,creative,Decoration  Hang books from the ceiling or wall as a decorative element for a party or event,decoration hang books from the ceiling or wall as a decorative element for a party or event,book,book,0.77571
32,creative,Creative Use 2 Door Stopper If you don't have a doorstop you can use a heavy book to keep your doors from closing too quickly Just place the book against the door frame and it will prevent the door from slamming shut This is especially useful if you live in a windy area or have a tendency to forget to close the door properly,creative use door stopper if you dont have a doorstop you can use a heavy book to keep your doors from closing too quickly just place the book against the door frame and it will prevent the door from slamming shut this is especially useful if you live in a windy area or have a tendency to forget to close the door properly,book,book,1.21953
33,creative,Storage Container  Use a large heavy book as a storage container for odds and ends such as buttons safety pins or other small items,storage container use a large heavy book as a storage container for odds and ends such as buttons safety pins or other small items,book,book,1.22013
34,creative,Creative Use 3 Footrest Need a comfortable footrest Look no further than your book collection Simply place an empty book on its side and use it as a rest for your feet while you're reading or relaxing You can also add some cushioning or pillows to make it even more comfortable,creative use footrest need a comfortable footrest look no further than your book collection simply place an empty book on its side and use it as a rest for your feet while youre reading or relaxing you can also add some cushioning or pillows to make it even more comfortable,book,book,1.21953
