id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative, As a jewelry display case Use a large box as a unique way to showcase your jewelry collection Decorate the box with fabric ribbons or other embellishments to give it a personalized touch,as a jewelry display case use a large box as a unique way to showcase your jewelry collection decorate the box with fabric ribbons or other embellishments to give it a personalized touch,box,box,1.22315
2,creative, As a storage container for small items Keep your desk tidy and organized by using a small box to store pens pencils paper clips and other small office supplies You can also use a large box to store outofseason clothing or bedding,as a storage container for small items keep your desk tidy and organized by using a small box to store pens pencils paper clips and other small office supplies you can also use a large box to store outofseason clothing or bedding,box,box,0.77685
3,creative, As a gift box Use a decorative box as a thoughtful gift container for birthdays holidays or special occasions You can add a personal touch by wrapping the box in wrapping paper or tissue paper and adding a ribbon or bow,as a gift box use a decorative box as a thoughtful gift container for birthdays holidays or special occasions you can add a personal touch by wrapping the box in wrapping paper or tissue paper and adding a ribbon or bow,box,box,0.7852399999999999
4,creative, As a craft project base Use a box as a sturdy base for your next craft project Cut out windows and doors to create a miniature house or turn it into a makeshift dollhouse for your children,as a craft project base use a box as a sturdy base for your next craft project cut out windows and doors to create a miniature house or turn it into a makeshift dollhouse for your children,box,box,0.77685
5,creative, As a storage solution for electronics Keep your electronic devices organized by storing them in a large box You can label the boxes according to the device inside making it easy to find what you need quickly and easily,as a storage solution for electronics keep your electronic devices organized by storing them in a large box you can label the boxes according to the device inside making it easy to find what you need quickly and easily,box,box,0.77649
6,creative, As a pet bed Use an old shoe box or other small container as a cozy bed for your pet Line the inside with a soft material like fleece or blankets for added comfort,as a pet bed use an old shoe box or other small container as a cozy bed for your pet line the inside with a soft material like fleece or blankets for added comfort,box,box,1.22315
7,creative, As a planter Turn a small box into a miniature planter by filling it with soil and adding a small succulent or herb plant Use a variety of different sizes and shapes to create a visually interesting display on your windowsill or kitchen countertop,as a planter turn a small box into a miniature planter by filling it with soil and adding a small succulent or herb plant use a variety of different sizes and shapes to create a visually interesting display on your windowsill or kitchen countertop,box,box,0.77718
8,creative, As a bookend Use an empty box as a sturdy bookend for your home library You can decorate the box with paint stickers or other embellishments to give it a personalized touch,as a bookend use an empty box as a sturdy bookend for your home library you can decorate the box with paint stickers or other embellishments to give it a personalized touch,box,box,1.22315
9,creative, As a photo display case Use a large box as a unique way to display your favorite photos Cut out windows in the top of the box and add a backing,as a photo display case use a large box as a unique way to display your favorite photos cut out windows in the top of the box and add a backing,box,box,0.77685
10,creative,Make a unique candle holder by hollowing out a large box and placing a votive candle inside Decorate the outside with paint stickers or ribbons for a personalized touch,make a unique candle holder by hollowing out a large box and placing a votive candle inside decorate the outside with paint stickers or ribbons for a personalized touch,box,box,1.22315
11,creative,1 Book/Media Storage Box  If you have a lot of books CDs DVDs or other media that need to be organized and easily accessible consider using a large box to store them in You can label the sides or top of the box with categories like Fiction Nonfiction Music Movies etc to make it easy to find what you're looking for,bookmedia storage box if you have a lot of books cds dvds or other media that need to be organized and easily accessible consider using a large box to store them in you can label the sides or top of the box with categories like fiction nonfiction music movies etc to make it easy to find what youre looking for,box,box,0.77685
12,creative,2 Decoration Box  Use a small box as a decorative piece on its own or use a large one as a base for a centerpiece or other decoration You can fill the box with flowers pebbles or other items and glue it shut to create a unique decoration,decoration box use a small box as a decorative piece on its own or use a large one as a base for a centerpiece or other decoration you can fill the box with flowers pebbles or other items and glue it shut to create a unique decoration,box,box,1.22315
13,creative,3 DIY Planter Box  Use a small or large box to create a planter for your plants Simply cut out the top of the box add some soil and your plant and you have a simple and affordable planter You can also use different materials like burlap straw or fabric to give it a unique look,diy planter box use a small or large box to create a planter for your plants simply cut out the top of the box add some soil and your plant and you have a simple and affordable planter you can also use different materials like burlap straw or fabric to give it a unique look,box,box,1.22311
14,creative,4 Craft Box  If you enjoy crafting or making things consider using a large box as a workspace You can store all of your supplies in the box and then when you're ready to work on a project simply pull it out and get started,craft box if you enjoy crafting or making things consider using a large box as a workspace you can store all of your supplies in the box and then when youre ready to work on a project simply pull it out and get started,box,box,1.22315
15,creative,5 Toy Storage Box  Use a small or large box to store toys for kids You can label each side of the box with categories like Cars Dolls Building Toys etc to help your child find what they're looking for easily,toy storage box use a small or large box to store toys for kids you can label each side of the box with categories like cars dolls building toys etc to help your child find what theyre looking for easily,box,box,0.77685
16,creative,6 Gift Box  Consider using a small or large box as a gift container You can wrap it in wrapping paper add a ribbon and fill it with the gift inside It's a unique way to give a gift that shows you put some thought into it,gift box consider using a small or large box as a gift container you can wrap it in wrapping paper add a ribbon and fill it with the gift inside its a unique way to give a gift that shows you put some thought into it,box,box,1.22315
17,creative,7 Seed Starter Box  Use a small box as a seed starter for plants Simply fill it with soil plant your seeds and place,seed starter box use a small box as a seed starter for plants simply fill it with soil plant your seeds and place,box,box,0.77685
18,creative,1Design your own jewelry storage solution Use a wooden or plastic box to organize and store your necklaces bracelets and earrings in a more visually pleasing way than a typical jewelry armoire,design your own jewelry storage solution use a wooden or plastic box to organize and store your necklaces bracelets and earrings in a more visually pleasing way than a typical jewelry armoire,box,box,0.77689
19,creative,2Make a craft supply station Transform an empty box into a portable craft station for kids by adding paint scissors glue sticks and other art supplies that can be easily transported to a friend's house or on vacation,make a craft supply station transform an empty box into a portable craft station for kids by adding paint scissors glue sticks and other art supplies that can be easily transported to a friends house or on vacation,box,box,1.22315
20,creative,3Create a spice rack Upcycle an old shoe box or plastic container into a fun colorful spice rack for your kitchen by labeling each compartment with the contents and adding some decorative twine or ribbon around the top,create a spice rack upcycle an old shoe box or plastic container into a fun colorful spice rack for your kitchen by labeling each compartment with the contents and adding some decorative twine or ribbon around the top,box,box,1.22316
