id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative,1 Bookend A brick can be used as a bookend to hold up books on a shelf or desk keeping them organized and easy to find,bookend a brick can be used as a bookend to hold up books on a shelf or desk keeping them organized and easy to find,brick,brick,0.80814
2,creative,2 Planter A brick can be used as a planter for small plants or herbs adding a unique touch to a garden or indoor space,planter a brick can be used as a planter for small plants or herbs adding a unique touch to a garden or indoor space,brick,brick,1.19167
3,creative,3 Headboard A brick can be used as a headboard for a bed providing a sturdy and rustic design element,headboard a brick can be used as a headboard for a bed providing a sturdy and rustic design element,brick,brick,1.19167
4,creative,4 Pathway material Bricks can be used to create a pathway in a garden or yard adding texture and visual interest to the area,pathway material bricks can be used to create a pathway in a garden or yard adding texture and visual interest to the area,brick,brick,1.19165
5,creative,5 Art project A brick can be used as a canvas for creating a mosaic or other art piece using various materials like paint glass or tile,art project a brick can be used as a canvas for creating a mosaic or other art piece using various materials like paint glass or tile,brick,brick,1.19167
6,creative,6 Pet bed A brick can be hollowed out to create a cozy bed for pets providing a unique and practical solution,pet bed a brick can be hollowed out to create a cozy bed for pets providing a unique and practical solution,brick,brick,0.80832
7,creative,7 Decoration Bricks can be painted or decorated in various ways to create a statement piece for a room such as a fireplace mantel or wall art,decoration bricks can be painted or decorated in various ways to create a statement piece for a room such as a fireplace mantel or wall art,brick,brick,0.80833
8,creative,8 Weightlifting aid A brick can be used as a weightlifting aid for strength training exercises providing an affordable and convenient option,weightlifting aid a brick can be used as a weightlifting aid for strength training exercises providing an affordable and convenient option,brick,brick,0.80826
9,creative,9 Building material Bricks can be used to build structures like walls fences or even houses providing a durable and sustainable building material,building material bricks can be used to build structures like walls fences or even houses providing a durable and sustainable building material,brick,brick,1.19174
10,creative,10 Musical instrument A brick can be used as a musical instrument such as a drum or shaker by striking it with a mallet or other object,musical instrument a brick can be used as a musical instrument such as a drum or shaker by striking it with a mallet or other object,brick,brick,0.80833
11,creative,Bench Seat Build a bench seat using bricks and wood providing a comfortable place to sit in the yard or garden,bench seat build a bench seat using bricks and wood providing a comfortable place to sit in the yard or garden,brick,brick,0.80833
12,creative,1 Book Ends  stack them horizontally to create bookends for your favorite books on the shelf,book ends stack them horizontally to create bookends for your favorite books on the shelf,brick,brick,1.19284
13,creative,2 Planters  use bricks as planters for small plants or succulents they add an industrial vibe to any space,planters use bricks as planters for small plants or succulents they add an industrial vibe to any space,brick,brick,1.19068
14,creative,3 Pathway Material  lay down a row of bricks as a pathway through a garden or yard adding a touch of rustic charm,pathway material lay down a row of bricks as a pathway through a garden or yard adding a touch of rustic charm,brick,brick,1.19167
15,creative,4 Headboard  turn a single brick on its side and use it as a headboard for a bed adding an element of industrial chic to the room,headboard turn a single brick on its side and use it as a headboard for a bed adding an element of industrial chic to the room,brick,brick,0.80833
16,creative,5 Photo Display  stack them vertically to create a unique photo display for your favorite memories,photo display stack them vertically to create a unique photo display for your favorite memories,brick,brick,0.8083
17,creative,6 Fire Pit  stack bricks on top of each other to create a fire pit in your backyard perfect for cool nights and gatherings with friends,fire pit stack bricks on top of each other to create a fire pit in your backyard perfect for cool nights and gatherings with friends,brick,brick,0.80833
18,creative,7 Bench  use bricks as bench seats by arranging them horizontally and adding cushions or pillows for comfort,bench use bricks as bench seats by arranging them horizontally and adding cushions or pillows for comfort,brick,brick,1.19167
19,creative,8 Decorative Wall  lay down a row of bricks on a wall to create a decorative accent you can also add moss or vines to give it a more natural look,decorative wall lay down a row of bricks on a wall to create a decorative accent you can also add moss or vines to give it a more natural look,brick,brick,0.80833
20,creative,9 Table Legs  use bricks as legs for a DIY table adding stability and uniqueness to the piece,table legs use bricks as legs for a diy table adding stability and uniqueness to the piece,brick,brick,0.80823
21,creative,10 Art Piece  arrange bricks in a pattern or design to create an art piece you can also add paint or other decorative elements to make it more visually interesting,art piece arrange bricks in a pattern or design to create an art piece you can also add paint or other decorative elements to make it more visually interesting,brick,brick,0.80832
22,creative,Use it as a paperweight Set the brick on top of your desk to keep papers from blowing away in the wind,use it as a paperweight set the brick on top of your desk to keep papers from blowing away in the wind,brick,brick,0.80832
23,creative,Create a planter box Use a brick as the base for a small planter box and fill it with soil plants or herbs,create a planter box use a brick as the base for a small planter box and fill it with soil plants or herbs,brick,brick,0.80831
24,creative,Make a bench Stack bricks on top of each other to create a simple bench or seat,make a bench stack bricks on top of each other to create a simple bench or seat,brick,brick,0.80833
25,creative,Use as a bookend Bricks can be used as bookends to keep books organized and tidy,use as a bookend bricks can be used as bookends to keep books organized and tidy,brick,brick,0.80921
26,creative,Create a table leg Use a brick as one of the legs for a small table or coffee table,create a table leg use a brick as one of the legs for a small table or coffee table,brick,brick,0.80832
27,creative,Make a bird feeder Hollow out a brick and fill it with birdseed to create a unique bird feeder,make a bird feeder hollow out a brick and fill it with birdseed to create a unique bird feeder,brick,brick,1.19167
28,creative,Use as a doorstop Place a brick in front of a door to prevent it from opening too widely or use it to hold a door open,use as a doorstop place a brick in front of a door to prevent it from opening too widely or use it to hold a door open,brick,brick,1.19167
29,creative,Create a pathway Use bricks to create a winding path in your garden or yard,create a pathway use bricks to create a winding path in your garden or yard,brick,brick,0.80832
