id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative,Forks may seem like an ordinary household item but they can be used in many creative ways beyond eating and food preparation Here are ten creative uses for a fork,forks may seem like an ordinary household item but they can be used in many creative ways beyond eating and food preparation here are ten creative uses for a fork,fork,fork,1.05886
2,creative,1 Plant marker  Write the name of each plant on a fork and use them as markers in your garden or indoor plants This will help you identify each plant easily especially when you have a lot of similarlooking plants,plant marker write the name of each plant on a fork and use them as markers in your garden or indoor plants this will help you identify each plant easily especially when you have a lot of similarlooking plants,fork,fork,1.05886
3,creative,2 DIY wind chime  Use forks to create a unique and musical wind chime Simply attach the tines of several forks to a metal ring or a wooden dowel and hang it outside The slight movement of the forks will create a soothing sound,diy wind chime use forks to create a unique and musical wind chime simply attach the tines of several forks to a metal ring or a wooden dowel and hang it outside the slight movement of the forks will create a soothing sound,fork,fork,1.05886
4,creative,3 Decorative knitting needle holder  Use a fork as a knitting needle holder by attaching a few forks together to form a base and then inserting your knitting needles into them This will keep your needles organized and within reach while you knit,decorative knitting needle holder use a fork as a knitting needle holder by attaching a few forks together to form a base and then inserting your knitting needles into them this will keep your needles organized and within reach while you knit,fork,fork,0.94093
5,creative,4 Herb planter  Use a fork to plant herbs such as basil or rosemary in small pots The tines of the fork can be used to hold the soil in place while the handle acts as a stick for easy handling,herb planter use a fork to plant herbs such as basil or rosemary in small pots the tines of the fork can be used to hold the soil in place while the handle acts as a stick for easy handling,fork,fork,1.05886
6,creative,5 Desk organizer  Use a fork as a desk organizer by attaching it to a bulletin board or a corkboard with pushpins You can use the tines of the fork to hold small notes reminders or business cards,desk organizer use a fork as a desk organizer by attaching it to a bulletin board or a corkboard with pushpins you can use the tines of the fork to hold small notes reminders or business cards,fork,fork,1.05886
7,creative,6 Skewers  Use forks to create skewers for grilling or roasting vegetables meat or even fruit Simply alternate between two or three tines of a fork and thread your food on them,skewers use forks to create skewers for grilling or roasting vegetables meat or even fruit simply alternate between two or three tines of a fork and thread your food on them,fork,fork,0.94116
8,creative,7 Musical instrument  Use a fork as a makeshift musical instrument by plucking the tines like a harp You can create different sounds and melodies depending on how you pluck the tines,musical instrument use a fork as a makeshift musical instrument by plucking the tines like a harp you can create different sounds and melodies depending on how you pluck the tines,fork,fork,1.05865
9,creative,8 Yarn ball holder  Wrap yarn around a fork to keep it organized and within reach while you knit or crochet The t,yarn ball holder wrap yarn around a fork to keep it organized and within reach while you knit or crochet the t,fork,fork,0.94104
10,creative,Use 2 Hair Comb  Use a fork as a makeshift hair comb to detangle knots and add some sparkle to your hairstyle The tines can help to gently tease out tangles while the handle can provide a comfortable grip,use hair comb use a fork as a makeshift hair comb to detangle knots and add some sparkle to your hairstyle the tines can help to gently tease out tangles while the handle can provide a comfortable grip,fork,fork,1.05824
11,creative,1 Bookmark Use a fork to keep your place in a book especially if you're reading in bed or on the go,bookmark use a fork to keep your place in a book especially if youre reading in bed or on the go,fork,fork,0.94113
12,creative,2 Plant label Write the name of each plant on a fork and use it as a plant label in your garden or indoor plants,plant label write the name of each plant on a fork and use it as a plant label in your garden or indoor plants,fork,fork,1.05886
13,creative,3 DIY wind chime Thread several forks together to create a unique wind chime that will add some rustic charm to your backyard or porch,diy wind chime thread several forks together to create a unique wind chime that will add some rustic charm to your backyard or porch,fork,fork,0.94119
14,creative,4 Kitchen utensil organizer Use a fork to organize your kitchen utensils such as spatulas whisks and spoons on your kitchen countertop,kitchen utensil organizer use a fork to organize your kitchen utensils such as spatulas whisks and spoons on your kitchen countertop,fork,fork,0.94114
15,creative,5 Decorative hook Attach a fork to a wall or door using its prongs to hang items like keys hats or scarves,decorative hook attach a fork to a wall or door using its prongs to hang items like keys hats or scarves,fork,fork,1.05886
16,creative,6 Seashell holder Use a fork to hold seashells in a decorative bowl or vase on your kitchen countertop or coffee table,seashell holder use a fork to hold seashells in a decorative bowl or vase on your kitchen countertop or coffee table,fork,fork,1.05884
17,creative,7 Keychain Attach a fork to a keyring for an unusual and quirky keychain that will add some humor to your keys,keychain attach a fork to a keyring for an unusual and quirky keychain that will add some humor to your keys,fork,fork,1.0584500000000001
18,creative,8 Paperweight Use a heavy fork as a paperweight on your desk or nightstand to keep important documents or papers from blowing away in the wind,paperweight use a heavy fork as a paperweight on your desk or nightstand to keep important documents or papers from blowing away in the wind,fork,fork,1.05886
