id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative,1 Use it as an impromptu clothesline If you don't have access to a traditional clothesline a rope can be used as a makeshift one in a pinch Simply tie the rope between two trees or other sturdy objects and hang your laundry to dry,use it as an impromptu clothesline if you dont have access to a traditional clothesline a rope can be used as a makeshift one in a pinch simply tie the rope between two trees or other sturdy objects and hang your laundry to dry,rope,rope,0.89486
2,creative,2 Create a rope swing For kids of all ages a rope swing can add some fun and adventure to any backyard Simply install a sturdy rope between two trees or structures and voila A fun place to relax or play,create a rope swing for kids of all ages a rope swing can add some fun and adventure to any backyard simply install a sturdy rope between two trees or structures and voila a fun place to relax or play,rope,rope,1.10514
3,creative,3 Use it for rock climbing Ropes are an essential part of rock climbing gear as they provide the necessary support and security for climbers If you have a favorite climbing spot consider bringing a rope along to help with your ascent,use it for rock climbing ropes are an essential part of rock climbing gear as they provide the necessary support and security for climbers if you have a favorite climbing spot consider bringing a rope along to help with your ascent,rope,rope,0.89486
4,creative,4 Make a rope raft For those who enjoy boating but don't have access to a traditional boat a rope raft can be a fun and adventurous alternative Simply tie the ropes together in a circular pattern to form a raft and then use it to float down a river or other body of water,make a rope raft for those who enjoy boating but dont have access to a traditional boat a rope raft can be a fun and adventurous alternative simply tie the ropes together in a circular pattern to form a raft and then use it to float down a river or other body of water,rope,rope,1.10514
5,creative,5 Create a hammock For those who enjoy relaxing in nature a rope hammock can be a great way to unwind Simply tie the ropes between two trees or structures and then hang a tarp or bedding inside for a comfortable place to rest,create a hammock for those who enjoy relaxing in nature a rope hammock can be a great way to unwind simply tie the ropes between two trees or structures and then hang a tarp or bedding inside for a comfortable place to rest,rope,rope,1.10511
6,creative,6 Use it as a jump rope For kids who love to play jump rope a rope can provide a fun and challenging workout Simply tie one end of the rope to a stable object and then start jumping,use it as a jump rope for kids who love to play jump rope a rope can provide a fun and challenging workout simply tie one end of the rope to a stable object and then start jumping,rope,rope,1.10514
7,creative,7 Make a rope ladder For those who enjoy climbing a rope ladder can be a great way to access hardtoreach areas Simply tie the ropes together in a ladderlike pattern and then use it to climb up walls or other vertical surfaces,make a rope ladder for those who enjoy climbing a rope ladder can be a great way to access hardtoreach areas simply tie the ropes together in a ladderlike pattern and then use it to climb up walls or other vertical surfaces,rope,rope,1.10514
8,creative,8 Use it as a zip line,use it as a zip line,rope,rope,1.12108
9,creative,1 Use ropes as a trellis Instead of using stakes and twine to support climbing plants like beans or peas use a rope instead The rope can provide a sturdy structure for the plants to grow on and also add a decorative element to your garden,use ropes as a trellis instead of using stakes and twine to support climbing plants like beans or peas use a rope instead the rope can provide a sturdy structure for the plants to grow on and also add a decorative element to your garden,rope,rope,1.10514
10,creative,2 Make a hammock If you have two trees with sturdy branches you can create a hammock by suspending a rope between them This is a great way to relax outside or even take a nap in the shade,make a hammock if you have two trees with sturdy branches you can create a hammock by suspending a rope between them this is a great way to relax outside or even take a nap in the shade,rope,rope,0.89474
