id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
1,creative,1 DIY Planters Use a tin can as a planter for small plants or herbs Add some paint and decorations to make it more visually appealing,diy planters use a tin can as a planter for small plants or herbs add some paint and decorations to make it more visually appealing,tin can,tin can,1.6387100000000001
2,creative,2 Pencil Holder Clean out the tin can and use it as a holder for pens pencils or markers This is especially useful if you have limited desk space,pencil holder clean out the tin can and use it as a holder for pens pencils or markers this is especially useful if you have limited desk space,tin can,tin can,1.62921
3,creative,3 Seed Starters Use a tin can as a mini greenhouse to start seedlings for your garden Add some soil and seeds then place it in a sunny spot until they sprout,seed starters use a tin can as a mini greenhouse to start seedlings for your garden add some soil and seeds then place it in a sunny spot until they sprout,tin can,tin can,0.36219
4,creative,4 Wind Chimes Clean out the tin can and use it as a base for wind chimes Add some small objects like pebbles beads or metal washers to create a unique sound,wind chimes clean out the tin can and use it as a base for wind chimes add some small objects like pebbles beads or metal washers to create a unique sound,tin can,tin can,1.62229
5,creative,5 Candle Holder Use a tin can as a candle holder by cutting a hole in the top and placing a tea light inside You can also decorate it with paint or ribbons for a more personalized look,candle holder use a tin can as a candle holder by cutting a hole in the top and placing a tea light inside you can also decorate it with paint or ribbons for a more personalized look,tin can,tin can,1.63781
6,creative,6 DIY Lamp Shade Clean out the tin can and use it as a lamp shade by wrapping it in fabric or paper This creates a unique and ecofriendly lighting solution,diy lamp shade clean out the tin can and use it as a lamp shade by wrapping it in fabric or paper this creates a unique and ecofriendly lighting solution,tin can,tin can,0.38051999999999997
7,creative,7 Emergency Food Supply Use a tin can to store nonperishable food items like oats beans or pasta This way you'll always have a backup supply in case of an emergency,emergency food supply use a tin can to store nonperishable food items like oats beans or pasta this way youll always have a backup supply in case of an emergency,tin can,tin can,1.6378300000000001
8,creative,8 Pet Toys Clean out the tin can and use it as a toy for your pet You can fill it with treats or use it as a scratching post,pet toys clean out the tin can and use it as a toy for your pet you can fill it with treats or use it as a scratching post,tin can,tin can,1.63796
9,creative,9 Fire Starters Use a tin can as a fire starter by filling it with dryer lint paper or kindling This is a great way to start a campfire or fireplace when you're in the wilderness,fire starters use a tin can as a fire starter by filling it with dryer lint paper or kindling this is a great way to start a campfire or fireplace when youre in the wilderness,tin can,tin can,1.63781
10,creative,10 Art Supplies Clean out the tin can and use it as a container for art supplies like paintbrushes markers or colored pencils This keeps,art supplies clean out the tin can and use it as a container for art supplies like paintbrushes markers or colored pencils this keeps,tin can,tin can,0.36741
11,creative,Pen or Pencil Holder Turn an old tin can into a practical desk organizer by using it to hold pens pencils and other office supplies,pen or pencil holder turn an old tin can into a practical desk organizer by using it to hold pens pencils and other office supplies,tin can,tin can,0.35843
12,creative,3 Bird Feeder or Birdhouse Create a fun and whimsical craft project with kids by turning an old tin can into a bird feeder or birdhouse,bird feeder or birdhouse create a fun and whimsical craft project with kids by turning an old tin can into a bird feeder or birdhouse,tin can,tin can,0.36148
