id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Snowflake	Rainbow	Moonlight	Fireworks	Kangaroo	Bubblegum	Volcano	Tornado	Lollipop	Dinosaur	76.60330675897144
1	Cloud	Tree	Ocean	Mountain	House	Chair	Pen	Book	Bird	Computer	72.67947785911106
2	Glitter	Fog	Door	Smile	Fire	Water	Tree	Cloud	Mouse	Ocean	71.38195428110305
3	Moon	Forest	Ocean	Mountain	Sun	Chair	Table	Music	Fire	Cloud	64.20940331050328
4	Moon	Ocean	Fire	Music	Water	Love	Tree	Time	Sky	Cloud	66.66254223812194
5	Elephant	Cloud	Fire	Water	Mountain	Love	chair	Smile	Freedom	Dream	72.39739305916287
6	Moon	Ocean	Fire	Music	Smile	Cloud	Water	Mountain	Dance	Time	68.79620573350361
7	Cloud	Mountain	Ocean	Love	Chair	Music	Moon	Sun	Bird	Fire	70.64031327054614
8	Tree	Ocean	Fire	Music	Love	Moon	Sand	Computer	Smile	Silence	67.00099727937153
9	Cloud	Chair	Ocean	Tree	Fire	Music	Book	Sun	Fish	House	76.2611162804422
10	Cloud	Elephant	Fire	Mountain	Water	Piano	Tree	Sunset	Smile	Universe	71.5540662407875
11	Cloud	Chair	Tree	Ocean	Moon	Music	City	Heart	Sky	Sun	73.02313368944894
12	Apple	Ocean	Bookshelf	Bicycle	Cloud	Fire	Moonlight	Music	Nest	Sunset	78.20496566238857
13	Cloud	Mountain	River	Sunset	Tree	House	Music	Book	Love	Chair	67.95232118595214
14	Cloud	Snowflake	Ocean	Fire	Mountain	Moon	Music	Smile	Sunset	Chaos	70.9399166916098
15	Cloud	River	Mountain	Fire	Forest	Ocean	Moon	Music	House	Smile	59.591060593014674
16	Cloud	Mountain	River	Chair	Lion	Tree	House	Book	Music	Spider	69.68893593265896
17	Fluffy	Sparky	Boulder	Oasis	Wizard	Piano	Whale	Sunset	Castle	Cloud	86.92186638003304
18	Moon	Water	Fire	Tree	Bird	Music	Love	Honey	Cloud	Computer	67.91727961528869
19	Cloud	Moonlight	Ocean	Music	Fire	Tree	Book	Waterfall	Sunset	Dream	74.46800580336934
20	Apple	Bicycle	Cloud	Dinosaur	Football	Jellyfish	Kangaroo	Laser	Money	Nectarine	81.21254617969196
21	Love	Snowflake	Ocean	Starfish	Cactus	Bicycle	Dragonfly	Sunflower	Piano	Volcano	73.9412557156313
22	Moon	Tree	Water	Fire	Music	Time	Love	Money	Pain	Joy	67.20026412180492
23	Cloud	Chair	Ocean	Fire	Music	Moon	Computer	Tree	River	Life	72.76522183702106
24	Cloud	Ocean	House	Tree	Fire	Mountain	River	Sun	Moon	Music	63.78819396098455
25	Kite	Rose	Cloud	Water	Fire	Music	Mountain	Moon	Ocean	Snow	74.61874598548526
26	Apple	Elephant	Sunset	Carbon	Music	Forest	Moonlight	Wave	Cloud	Clock	75.94974841922522
27	Moon	Tree	Fire	Water	Music	Love	Time	Space	Bird	Smile	67.20026412180492
28	Cloud	Mountain	River	Sun	Ocean	Forest	City	Desert	Garden	Moon	58.19223501852581
29	Moon	Fish	Computer	Tree	House	Music	Water	Fire	Sky	Book	70.6557701031367
30	Moon	Tree	Fish	House	Car	Chair	Music	Water	Cloud	Fire	73.45225896154132
31	Door	Tree	Ocean	Music	Fire	Book	House	Cloud	River	Time	71.10271127451034
32	Cloud	Mountain	Ocean	Sunflower	Lion	Music	Bookshelf	Bicycle	Firefly	Candy	78.73666265181133
33	Sun	Ocean	Chair	Cloud	House	Bird	Tree	Music	Garden	World	67.24343718517395
34	Apple	Car	Tree	Water	Chair	House	Moon	Music	Cloud	Dragon	70.90608427921931
35	Apple	Elephant	City	Moonlight	Ocean	Candy	Sunset	Time	Clouds	Music	70.80627984943844
36	Cloud	Ocean	Sunflower	City	Snowflake	Dragonfly	Piano	Castle	Rainbow	Universe	80.43857929075048
37	Beach	Mountain	Moonlight	Waterfall	Sunflower	Cactus	Kite	Compass	Snowflake	Dragonfly	71.24495534669785
38	Cloud	Mountain	Ocean	House	Love	Music	Moon	Waterfall	Fire	Dream	67.06538838999612
39	Tree	Computer	Water	Fire	Music	Sunlight	Laughter	Time	Space	Freedom	73.14589459981237
40	Cloud	Ocean	Fire	Music	Moonlight	Waterfall	Sunset	Volcano	Kite	Flower	66.98210225218818
41	Flower	Mountain	Dog	Waterfall	Fire	Music	Book	Sunset	Moonlight	Cloud	75.90599893814041
42	Moon	Table	Garden	Fire	Ocean	Smile	House	Cloud	River	Dream	67.27037791694913
43	Fluffy	Mansion	Breeze	Sparky	Violet	Steamy	Chilly	Giggle	Wobbly	Jellyfish	78.17616517810772
44	Cloud	Castle	Dragon	Garden	Moonlight	Fire	Ocean	Music	Sunset	Smile	67.99534445717221
45	Tree	Fire	Water	Moon	Music	Chair	Sunshine	Love	Game	Ocean	70.88445332788285
46	Cloud	Mountain	Ocean	Fire	Moon	Music	Chair	Tree	Fish	Emotion	70.87229845069703
47	Love	Ocean	Chair	Moonlight	Music	Garden	Fire	Waterfall	Smile	Storm	71.53705713294801
48	Mountain	Moon	Ocean	Tree	House	Music	Fish	Chair	Cloud	Fire	66.76628916036515
49	Mountain	Moonlight	Laughter	Firework	Ocean	Music	Dog	Cloud	Sunflower	Car	73.90663503181366
50	Ocean	Moonlight	Music	Fire	Cloud	Waterfall	Sand	Mountain	Sunset	Chaos	68.9363019097419
51	Cloud	Fish	Chair	Love	Fire	Water	Tree	Music	Moon	Time	71.99176635060992
52	Cloud	Dragon	Mango	Ocean	Piano	River	Space	Tree	Volcano	Wind	76.06532715615772
53	Snowflake	Sunset	Rainbow	Laughter	Melody	Smile	Poetry	Journey	Cloud	Freedom	70.58662087434814
54	Tree	House	Dog	Water	Sky	Book	Music	Love	Fire	Moon	71.38115252767291
55	Furniture	Snow	Smile	Fireworks	Guitar	Water	Sunset	Bookshelf	Garden	Volcano	75.03013284433456
56	Tree	House	Fish	Car	Book	Chair	Cloud	Water	Fire	Laughter	75.85237863517943
57	Cloud	Ocean	Mountain	Music	Moon	Tree	City	Beach	River	Fire	67.8149625658989
58	Moon	Elephant	Tree	Ocean	House	Music	Cloud	Fire	Water	Time	69.67936839376178
59	Cloud	Mountain	River	Chair	Sunset	Garden	Kite	Fish	Star	Volcano	70.792722205321
60	Cloud	Mountain	River	Forest	City	Ocean	Sky	Sun	Moon	Rose	56.70201274610701
61	Cloud	Ocean	Fire	Music	Love	Mountain	Tree	River	Moonlight	Sunshine	69.31667278210323
62	Cloud	Mountain	River	Sunset	Puppy	House	Car	Beach	Snowflake	Smile	71.08251438254402
63	Moonlight	Ocean	Music	Firefly	Snowflake	Bicycle	Laughter	Bookshelf	Kite	Flower	77.3428170808724
64	Tree	House	Fish	Car	Book	Water	Fire	Moon	Smile	Dragon	68.71907193036307
65	Cloud	Desert	Sunset	City	Ocean	Forest	Mountain	Moonlight	Fire	Rainbow	58.2307667249725
66	Moonlight	Tornado	Library	Ocean	Music	Snowflake	Kite	Dragonfly	Bicycle	Nostalgia	81.35494412410827
67	Cloud	Door	River	Mountain	Song	Chair	Sun	Book	Tree	Ocean	74.04957796846118
68	Hedgehog	Sunset	Caterpillar	Volcano	Kite	Nature	Drum	Chocolate	Whale	Ghost	81.05963436620576
69	Moon	Water	Tree	Fire	Music	House	Bird	Fish	Computer	Love	66.65169412181491
70	Moonlight	Lollipop	Ocean	Fire	Snake	Kite	House	Flower	Music	Computer	74.41370969726925
71	Cloud	Mountain	Sunset	Music	Ocean	Tree	Dog	House	Fire	Love	69.59775139888127
72	Cloud	Mountain	Ocean	Tree	River	Sun	Moon	House	Music	Smile	58.32200731549944
73	Moonlight	Honey	Music	Freedom	Fire	Water	Joy	Fear	Winter	Smile	72.03637968216624
74	Moon	Fish	Desert	Ocean	Fire	Music	Tree	Chair	Cloud	Smile	68.23084815627053
75	Cloud	Dragon	Mushroom	Ocean	Space	Sunflower	Universe	Volcano	Wormhole	Zebra	73.56019768686522
76	Cloud	Mountain	River	City	Tree	Fish	Moon	Music	Water	Fire	66.56561146179835
77	Sky	House	Tree	Fish	Music	Fire	Water	Dog	Moon	Smile	66.19421896480378
78	Cloud	Fish	Mountain	Car	House	Tree	River	Chair	Book	Dragon	68.9569789029303
79	Moonlight	Bicycle	Rainbow	Garden	Computer	Songbird	Fireworks	Library	Mountains	Sandcastle	79.41696019843221
80	Mountain	River	Sunset	Dog	Chair	Computer	Music	City	Cloud	Garden	74.50623169896149
81	Cloud	Ocean	Mountain	Chair	Music	Computer	Sunset	Tree	Bird	Time	72.42017901014714
82	Fruit	Dog	Car	House	Tree	Book	Chair	Music	Water	Cloud	71.34838253259659
83	Pencil	Chair	Window	Door	Book	Computer	Car	Tree	Dog	Moon	71.02864398842766
84	Cloud	Forest	Music	City	Ocean	Fire	Moon	Water	Tree	Bird	67.30169221049263
85	Tree	Ocean	Music	Fire	Moon	Sunshine	Love	Waterfall	Cake	Storm	65.93709119728634
86	Moon	Tree	Fish	House	Fire	Music	Bird	Book	Water	Time	67.39228325230735
87	Door	Tree	Ocean	House	Moon	Bird	Water	Mountain	Fire	Music	64.20440106164841
88	Moonlight	Forest	Ocean	Fire	Music	Dog	Mountain	Sunset	Storm	Smile	68.67779599768775
89	Flower	Cloud	Mountain	Ocean	City	Star	Moon	Bird	Tree	Heart	67.74072867064248
90	Cloud	Mountain	River	Chair	Song	Tree	House	Car	Book	Ocean	72.7118574437641
91	Apple	Moon	Ocean	Time	Dog	City	Desert	Music	Love	Water	70.28410988194602
92	Moon	Ocean	Tree	Fire	Music	Smile	House	Snow	Cloud	Sun	68.90663447834197
93	Snowflake	Rainbow	Moonlight	Fireworks	Kangaroo	Bubblegum	Volcano	Tornado	Lollipop	Dinosaur	76.60330675897144
94	Cloud	Tree	Ocean	Mountain	House	Chair	Pen	Book	Bird	Computer	72.67947785911106
95	Glitter	Fog	Door	Smile	Fire	Water	Tree	Cloud	Mouse	Ocean	71.38195428110305
96	Moon	Forest	Ocean	Mountain	Sun	Chair	Table	Music	Fire	Cloud	64.20940331050328
97	Moon	Ocean	Fire	Music	Water	Love	Tree	Time	Sky	Cloud	66.66254223812194
98	Elephant	Cloud	Fire	Water	Mountain	Love	chair	Smile	Freedom	Dream	72.39739305916287
99	Moon	Ocean	Fire	Music	Smile	Cloud	Water	Mountain	Dance	Time	68.79620573350361
